Question,A,B,C,D,Correct Option,Subject,Topic,Category
"Which figure of speech is used in this text?
Mia's sweater shrank just a bit. It fits her baby sister now.",apostrophe,understatement,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
""This box weighs a ton!"" Scott panted. ""Irma, would you mind helping me carry it up the stairs?""",chiasmus,hyperbole,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
The artistic feats of the Italian Renaissance painters are seen as Promethean by most historians.",Greek mythology,U.S. history,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Michael returned to the parking lot to find his car somewhat destroyed. Apparently someone had crashed into it while he was working and had broken the entire front windshield.",hyperbole,oxymoron,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Isaac returned to the parking lot to find his car somewhat destroyed. Apparently someone had crashed into it while he was working and had broken the entire front windshield.",oxymoron,euphemism,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Camille gazed at the ancient pug that seemed to sleep all day and noted, ""You're an energetic puppy!""",idiom,verbal irony,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Mary's Boutique claims to have ""something for everyone,"" but it is generally understood that their target market is women of a certain age.",euphemism,oxymoron,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Jaylen spoke at the city council meeting, claiming the new recycling regulations were draconian.",Greek history,a fairy tale,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Kendra's phone slipped out of her pocket, landing in the toilet with a plop.",onomatopoeia,verbal irony,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Parting is such sweet sorrow. . .
—William Shakespeare, Romeo and Juliet",assonance,oxymoron,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
From forth the fatal loins of these two foes
A pair of star-cross'd lovers take their life.
—William Shakespeare, Romeo and Juliet",onomatopoeia,alliteration,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Michelle and Raymond had met before through mutual friends, but they had never been alone together until their first date.",oxymoron,euphemism,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
It's an open secret that Brett is writing a book based on his experiences living in Singapore. He never talks about it, but almost all his friends know.",euphemism,oxymoron,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Dr. Osborne is unhappy with her new assistant because simple tasks, like fetching coffee, take him years to finish.",hyperbole,anaphora,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
After tripping on the red carpet, the actress thought she would die of embarrassment.",oxymoron,hyperbole,,,B,Language science,Figurative-language,Literary devices
"What does the verbal irony in this text suggest?
After a jog around the block, Katie collapsed on the couch and declared with a wheeze, ""Well, I'm ready to run a marathon.""",Katie felt full of energy.,Katie was out of shape.,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Carmen was known among her coworkers for her spartan ways.",Shakespeare,Greek history,,,B,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Everything in this room is eatable, even I'm eatable! But that is called cannibalism, my dear children, and is in fact frowned upon in most societies.
—Willy Wonka in Charlie and the Chocolate Factory",understatement,apostrophe,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Oh! Stars and clouds and winds, ye are all about to mock me; if ye really pity me, crush sensation and memory; let me become as nought.
—Mary Shelley, Frankenstein",apostrophe,antithesis,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Rudy persisted despite his friends' attempts to tell him that this was a Gordian knot.",ancient legend,U.S. history,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
The old wooden rocking chair that Tanvi brought home from the rummage sale was as comfortable as a bed of nails.",verbal irony,pun,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Mrs. Lowery decided not to argue with the name her daughter had chosen for their new kitten, figuring it was a matter of a rose by any other name.",Shakespeare,U.S. history,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
""There's nothing I love more than skipping lunch,"" Mr. Taylor told the flight attendant when he learned that no food would be available on his cross-country flight.",verbal irony,allusion,,,A,Language science,Figurative-language,Literary devices
"What does the idiom in this text suggest?
Jennifer submitted her suggestions to Dave; now the ball is in his court.",Dave has some difficult work to do.,Dave needs to act next.,,,B,Language science,Figurative-language,Literary devices
"Does the sentence use a simile or a metaphor?
Philip swam with ease across the swimming pool, like a dolphin.",metaphor,simile,,,B,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Sophia told her friends that Aaron was a typical Peter Pan type.",Greek mythology,literature,,,B,Language science,Figurative-language,Literary devices
"What does the hyperbole in this text suggest?
After he finished the marathon, Lester collapsed into a chair and declared that he could no longer move a single muscle.",Lester was very tired and sore.,Lester became paralyzed.,,,A,Language science,Figurative-language,Literary devices
"What is the source of the allusion in the sentence below?
Alec's Falstaffian nature makes him stand out at a party.",Shakespeare,Greek mythology,,,A,Language science,Figurative-language,Literary devices
"Which figure of speech is used in this text?
Maria, please stay away from the ocean. You shouldn't go in the water until you know how to swim.",paradox,oxymoron,,,A,Language science,Figurative-language,Literary devices
"What does the idiom in this text suggest?
In such an unfamiliar environment, Brody was a fish out of water.",Brody felt out of place.,Brody didn't have any friends.,,,A,Language science,Figurative-language,Literary devices
"Which type of sentence is this?
As Juan sat down on the rickety old chair, it abruptly collapsed beneath him.",compound,compound-complex,simple,complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Martina is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",simple,complex,compound-complex,compound,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Ian always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",compound,complex,simple,compound-complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Herman sat down on the rickety old chair, it abruptly collapsed beneath him.",compound,complex,simple,compound-complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Garrett attends weekly book club meetings, and he finishes several novels every month.",compound,compound-complex,complex,simple,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Tyler always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",simple,complex,compound-complex,compound,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Colin sat down on the rickety old chair, it abruptly collapsed beneath him.",compound,complex,compound-complex,simple,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Alvin sat down on the rickety old chair, it abruptly collapsed beneath him.",complex,simple,compound,compound-complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Kenny always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",compound-complex,compound,complex,simple,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Lee took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound,complex,compound-complex,simple,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Matthew sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,complex,compound,compound-complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Sally is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",complex,simple,compound,compound-complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Noah sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,compound-complex,compound,complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Jerry sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,complex,compound,compound-complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Scott sat down on the rickety old chair, it abruptly collapsed beneath him.",complex,compound-complex,compound,simple,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Raymond always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",simple,compound,complex,compound-complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Brian sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,compound-complex,complex,compound,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Brenna is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound,complex,compound-complex,simple,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
The weather forecast had predicted severe thunderstorms, but the dark, heavy thunderclouds never materialized.",complex,simple,compound,compound-complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Will sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,compound-complex,complex,compound,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Lester took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound,complex,simple,compound-complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Dan sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,compound-complex,compound,complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Because most wild orchids naturally affix themselves to trees and branches, planting an orchid in soil will likely kill it.",simple,compound-complex,complex,compound,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Aisha is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",complex,compound-complex,simple,compound,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Bert took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",complex,compound-complex,simple,compound,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Dan always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",simple,compound-complex,compound,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Preston took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",complex,compound,compound-complex,simple,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Kathleen is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",simple,compound-complex,compound,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Hayley is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",simple,compound-complex,compound,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Ruth is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",complex,compound-complex,compound,simple,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Zachary always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",compound-complex,compound,simple,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Mitchell attends weekly book club meetings, and he finishes several novels every month.",complex,simple,compound-complex,compound,D,Language science,Grammar,Phrases and clauses
Which is a compound sentence?,Last night we heard an owl outside in the oak tree.,"I ate all of my dinner, so I can have some pie.",,,B,Language science,Grammar,"Sentences, fragments, and run-ons"
"Which type of sentence is this?
Dominic took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound,compound-complex,simple,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Annie is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound-complex,complex,simple,compound,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As cold weather approaches, you must protect your water pipes against freezing, or they can rupture and cause significant damage to your home.",complex,compound-complex,compound,simple,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Lorraine Hansberry wrote the widely acclaimed 1959 Broadway play A Raisin in the Sun, and her accomplishment opened the door for other African American playwrights.",compound,complex,simple,compound-complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Harry sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,complex,compound-complex,compound,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Leonardo da Vinci, who was a renowned painter and sculptor, was also an inventor and scientist.",compound,complex,compound-complex,simple,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Darnell took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",simple,compound,compound-complex,complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Zack attends weekly book club meetings, and he finishes several novels every month.",simple,complex,compound,compound-complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Braden attends weekly book club meetings, and he finishes several novels every month.",simple,compound,compound-complex,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Bonnie is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound,simple,complex,compound-complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Liam attends weekly book club meetings, and he finishes several novels every month.",compound,simple,complex,compound-complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Pete attends weekly book club meetings, and he finishes several novels every month.",compound-complex,simple,compound,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
The right hemisphere of the human brain typically controls muscle movement on the left side of the body.",compound,compound-complex,simple,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Trevor always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",compound,complex,simple,compound-complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Percy attends weekly book club meetings, and he finishes several novels every month.",complex,simple,compound,compound-complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Pablo attends weekly book club meetings, and he finishes several novels every month.",compound-complex,compound,simple,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Emmet took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",simple,complex,compound,compound-complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Julia is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound,simple,complex,compound-complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Brad attends weekly book club meetings, and he finishes several novels every month.",compound-complex,simple,compound,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Ann is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound-complex,complex,compound,simple,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Mark took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound-complex,compound,simple,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Susan is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",complex,compound,simple,compound-complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Dirk sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,compound,complex,compound-complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Cora is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",simple,complex,compound,compound-complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Darrell always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",simple,compound-complex,compound,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Ben took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",simple,compound,complex,compound-complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Noah attends weekly book club meetings, and he finishes several novels every month.",compound,simple,compound-complex,complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Hakim attends weekly book club meetings, and he finishes several novels every month.",simple,compound,compound-complex,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Leroy always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",compound,compound-complex,complex,simple,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Annual plants survive only one season and must be replaced each year, but perennials return each year with new flowers and foliage.",complex,simple,compound-complex,compound,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Students are unhappy with the new dress code requirements, and they will be discussing their grievances at the next school board meeting.",complex,compound-complex,compound,simple,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Jayden attends weekly book club meetings, and he finishes several novels every month.",compound,compound-complex,simple,complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Ryan sat down on the rickety old chair, it abruptly collapsed beneath him.",complex,compound-complex,simple,compound,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
The maple leaf, which i Canada's national emblem, has been associated with the country since the 1700s.",compound-complex,compound,complex,simple,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Aaron has an unconventional swing, but he manages to drive the ball farther than some professional golfers.",simple,complex,compound-complex,compound,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
The production of a single pound of honey requires nectar from approximately two million flowers.",compound,complex,compound-complex,simple,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Franklin attends weekly book club meetings, and he finishes several novels every month.",compound-complex,compound,complex,simple,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Colton sat down on the rickety old chair, it abruptly collapsed beneath him.",compound,compound-complex,simple,complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Becky is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound,complex,simple,compound-complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Anna is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound-complex,simple,complex,compound,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Isaac took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",complex,compound-complex,compound,simple,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Antonio took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",simple,compound-complex,complex,compound,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Eric took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound-complex,compound,simple,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Joel took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",simple,compound,complex,compound-complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Darnell attends weekly book club meetings, and he finishes several novels every month.",simple,compound,compound-complex,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Devin took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",simple,compound,compound-complex,complex,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Manny took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound,complex,compound-complex,simple,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
The platypus has venom-producing glands, which are rare among mammals, but its venom is not generally lethal to humans.",simple,compound-complex,compound,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Since 1923, the United States Flag Code has provided advisory rules for displaying and handling the U.S. flag.",complex,simple,compound,compound-complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Joe took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound-complex,compound,simple,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
An avid reader, Paul attends weekly book club meetings, and he finishes several novels every month.",compound,compound-complex,complex,simple,A,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Latrell took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound-complex,complex,simple,compound,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Raymond took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound,simple,compound-complex,complex,B,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Luca sat down on the rickety old chair, it abruptly collapsed beneath him.",simple,compound-complex,compound,complex,D,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Matthew always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",complex,compound-complex,compound,simple,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
Max took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",compound,compound-complex,simple,complex,C,Language science,Grammar,Phrases and clauses
"Which type of sentence is this?
As Mike sat down on the rickety old chair, it abruptly collapsed beneath him.",compound,simple,compound-complex,complex,D,Language science,Grammar,Phrases and clauses
"What kind of sentence is this?
In the game today, Mary hit a home run with bases loaded!",declarative,interrogative,exclamatory,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Why are Chase and Haley arguing?",interrogative,exclamatory,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
The panoramic vistas along the South Rim of the Grand Canyon are simply breathtaking.",exclamatory,declarative,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
I can't believe this is Janet's first time seeing the Pacific Ocean!",interrogative,exclamatory,declarative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Molly put a bandage on my cut.",exclamatory,declarative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Amelia considers Paris the most romantic city in the world.",declarative,interrogative,exclamatory,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Helen considers Paris the most romantic city in the world.",exclamatory,declarative,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
That was the best performance I've ever seen!",declarative,interrogative,exclamatory,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Scarlett felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",declarative,interrogative,exclamatory,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Give Bobby a tour of the building and then take him to Mr. Owen's office.",imperative,exclamatory,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Lucy is completely soaked!",declarative,exclamatory,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Do you know Santiago from soccer camp, or do you have another connection with him?",imperative,interrogative,exclamatory,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Don't overlook Samantha when choosing the new principal.",imperative,exclamatory,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Does Eve prefer pizza or pasta?",interrogative,imperative,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Give Ronald a tour of the building and then take him to Mr. Cain's office.",exclamatory,interrogative,imperative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
This cool breeze feels great on such a hot day.",interrogative,declarative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
How well does Roger play the guitar?",imperative,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Please don't be upset with me.",interrogative,imperative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Seth campaigned tirelessly in support of his neighbor's bid for elective office.",exclamatory,interrogative,declarative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
For his report, Kurt needs information about zebras.",declarative,exclamatory,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Do you know Donald from soccer camp, or do you have another connection with him?",imperative,interrogative,declarative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
How many articles did Dave write before his publisher offered him a book contract?",interrogative,exclamatory,declarative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Denise considers Paris the most romantic city in the world.",exclamatory,declarative,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
The Small Dark Spot is the name of a cyclone that occurred on the planet Neptune.",declarative,exclamatory,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
In the game today, Molly hit a home run with bases loaded!",declarative,exclamatory,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Return the pliers to the toolbox in the garage when you're done.",exclamatory,interrogative,imperative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
This is the most beautiful scenery I've ever seen!",exclamatory,declarative,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
I can't believe this is Denise's first time seeing the Pacific Ocean!",exclamatory,interrogative,declarative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
The likelihood of two people having the same set of fingerprints is incredibly low.",declarative,exclamatory,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Are you yawning because you're tired or because you're bored?",imperative,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Brittany put a bandage on my cut.",interrogative,declarative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
What made Krysta so upset?",exclamatory,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Give Raymond a tour of the building and then take him to Mr. Hatfield's office.",exclamatory,imperative,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Would you like bacon with your eggs?",imperative,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Which do you think is the most important environmental issue of our time-water conservation or the protection of natural habitats?",imperative,exclamatory,interrogative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
What type of training and experience do you need to become a referee?",declarative,exclamatory,interrogative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
What made Nancy so upset?",declarative,interrogative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Not all monkeys live in the jungle.",exclamatory,declarative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Give me one good reason I should consider purchasing a hybrid vehicle.",imperative,exclamatory,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Why did the photographer choose to shoot the sunset in black and white?",declarative,interrogative,exclamatory,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
I can't believe this is Kendra's first time seeing the Pacific Ocean!",interrogative,exclamatory,declarative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Jayden usually eats oatmeal for breakfast.",exclamatory,declarative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Celery, onions, and carrots are often used in sauces and soups in French cooking.",interrogative,exclamatory,declarative,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
The European Space Agency's Philae lander was the first spacecraft to successfully land on the surface of a comet.",declarative,exclamatory,interrogative,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Oscar usually eats oatmeal for breakfast.",declarative,interrogative,,,A,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
I had no idea you played the piano so beautifully!",interrogative,exclamatory,declarative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Cows sometimes graze in this pasture.",interrogative,declarative,,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
The audience's thunderous applause left me completely speechless!",declarative,interrogative,exclamatory,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
Sebastian has never tried chocolate ice cream before, which I find astounding!",declarative,exclamatory,interrogative,,B,Language science,Punctuation,"Sentences, fragments, and run-ons"
"What kind of sentence is this?
In 1996, Death Valley had forty days with temperatures above 120°F!",interrogative,declarative,exclamatory,,C,Language science,Punctuation,"Sentences, fragments, and run-ons"
