Question,A,B,C,D
"What is the source of the allusion in the sentence below?
Mr. Floyd has a reputation as a Scrooge, so our club has stopped asking him for donations.",the Bible,literature,,
"Which figure of speech is used in this text?
Jeremiah and Kari have trouble working on projects together. Although Kari is very sociable and friendly, she's not exactly a team player.",paradox,euphemism,,
"Which word would you find on a dictionary page with the following guide words?
pageant - prevail",purchase,police,,
"What is the source of the allusion in the sentence below?
Denise told her friends that Cole was a typical Peter Pan type.",literature,a song,,
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Jennifer, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""",Jennifer plans to build a boat.,Jennifer thinks the storm will cause major flooding.,,
"Which figure of speech is used in this text?
The brush grabbed at his legs in the dark until one knee of his jeans ripped.
—John Steinbeck, ""Flight""",personification,allusion,,
"Last year, 50,000 people lived in the city of Springtown. But since then, 8,000 people have moved away. What probably happened to the overall supply of houses for sale in Springtown?",The supply probably went up.,The supply probably went down.,,
"Which figure of speech is used in this text?
Colleen asked her mother if she could adopt a cat, and her mother replied, ""It's a definite maybe,"" so Colleen didn't want to get her hopes up.",euphemism,oxymoron,,
"Which tense does the sentence use?
With sun and water, the gourd will grow very large.",past tense,present tense,future tense,
"What does the euphemism in this text suggest?
""Thank you for your work over the years,"" Mrs. Bryant said to her gardener. ""As of next week, however, your services will no longer be required.""",The gardener is no longer obligated to work for Mrs. Bryant.,The gardener is being fired.,,
Is a piece of gum a good or a service?,a good,a service,,
"Which word would you find on a dictionary page with the following guide words?
cedar - craft",court,cannon,,
"Would you find the word purse on a dictionary page with the following guide words?
patriot - pleasant",no,yes,,
"Would you find the word boil on a dictionary page with the following guide words?
barge - birch",yes,no,,
"Does the sentence use a simile or a metaphor?
Mrs. Shelton is kind, and her heart is gold.",metaphor,simile,,
"What does the euphemism in this text suggest?
Jessica is between jobs right now, so she's selling some of her old jewelry to help pay the bills.",Jessica is working two different jobs.,Jessica is unemployed.,,
"Read the following excerpt from a student essay. How can the writer best improve his or her grammar and mechanics?
Nearly out of breath, the door at the top of the stairs swings open, and I find myself on the main observation deck on the eighty-sixth floor of the Empire State Building. What a view there is! Looking down from this impressive landmark, New York City is displayed before me in every direction. To the southwest, the Statue of Liberty stands on Liberty Island in New York Harbor. This deck is one of the world's most famous movie sets, and it's also where my father proposed to my mother in 1995.",by fixing sentence fragments,by correcting misplaced modifiers,by fixing run-on sentences,
"Is this a run-on sentence?
I was incredibly bored at the party; on the other hand, my younger sister had a fabulous time.",yes,no,,
Suppose Kayla decides to make minestrone soup. Which result would be a cost?,The minestrone soup will be tastier than the cream of mushroom soup would have been.,Kayla will spend more time making the minestrone soup than she would have spent making the cream of mushroom soup.,,
"Which figure of speech is used in this text?
I know that I know nothing.
—attributed to Socrates",euphemism,paradox,,
"Complete the sentence so that it uses personification.
""You might think you'll always be young,"" Mrs. Nelson counseled, ""but time ()"".",affects everyone,creeps up on you,,
"Which figure of speech is used in this text?
Erin Brockovich, a single mother with no legal training, helped win a daunting court battle against a Goliath energy company.",allusion,onomatopoeia,,
"Which type of sentence is this?
Ann is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound-complex,complex,compound,simple
"What does the metaphor in this text suggest?
He reads incessantly; new ideas are food for his mind.",He is never satisfied with what he reads.,He is stimulated by new ideas.,,
"Which type of sentence is this?
Bert took several incredible panoramic photographs of the sweeping view from the top of Table Mountain.",complex,compound-complex,simple,compound
"Which tense does the sentence use?
The Pattons will stay at an inn on the island.",past tense,present tense,future tense,
"Is this a run-on sentence?
In 1941, automaker Henry Ford wrote a letter to Indian leader Mahatma Gandhi to express his admiration, in response, Gandhi sent Ford a manual spinning wheel.",yes,no,,
"Which tense does the sentence use?
We will pack our suitcases in the morning.",past tense,present tense,future tense,
"What does the idiom in this text suggest?
Jackie submitted her suggestions to Reid; now the ball is in his court.",Reid needs to act next.,Reid has some difficult work to do.,,
"Which word would you find on a dictionary page with the following guide words?
ahead - alas",ailing,are,,
"Complete the sentence so that it uses personification.
The wind () dispersed the leaves that Evan had spent so long raking.",lightly,carelessly,,
"Which figure of speech is used in this text?
I can resist everything except temptation.
—Oscar Wilde, Lady Windermere's Fan",paradox,oxymoron,,
"Which word would you find on a dictionary page with the following guide words?
beaver - bury",banner,brier,,
Suppose Susan decides to join the Photography Club. Which result would be a cost?,Susan will have more fun in the Photography Club than she would have had in the Theater Club.,Susan will spend more time in the Photography Club than she would have spent in the Theater Club.,,
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Kaylee, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""",Kaylee wants to protect her possessions.,Kaylee thinks the storm will cause major flooding.,,
"Which figure of speech is used in this text?
Erik remarked that the new book on anti-gravity was impossible to put down.",alliteration,pun,,
"Last year, 50,000 people lived in the city of Oak Grove. But since then, 8,000 people have moved away. What probably happened to the overall supply of houses for sale in Oak Grove?",The supply probably went up.,The supply probably went down.,,
"Which logical fallacy is used in the text?
Mr. Howell's class is so boring! Why are all literature classes so dull?",bandwagon fallacy: the assumption that the popular choice is automatically correct,hasty generalization: a broad claim based on too few observations,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,
"Is this a run-on sentence?
In 2004, the Cassini spacecraft arrived on Saturn and began photographing Saturn's moon Titan, revealing a number of lakes, rivers, and seas on the moon's frozen surface.",no,yes,,
Is there a surplus or shortage of peanut butter?,surplus,shortage,,
"Read the following text from a student essay. How can the writer best improve his or her ideas and development?
The Servicemen's Readjustment Act, also known as the G.I. Bill, gave veterans money to pay college costs and buy books and supplies. Ex-servicemen were also eligible to receive low-interest home loans so that they could afford to buy their own homes, as well as commercial loans to set up their own businesses. One of the more controversial aspects of the bill was the provision of unemployment benefits to the veterans who were unable to find jobs.",by stating the main idea clearly,by removing a second main idea,,
"Would you find the word steadily on a dictionary page with the following guide words?
screen - surf",yes,no,,
Which text uses the word random in its traditional sense?,"Martina made a random trip to the grocery store, though her kitchen was already stocked with a hodgepodge of food.","At the grocery store, Martina hastily grabbed fruits and vegetables at random, filling her shopping cart with a hodgepodge of food.",,
"Would you find the word clutch on a dictionary page with the following guide words?
criticism - cultivate",yes,no,,
"Which figure of speech is used in this text?
Common sense is not so common.
—attributed to Voltaire",anaphora,paradox,,
Is there a surplus or a shortage of scarves?,surplus,shortage,,
"Which type of sentence is this?
The weather forecast had predicted severe thunderstorms, but the dark, heavy thunderclouds never materialized.",complex,simple,compound,compound-complex
"What kind of sentence is this?
I couldn't believe how talented those trapeze artists were!",interrogative,declarative,exclamatory,
"Which figure of speech is used in this text?
Dr. Shelton is unhappy with her new assistant because simple tasks, like fetching coffee, take him years to finish.",anaphora,hyperbole,,
"Does the sentence use a simile or a metaphor?
If we wake him too early, our dad is a grumpy bear.",metaphor,simile,,
"Would you find the word steadily on a dictionary page with the following guide words?
solo - support",yes,no,,
"Which word would you find on a dictionary page with the following guide words?
neglect - normal",nice,nylon,,
"What is the source of the allusion in the sentence below?
Olivia was known among her coworkers for her spartan ways.",Shakespeare,Greek history,,
"What does the hyperbole in this text suggest?
The last time Caleb cleaned his room, dinosaurs were still roaming the Earth.",Caleb hasn't cleaned his room in a very long time.,Caleb refuses to clean his room.,,
Suppose Luna decides to get the cherries jubilee ice cream. Which result would be a cost?,Luna will give up the chance to get a free waffle cone. She would have enjoyed the waffle cone.,Luna will get to eat the cherries jubilee ice cream. She likes this flavor more than vanilla bean.,,
"Which figure of speech is used in this text?
Dr. Wilkinson is unhappy with her new assistant because simple tasks, like fetching coffee, take him years to finish.",oxymoron,hyperbole,,
"Would you find the word even on a dictionary page with the following guide words?
engineer - except",no,yes,,
"Which figure of speech is used in this text?
Russell's '64 Impala groaned as he turned the ignition. Yet again he resolved to refurbish it over the summer.",personification,simile,,
"Which figure of speech is used in this text?
For the time being, certainly, it had been found necessary to make a readjustment of rations (Squealer always spoke of it as a ""readjustment,"" never as a ""reduction"") . . .
—George Orwell, Animal Farm",euphemism,antithesis,,
"What is the source of the allusion in the sentence below?
Before Sophie had even met her future husband in person, she knew about his reputation as a Romeo.",Roman mythology,literature,,
"What is the source of the allusion in the sentence below?
Much to our shock, Josh chose to turn the other cheek when Olivia insulted him in a meeting.",a song,the Bible,,
"Which figure of speech is used in this text?
""This mattress is as soft as concrete,"" Oscar complained as he tested the bed in his hotel room.",pun,verbal irony,,
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Bonnie, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""",Bonnie thinks the storm will cause major flooding.,Bonnie wants to protect her possessions.,,
"Which logical fallacy is used in the text?
Leah should either stop reading those sappy paranormal romance novels or finally admit that she doesn't believe in empowering women.",bandwagon fallacy: the assumption that the popular choice is automatically correct,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,false dichotomy: an argument that presents only two choices when more options exist,
"What is the source of the allusion in the sentence below?
When I learned the details of Rachel's Faustian bargain, I was in disbelief.",history,literature,,
"What is the source of the allusion in the sentence below?
Jerry dropped out of college to travel the world, but a year later, the prodigal son returned home and re-enrolled.",British history,the Bible,,
Suppose Mary decides to make split pea soup. Which result would be a cost?,"Mary will give up the chance to eat the minestrone soup, which would have been tastier than the split pea soup.",Mary will save some time. The minestrone soup would have taken longer to make than the split pea soup.,,
"What does the idiom in this text suggest?
In such an unfamiliar environment, Johnny was a fish out of water.",Johnny felt out of place.,Johnny didn't have any friends.,,
"Which logical fallacy is used in the text?
How could the Harry Potter movies not have won even one Academy Award? It's one of the most popular franchises of all time!","false causation: the assumption that because two things happened together, one caused the other",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,bandwagon fallacy: the assumption that the popular choice is automatically correct,
"Which logical fallacy is used in the text?
Rudy once fell asleep with the window open and woke up with a horrible migraine. Since then, he's always made sure to close his window before going to sleep.",slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,"false causation: the assumption that because two things happened together, one caused the other",straw man: a misrepresentation of an opponent's position that makes it easier to argue against,
"Which tense does the sentence use?
We see a wide range of animals at the aquarium.",present tense,past tense,future tense,
"Which figure of speech is used in this text?
Bryan's leaving his job? That's old news. He's been planning that for months.",euphemism,oxymoron,,
"Which word would you find on a dictionary page with the following guide words?
mama - mirror",message,mole,,
"Which word would you find on a dictionary page with the following guide words?
trench - twist",toboggan,turban,,
Suppose Chad decides to bake lemon muffins. Which result would be a cost?,Chad will give up the chance to eat cornbread muffins. He thinks cornbread muffins are tastier than lemon muffins.,Chad will get to eat more muffins. He can make more lemon muffins than cornbread muffins.,,
"What does the verbal irony in this text suggest?
""Someone had better turn on the heat,"" Lexi said, sweat glistening on her face.",The temperature was too warm.,The temperature was too cool.,,
"Which figure of speech is used in this text?
When Alana first joined the track team, she was afraid of jumping, but she got over that hurdle.",verbal irony,pun,,
Suppose Colin decides to join the Photography Club. Which result would be a cost?,Colin will have more fun in the Photography Club than he would have had in the Theater Club.,Colin will spend more time in the Photography Club than he would have spent in the Theater Club.,,
Suppose Lucy decides to join the Photography Club. Which result would be a cost?,Lucy will save some time. She would have spent more time in the Theater Club than in the Photography Club.,Lucy will give up the chance to be in the Theater Club. She would have had more fun in the Theater Club than in the Photography Club.,,
"What does the idiom in this text suggest?
Victoria submitted her suggestions to Richard; now the ball is in his court.",Richard needs to act next.,Richard has some difficult work to do.,,
"Would you find the word amazed on a dictionary page with the following guide words?
aboard - arrive",no,yes,,
Suppose Dwayne decides to go on the spinning teacups. Which result would be a cost?,Dwayne will have more fun on the spinning teacups than he would have had on the scrambler.,Dwayne will spend more ride tickets on the spinning teacups than he would have spent on the scrambler.,,
"What kind of sentence is this?
Maureen felt intimidated by the steep cliff that she faced on her first rock-climbing adventure.",exclamatory,declarative,interrogative,
"Which logical fallacy is used in the text?
Rita's shoes are superior, because they're made from one hundred percent snakeskin, not synthetic materials.",appeal to nature: the assumption that natural things are always good,bandwagon fallacy: the assumption that the popular choice is automatically correct,,
"What does the metaphor in this text suggest?
When Devin lost his job, he was devastated. The only light in the sea of darkness was the prospect of pursuing a new career.",There was a benefit to Devin's job loss.,Having to pursue a new career was the worst part of Devin's job loss.,,
"Which figure of speech is used in this text?
Tear it down, my wife said. Tear it down, my friends said. Tear it down, the neighbors said. But I did not tear it down; I renovated that shed and made it my own personal music studio.",apostrophe,anaphora,,
"Is this a sentence fragment?
In the early 1800s, yellow fever, a viral disease spread by mosquitoes, not by unsanitary conditions as was believed at the time.",no,yes,,
"Which logical fallacy is used in the text?
If you don't do tonight's homework, it'll become a habit, and eventually you'll end up at a dead-end job.",guilt by association: a negative association intended to discredit someone or something,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,bandwagon fallacy: the assumption that the popular choice is automatically correct,
"Which type of sentence is this?
An avid reader, Logan attends weekly book club meetings, and he finishes several novels every month.",compound,simple,compound-complex,complex
"Which logical fallacy is used in the text?
Edna never lies. She told me herself, so it must be true.",circular reasoning: an argument that supports a claim with the claim itself,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,,
Is directing traffic a good or a service?,a service,a good,,
"What does the simile in this text suggest?
My momma always said life was like a box of chocolates. You never know what you're gonna get.
—Forrest Gump",Life is luxurious.,Life is unpredictable.,,
"Would you find the word grunt on a dictionary page with the following guide words?
generous - glitter",yes,no,,
"Which tense does the sentence use?
For Thanksgiving, Mom will cook a turkey.",past tense,present tense,future tense,
"Which tense does the sentence use?
Uncle Danny will cook dinner for us.",present tense,past tense,future tense,
"Which figure of speech is used in this text?
At twenty-one, Tyler felt overwhelmed with adult responsibilities and wished he could fly off to Neverland.",onomatopoeia,allusion,,
"Which logical fallacy is used in the text?
Adele never lies. She told me herself, so it must be true.",circular reasoning: an argument that supports a claim with the claim itself,hasty generalization: a very broad claim based on very little evidence,,
"Which word would you find on a dictionary page with the following guide words?
dare - disturb",devour,dread,,
"Which tense does the sentence use?
Victoria learns about her ancestors in the book.",present tense,past tense,future tense,
"What does the euphemism in this text suggest?
Ed is big-boned, so despite being in middle school, he often shops in the men's department.",Ed is tall for his age.,Ed is overweight.,,
"Which logical fallacy is used in the text?
My favorite band signed with this huge record label, and then their next album was terrible. Basically, signing with a big label ruined their music.",circular reasoning: an argument that supports a claim with the claim itself,appeal to nature: the assumption that natural things are always good,"false causation: the assumption that because two things happened together, one caused the other",
"Which tense does the sentence use?
Dylan will make cookies with his friends.",future tense,present tense,past tense,
"What kind of sentence is this?
Caribou eat plants and grass in the summer and mushrooms and lichen in the winter.",interrogative,exclamatory,declarative,
"Which figure of speech is used in this text?
Regan's Bistro used to be a great place to go for a delicious and carefully prepared dinner, but nobody goes there anymore: it's too crowded.",euphemism,paradox,,
"Would you find the word decay on a dictionary page with the following guide words?
distinct - draw",no,yes,,
"Which logical fallacy is used in the text?
I'm not surprised, frankly, that someone who gets lost in his own neighborhood would argue that New York has better pizza than Chicago.",ad hominem: a personal attack against one's opponent,circular reasoning: an argument that supports a claim with the claim itself,,
"What kind of sentence is this?
Give Ronald a tour of the building and then take him to Mr. Cain's office.",exclamatory,interrogative,imperative,
"Which logical fallacy is used in the text?
How can I be expected to do my homework when billions of people around the world are throwing their plastic water bottles away without recycling them?",circular reasoning: an argument that supports a claim with the claim itself,red herring: the use of a completely unrelated topic or idea,,
"Would you find the word linen on a dictionary page with the following guide words?
leather - lying",yes,no,,
"What does the metaphor in this text suggest?
When Malik lost his job, he was devastated. The only light in the sea of darkness was the prospect of pursuing a new career.",There was a benefit to Malik's job loss.,Malik felt in the dark about what to do after losing his job.,,
"What is the source of the allusion in the sentence below?
Martina was known among her coworkers for her spartan ways.",Greek history,the Bible,,
A recent news story said a healthy diet is the key to living longer. It said people should eat less meat and more vegetables. What will probably happen to the overall supply of vegetables over the next year?,The supply will probably go down.,The supply will probably go up.,,
"Which tense does the sentence use?
Sam and Annie will swim in the warm pool.",future tense,past tense,present tense,
"Last year, there were seven men's clothing stores on Main Street in Fairview. This year, there are only three. What probably happened to the overall supply of men's shirts in Fairview?",The supply probably went up.,The supply probably went down.,,
"What kind of sentence is this?
Would you like bacon with your eggs?",imperative,interrogative,,
"Would you find the word unite on a dictionary page with the following guide words?
umbrella - usual",yes,no,,
"What does the allusion in this text suggest?
With the gutters clogged and water rising in the streets, Cara, who was watching the storm from her window, commented, ""We're going to need an ark to get out of here.""",Cara wants to protect her possessions.,Cara thinks the storm will cause major flooding.,,
Suppose Hansen decides to plant the oak tree. Which result would be a cost?,The oak tree will use up more space than the irises would have used up.,Hansen will get to look at the oak tree. He thinks it will look more beautiful than the irises would have looked.,,
"What kind of sentence is this?
Please cut up the watermelon.",interrogative,imperative,,
"Which type of sentence is this?
Ruth is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",complex,compound-complex,compound,simple
"Which figure of speech is used in this text?
Reality leaves a lot to the imagination.
—attributed to John Lennon",euphemism,paradox,,
"Which figure of speech is used in this text?
I got hit in the head by a can of soda. Luckily it was a soft drink.",pun,onomatopoeia,,
"What is the source of the allusion in the sentence below?
Pamela warned her youngest son not to cry wolf while wrestling with his older brother.",U.S. history,a fable,,
"Which figure of speech is used in this text?
At twenty-one, Edwin felt overwhelmed with adult responsibilities and wished he could fly off to Neverland.",allusion,simile,,
"Which figure of speech is used in this text?
Although Gary hasn't worked in years, his mother prefers to say that he's between jobs right now.",oxymoron,euphemism,,
"Which logical fallacy is used in the text?
Don't ever get a ride from Mia. Her brother has been driving for only six months, and he's already gotten three speeding tickets.",guilt by association: a negative association intended to discredit someone or something,circular reasoning: an argument that supports a claim with the claim itself,,
"Which word would you find on a dictionary page with the following guide words?
teacher - total",trolley,think,,
"Which figure of speech is used in this text?
I must have eaten too much of Sean's homemade chili, because now I'm so full I could explode!",oxymoron,hyperbole,,
"Would you find the word fifty on a dictionary page with the following guide words?
felt - foster",yes,no,,
"What is the source of the allusion in the sentence below?
Much to our shock, Percy chose to turn the other cheek when Shelby insulted him in a meeting.",the Bible,a song,,
"Which figure of speech is used in this text?
Bruce's '64 Impala groaned as he turned the ignition. Yet again he resolved to refurbish it over the summer.",personification,simile,,
Is a rubber band a good or a service?,a good,a service,,
Suppose Deb decides to eat the sunflower seeds. Which result would be a cost?,Deb will get to eat the sunflower seeds. The sunflower seeds will be healthier than the apple crisp would have been.,Deb will give up the chance to eat the apple crisp. Deb thinks apple crisp would have tasted better than sunflower seeds will.,,
"Is this a sentence fragment?
Derailed by miscommunication and a lack of funding, Evan and Jon's new business venture.",yes,no,,
"Which tense does the sentence use?
Mr. Coleman signed his name on the letter.",present tense,future tense,past tense,
"Which type of sentence is this?
Leroy always approaches difficult tasks enthusiastically, and he frequently motivates others with his energy and fervor.",compound,compound-complex,complex,simple
Is a skateboard a good or a service?,a service,a good,,
"Would you find the word herd on a dictionary page with the following guide words?
however - hue",yes,no,,
"What is the source of the allusion in the sentence below?
Abby thinks Mr. Larson is a Luddite because he doesn't own a cell phone.",Roman history,British history,,
"What is the source of the allusion in the sentence below?
Most of the people who knew Dale considered him to be an unrepentant Casanova.",Greek mythology,history,,
"What does the verbal irony in this text suggest?
According to Mr. Long's kids, his snoring is as quiet as a jackhammer.",The snoring occurs in bursts.,The snoring is loud.,,
"Which figure of speech is used in this text?
In this work are exhibited in a very high degree the two most engaging powers of an author. New things are made familiar, and familiar things are made new.
—Samuel Johnson, Lives of the English Poets",chiasmus,apostrophe,,
"What is the source of the allusion in the sentence below?
For several years, Dora Maar was Pablo Picasso's muse.",a fairy tale,Greek mythology,,
"Complete the sentence so that it uses personification.
Despite centuries of decay, the ancient structure still stands tall and ().",proud,straight,,
"Which figure of speech is used in this text?
After spending weeks in New York City, Clara was a bit unnerved by the deafening silence of her small hometown.",oxymoron,euphemism,,
"Which figure of speech is used in this text?
Maya gazed at the ancient pug that seemed to sleep all day and noted, ""You're an energetic puppy!""",verbal irony,pun,,
"Which type of sentence is this?
Annie is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",compound-complex,complex,simple,compound
"Would you find the word beginner on a dictionary page with the following guide words?
bade - butterfly",yes,no,,
"Last year, 50,000 people lived in the city of Norwood. But since then, 8,000 people have moved away. What probably happened to the overall supply of houses for sale in Norwood?",The supply probably went down.,The supply probably went up.,,
"What is the source of the allusion in the sentence below?
After a long second half full of sound and fury, the soccer game concluded in a tie.",Shakespeare,French history,,
"Which figure of speech is used in this text?
Ronald remarked that the new book on anti-gravity was impossible to put down.",pun,alliteration,,
"Would you find the word long on a dictionary page with the following guide words?
level - lion",yes,no,,
Suppose Brendan decides to plant the magnolia tree. Which result would be a cost?,The magnolia tree will use up more space than the lilies would have used up.,Brendan will get to look at the magnolia tree. He thinks it will look more beautiful than the lilies would have looked.,,
"Which figure of speech is used in this text?
When Melissa first joined the track team, she was afraid of jumping, but she got over that hurdle.",pun,allusion,,
"Complete the sentence so that it uses personification.
The giant boulder () budge, no matter how hard we pushed.",would not,refused to,,
"Complete the sentence so that it uses personification.
Slowly, a renewed sense of dread () her mind.",invaded,filled,,
"Read the following excerpt from a student essay. How can the writer best improve his or her grammar and mechanics?
In Great Expectations by Charles Dickens, Pip, a young orphan, is sent by his sister to the home of Miss Havisham, a wealthy, eccentric woman. There he meets Estella, a beautiful girl whom he falls hopelessly in love with. On one visit to Miss Havisham's, Pip encounters a boy who challenges him to a fight; wanting to impress Estella, he hits the boy. ""I never have been so surprised in my life as I was when I let out the first blow and saw him lying on his back, looking up at me with a bloody nose"", Pip recounts. Estella seems delighted and says to Pip ""Come here! You may kiss me if you like"".",by fixing run-on sentences,by punctuating quotations correctly,by using semicolons correctly,
"What kind of sentence is this?
I can't believe this is Janet's first time seeing the Pacific Ocean!",interrogative,exclamatory,declarative,
"What is the source of the allusion in the sentence below?
Alec's Falstaffian nature makes him stand out at a party.",Shakespeare,Greek mythology,,
"What does the idiom in this text suggest?
""Speak of the devil!"" Tina declared when Larry strolled into the room.",Tina had just been speaking about Larry.,Tina didn't trust Larry.,,
"Which tense does the sentence use?
Akiko teaches Norma about customs in Japan.",past tense,future tense,present tense,
"The city of Ashland has been one of the world's biggest makers of cough drops for many years. But last month, Ashland's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,
"Which type of sentence is this?
An avid reader, Garrett attends weekly book club meetings, and he finishes several novels every month.",compound,compound-complex,complex,simple
"What does the verbal irony in this text suggest?
""That fits you well,"" Ron remarked after Marcy's cap fell over her eyes for the tenth time.",The cap was too big.,The cap looked nice on Marcy.,,
"Which logical fallacy is used in the text?
Don't try to tell me that you only watch educational programming, Wanda! I know for a fact that your sister only watches reality television.",circular reasoning: an argument that supports a claim with the claim itself,guilt by association: a negative association intended to discredit someone or something,,
"Which word would you find on a dictionary page with the following guide words?
willow - wreath",wedding,wobble,,
Suppose Lauren decides to go as a superhero. Which result would be a cost?,Lauren will save some time and money. She won't have to go out and get a new costume.,Lauren will give up the chance to wear the costume she is more excited about.,,
"Which tense does the sentence use?
We blame the blizzard for the traffic.",future tense,present tense,past tense,
"What is the source of the allusion in the sentence below?
The economist had been quietly publishing articles about the future of the housing market like a dutiful Cassandra.",Greek mythology,a poem,,
"What does this Works Cited entry indicate about the cited work?
Blake, William. The Complete Poetry and Prose of William Blake. Ed. David V. Erdman. New York: Anchor, 1988. Print.",It is a book.,It is a short story.,It is a poem.,
"What is the source of the allusion in the sentence below?
""Michael's personality is very Jekyll and Hyde,"" Carrie told her brother.",U.S. history,literature,,
"Which figure of speech is used in this text?
Jackie insisted that her dog wasn't fat; she said that he was merely well-fed.",euphemism,paradox,,
"Which figure of speech is used in this text?
Everything in this room is eatable, even I'm eatable! But that is called cannibalism, my dear children, and is in fact frowned upon in most societies.
—Willy Wonka in Charlie and the Chocolate Factory",understatement,apostrophe,,
"Would you find the word throb on a dictionary page with the following guide words?
taper - tentacle",yes,no,,
"Which type of sentence is this?
Leonardo da Vinci, who was a renowned painter and sculptor, was also an inventor and scientist.",compound,complex,compound-complex,simple
"Which word would you find on a dictionary page with the following guide words?
tender - torn",tray,thankful,,
"Which logical fallacy is used in the text?
Mr. Wells argues that we need to do more to prevent workplace injuries and fatalities. I doubt that someone so socially awkward would know a thing about office safety.",ad hominem: a personal attack against one's opponent,bandwagon fallacy: the assumption that the popular choice is automatically correct,,
"What does the verbal irony in this text suggest?
""This salsa could use a little more spice,"" Vijay said as he gulped down water and wiped tears from his eyes.",The salsa was too spicy.,The salsa was tasteless.,,
Suppose Isabelle decides to bake bran muffins. Which result would be a cost?,Isabelle will get to eat more muffins. She can make more bran muffins than chocolate muffins.,Isabelle will give up the chance to eat chocolate muffins. She thinks chocolate muffins are tastier than bran muffins.,,
Suppose Meg decides to plant the magnolia tree. Which result would be a cost?,The magnolia tree will use up more space than the hydrangeas would have used up.,Meg will get to look at the magnolia tree. She thinks it will look more beautiful than the hydrangeas would have looked.,,
"Which tense does the sentence use?
Akiko teaches Audrey about customs in Japan.",future tense,past tense,present tense,
"The city of Fairview has been one of the world's biggest makers of cough drops for many years. But last month, Fairview's cough drop factories were destroyed by floods. What will probably happen to the overall supply of cough drops?",The supply will probably go up.,The supply will probably go down.,,
"Which word would you find on a dictionary page with the following guide words?
harness - hotel",hurdle,himself,,
"Would you find the word impolite on a dictionary page with the following guide words?
ice - intense",no,yes,,
"Which type of sentence is this?
Kathleen is a competitive horseback rider, and she will be competing in the next World Equestrian Games, which are held every four years.",simple,compound-complex,compound,complex
"Which figure of speech is used in this text?
Emilio returned to the parking lot to find his car somewhat destroyed. Apparently someone had crashed into it while he was working and had broken the entire front windshield.",euphemism,oxymoron,,
"Which word would you find on a dictionary page with the following guide words?
chose - confident",capitol,clung,,
"Is this a run-on sentence?
It is estimated that ten percent of the population has a fear of needles, medical researchers are developing devices that make injections pain-free.",no,yes,,
"Would you find the word blouse on a dictionary page with the following guide words?
board - bundle",yes,no,,
"Which figure of speech is used in this text?
After Wanda cooked and served a scrumptious dinner, Dad boasted that she is the Julia Child of our family.",simile,allusion,,
"Which figure of speech is used in this text?
Ariel, I've told you a million times: you need to dry the dishes before you put them away.",hyperbole,paradox,,
"Does the sentence use a simile or a metaphor?
Mrs. Robertson is an owl, working at night and sleeping during the day.",metaphor,simile,,
"Would you find the word blessing on a dictionary page with the following guide words?
billow - brown",no,yes,,
"What does the allusion in this text suggest?
The swordsman achieved a pyrrhic victory, defeating his opponent while incurring mortal wounds of his own.",The victory came at a great cost.,The victory was quick and efficient.,,
"Which figure of speech is used in this text?
Lexi, please stay away from the ocean. You shouldn't go in the water until you know how to swim.",oxymoron,paradox,,
"What does the verbal irony in this text suggest?
While waiting for her search results, Katie exclaimed, ""My Internet connection is as speedy as a snail!""",The Internet connection was very slow.,Katie was patiently waiting for an Internet connection.,,
"Which tense does the sentence use?
Dad will love your surprise gift!",future tense,past tense,present tense,
"What is the source of the allusion in the sentence below?
""Erica is such a Pollyanna!"" Jon announced with a sigh.",British history,literature,,
"Which logical fallacy is used in the text?
I used to love this TV show, but then I found out that Shane likes it, too. So I changed my opinion—if someone like Shane likes a show, it can't be as good as I thought!",guilt by association: a negative association intended to discredit someone or something,straw man: a misrepresentation of an opponent's position that makes it easier to argue against,slippery slope fallacy: the false assumption that a small first step will lead to extreme consequences,
"What kind of sentence is this?
Consider yourself fortunate that you missed the test.",imperative,interrogative,exclamatory,
Suppose Wanda decides to get the rainbow sherbet ice cream. Which result would be a cost?,Wanda will give up the chance to eat the peach ice cream. She likes this flavor more than rainbow sherbet.,Wanda will get a free waffle cone. She will enjoy the waffle cone.,,
"Which type of sentence is this?
As Colton sat down on the rickety old chair, it abruptly collapsed beneath him.",compound,compound-complex,simple,complex
