Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
"Like the mitochondria, chloroplasts have their own dna and ribosomes, but chloroplasts have an entirely different function. chloroplasts are plant cell organelles that carry out what?",reproduction,photosynthesis,digestion,growth,B,Biology,Cell Biology,B,B,1,1
"What are the membrane-bound organelles that are usually larger than vesicles and can have secretory, excretory, and storage functions?",vacuoles,ribosomes,tubules,nucleolus,A,Biology,Cell Biology,A,A,1,1
What cell structures are like storage centers and tend to be larger in plant cells?,tubules,alleles,vacuoles,nuclei,C,Biology,Cell Biology,C,C,1,1
The cell starting meiosis is called a what?,secondary oocyte,primary oocyte,primary gamete,zygote,B,Biology,Cell Biology,B,B,1,1
"In humans, the sperm cell is the only cell with what structure that enables motility?",flagella,eukaryotic,False Cell,sporangia,A,Biology,Cell Biology,A,A,1,1
Daughter cells divide by what?,meiosis,electrolysis,mitosis,nucleus,A,Biology,Cell Biology,C,C,0,0
What are the cells caused that parasites spread through their host?,fungi spores,sporozoites,prokaryotes,protists,B,Biology,Cell Biology,B,B,1,1
What are centrioles made from?,carbon,short microtubules,short filaments,short particles,B,Biology,Cell Biology,B,B,1,1
There are three different types of rna. all three types are needed to make what?,lipids,acids,Blood,proteins,D,Biology,Cell Biology,D,D,1,1
What do you call the fragments of cells involved in the clotting process that are suspended in blood plasma?,ironites,hematocrit,hemoglobin,platelets,D,Biology,Cell Biology,D,D,1,1
What cellular structure moves molecules between locations inside the cell?,transport vessels,capillaries,transport vesicles,dna vesicles,C,Biology,Cell Biology,C,C,1,1
"As a cell grows, its volume increases more quickly than its what?",age,surface area,density,weight,B,Biology,Cell Biology,B,B,1,1
German doctor rudolf virchow first discovered what process when studying living cells under a microscope?,evolution,radiation,photosynthesis,cell division,D,Biology,Cell Biology,D,D,1,1
Pseudopods are temporary extensions of what?,the cell wall,the mucus,cytopods,the cytoplasm,D,Biology,Cell Biology,D,D,1,1
"In eukaryotes, mrna may be modified before leaving what?",ribosome,nucleus,mitochondria,epidermis,B,Biology,Cell Biology,B,B,1,1
The majority of cells in blood are erythrocytes or?,50.3 blood cells,red blood cells,s.a blood cells,Deep Blood Cells,B,Biology,Cell Biology,B,B,1,1
What is the process of the blastula forming 3 layers of cells called?,gastrulation,internalization,Mitosis,fermentation,A,Biology,Cell Biology,A,A,1,1
What kind of agriculture destroyed about 10% of madagascar's native plants?,crop rotation,hybridization,fertilizer use,slash-and-burn,D,Biology,Ecology,D,D,1,1
Which infection turns ant's abdomen red and fruit-like and an easy prey for birds?,trichina,yeast,cocklebur,neotropicum,D,Biology,Ecology,C,D,0,1
What is the term for organisms that make their own food?,plastids,autotrophs,omnivores,monocots,B,Biology,Ecology,B,B,1,1
The global biosphere includes all areas of what?,life,geography,study,science,A,Biology,Ecology,A,A,1,1
"The earth is like organisms in that it maintains a stable state, which is also known as what?",ketosis,hibernation,homeostasis,dormancy,C,Biology,Ecology,C,C,1,1
"What term refers to the balance, or equilibrium, within the cell or a body, and an organism’s ability to keep a constant internal environment?",metabolism,ketosis,homeostasis,consciousness,C,Biology,Ecology,C,C,1,1
What is the term for the process in which an area that has never before been colonized changes through time?,continuous succession,environmental succession,ecological succession,colony succession,C,Biology,Ecology,C,C,1,1
What is the accelerating pattern of increasing population size called?,reproducing growth,induced growth,limited growth,exponential growth,D,Biology,Ecology,D,D,1,1
What is the diversity of living things called?,adaptation,biodiversity,habitat,ecosystem,B,Biology,Ecology,B,B,1,1
What are organisms that eat just one type of food?,gluttons,hedonists,devotees,specialists,D,Biology,Ecology,D,D,1,1
Pyramids of net production and biomass reflect what level of efficiency?,medium,high,low,extreme,C,Biology,Ecology,B,B,0,0
What are are organisms that feed on small pieces of organic matter?,bottom feeders,difference feeders,waste feeders,deposit feeders,D,Biology,Ecology,D,D,1,1
What is the name for the nonliving parts of ecosystems?,diverse factors,abiotic factors,nucleic factors,Dead factors,B,Biology,Ecology,B,B,1,1
Mutualism is an interaction between individuals of two different species that has what effect on both of them?,beneficial,harmful,neutral,abnormal,A,Biology,Ecology,A,A,1,1
"Loss of what eventually threatens other species not impacted directly, because of their interconnectedness; as species disappear from an ecosystem others are threatened by changes in available resources?",oxygen,technology,biodiversity,climate,C,Biology,Ecology,C,C,1,1
Ecosystem dynamics include more than the flow of energy and recycling of matter. ecosystems are also dynamic because they?,stay the same,change through time,recreate exactly alike,never move,B,Biology,Ecology,B,B,1,1
What is the study of how living organisms interact with each other and with their environment?,zoology,botany,ecology,genetics,C,Biology,Ecology,C,C,1,1
What is a symbiotic relationship in which both species benefit?,parasitism,detrimental,mutualism,inorganic,C,Biology,Ecology,C,C,1,1
What can autographs do that heterotrophs cannot do?,make their own food,make their own air,live without water,live without sleep,A,Biology,Ecology,A,A,1,1
"In biology, what is required for ecosystems to survive?",energy,helium,space,minerals,A,Biology,Ecology,A,A,1,1
Toxic compounds in the environment have the most severe impact on animals that are top-level what?,herbivores,vegetarian,omnivores,carnivores,D,Biology,Ecology,D,D,1,1
What are found in moist forests that break down decaying plant material?,myriapoda,spirogyra,trichina,organism,A,Biology,Ecology,A,A,1,1
What do decomposers release once they have broken down the dead organisms?,essential molecules,inorganic molecules,unusable molecules,organic molecules,B,Biology,Ecology,B,B,1,1
What is the term for a mutually beneficial relationship in which one organism lives inside the other?,parasite,symbiosis,endosymbiosis,parthenogenesis,C,Biology,Ecology,B,C,0,1
What are the nonliving parts of ecosystems like soil and air called?,abiotic factors,irrelevant factors,exemplified factors,inorganic factors,A,Biology,Ecology,A,A,1,1
What is likely to happen to a parasite if it kills its host?,it adapts,it thrives,it dies,it mutates,C,Biology,Ecology,C,C,1,1
What must be present on a plant where ladybugs will lay their eggs?,aphids,mites,dew drops,butterflies,A,Biology,Ecology,A,A,1,1
What is the term for something in the environment that causes a reaction in an organism?,crisis,stimulus,pollution,climate,B,Biology,Ecology,B,B,1,1
"What are essential for pollination, but  can spread disease and destroy crops?",insects,spiders,fruits,mice,A,Biology,Ecology,A,A,1,1
"When populations get close to the carrying capacity, what happens to growth?",slows,dies,halts,spikes,A,Biology,Ecology,A,A,1,1
"Fungus-like protist saprobes play what role in a food chain and are specialized to absorb nutrients from nonliving organic matter, such as dead organisms or their wastes?",aphids,Soil,fluxes,decomposers,D,Biology,Ecology,D,D,1,1
What is the term for the movement of individuals out of a population?,emigration,succession,colonization,immigration,A,Biology,Ecology,A,A,1,1
Organisms incapable of photosynthesis that must therefore obtain energy and carbon from food by consuming other organisms are called what?,photoautotrophs,autotrophs,chemoautotrophs,heterotrophs,D,Biology,Ecology,D,D,1,1
"What factors consist of parts of the environment that are or were alive, and their remains?",biotic factors,abiotic factors,xerophytic factors,decomposition factors,A,Biology,Ecology,A,A,1,1
Overpopulation takes place when the number of organisms in an area exceeds what?,consumers,predators,carrying capacity,biome size,C,Biology,Ecology,C,C,1,1
Metabolic cooperation between different prokaryotic species often occurs in surface-coating colonies. what are these colonies called?,eukaryotes,lichens,plankton,biofilms,D,Biology,Ecology,D,D,1,1
"Living things that use energy to make food, both for themselves and other living things, are what part of an ecosystem?",decomposers,consumers,producers,growers,C,Biology,Ecology,C,C,1,1
What is the term for species in symbiotic relationships evolving together?,autogeneration,coevolution,innervation,interconnection,B,Biology,Ecology,B,B,1,1
What hypothesis states that the biosphere is its own living organism,the seager hypothesis,the gaia hypothesis,Big Bang theory,small world theory,B,Biology,Ecology,B,B,1,1
Some flatworms are free-living carnivores that live mainly in which type of habitats?,Desert,aquatic,Deciduous forest,freshwater,B,Biology,Ecology,B,B,1,1
Herbivores and the bacteria that live in their intestines demonstrate a two-way beneficial relationship called what?,parasitism,pragmatism,mutualism,syncretism,C,Biology,Ecology,C,C,1,1
A biofilm is a colony of prokaryotes that is stuck to what?,the middle,the bottom,surface,skin,C,Biology,Ecology,C,C,1,1
The first few species to colonize a disturbed area are called what?,pioneer species,original species,producer species,colonization species,A,Biology,Ecology,A,A,1,1
Secondary consumers are usually carnivores that eat what?,plants,soil,primary consumers,dead material,C,Biology,Ecology,C,C,1,1
Where do you find the greatest biodiversity?,in the tundra,in shallow lakes,in the tropics,at the poles,C,Biology,Ecology,C,C,1,1
What kind of parasites are nearly all ticks that live on the body surfaces of reptiles or mammals?,helminths,protozoa,bloodsucking,ectoparasites,C,Biology,Ecology,D,D,0,0
What do you call the relationship in which members of one species consume members of another species?,competition,parasitism,exploitation,predation,D,Biology,Ecology,D,D,1,1
What is the movement of animals from one place to another?,migration,trade,communication,population,A,Biology,Ecology,A,A,1,1
What do decomposers release back to the environment after they break down the remains and other wastes?,unrefined waste,carbon monoxide,nematodes,simple inorganic molecules,D,Biology,Ecology,D,D,1,1
Molds growing on foods are a common type of what organisms that play very important roles in almost every terrestrial ecosystem on earth?,yeast,pollen,mildew,fungi,D,Biology,Ecology,D,D,1,1
What members of an ecosystem food chain take in food by eating producers or other living things?,consumers,decomposers,primary producers,insectivores,A,Biology,Ecology,A,A,1,1
What does the armor including spines in some species offer?,protection from predators,protection from cold,nutrition,energy,A,Biology,Ecology,A,A,1,1
Migration and hibernation are examples of behaviors that occur on what temporal basis?,weekly,annual,nocturnal,daily,B,Biology,Ecology,B,B,1,1
"Most ecosystems are disturbed too often to attain what final, stable status?",calm community,climax community,undisrupted community,even community,B,Biology,Ecology,B,B,1,1
What term is defined as the area where a species lives and to which it has become adapted?,nature,range,habitat,farmland,C,Biology,Ecology,C,C,1,1
Where do most ecosystems get their energy from?,earth,heat,water,sun,D,Biology,Ecology,D,D,1,1
"In the field of biodiversity, ""richness"" and ""abundance"" are used to describe different what?",densities,nutrients,species,water sources,C,Biology,Ecology,C,C,1,1
What type of current carries warm air from surrounding rocks to an animal's body?,electric,convection,ventilation,radiation,B,Biology,Ecology,B,B,1,1
What is the most important process for the survival of a species?,reproduction,digestion,differentiation,metabolism,A,Biology,Ecology,A,A,1,1
What do bees carry from one plant to another to facilitate plant growth and development?,pollen,spores,nutrients,fungi,A,Biology,Ecology,A,A,1,1
What type of speciation occurs when groups from the same species are geographically isolated for long periods?,asexual,allopatric,symbiotic,prokaryotic,B,Biology,Ecology,B,B,1,1
"What is the term for decomposers that consume dead leaves, animal feces, and other organic debris collected on the ground or at the bottom of water?",detritivores,scavengers,recyclers,consumers,A,Biology,Ecology,A,A,1,1
What are organisms that feed on available plants called?,grazers,florophores,plantfeeders,antigens,A,Biology,Ecology,A,A,1,1
"What kind of diet is typical for raptors, such as hawks and owls?",carnivorous or herbivorous,fishes,carnivorous,herbivorous,C,Biology,Ecology,C,C,1,1
"A wildfire clears a forest of vegetation and animal life, returning their nutrients to the ground leaving a foundation for rapid recolonization. what is this a classic example of?",primary succession,typical succession,cause succession,secondary succession,D,Biology,Ecology,A,D,0,1
Plants face two types of enemies: herbivores and what else?,pathogens,erosion,water,carnivores,A,Biology,Ecology,A,A,1,1
What do herbivores eat?,minerals,plants,meat and plants,animals,B,Biology,Ecology,B,B,1,1
The role that a particular species plays in its ecosystem is also known as what?,niche,type,market,unique,A,Biology,Ecology,A,A,1,1
"By pulling out grass by its roots and over-grazing, livestock contribute to what negative process?",erosion,evolution,migration,immigration,A,Biology,Ecology,A,A,1,1
What type of behavior is frogs croaking or deer clashing antlers an example of?,learned behavior,instincts,mating,courtship,D,Biology,Ecology,B,D,0,1
An organism's unique role in the ecosystem is called its what?,niche,adaptation,focus,purpose,A,Biology,Ecology,A,A,1,1
How are aquatic biomes often classified?,amount of salt,depth,amount of life,amount of light,A,Biology,Ecology,C,A,0,1
Earthworms are important deposit feeders that help form and enrich what material?,shale,wood,coal,soil,D,Biology,Ecology,D,D,1,1
What is an important level of organization in ecology and the unit of microevolution?,system,macro,organization,population,D,Biology,Ecology,D,D,1,1
"What incredibly successful species has quickly colonized almost all of earth’s terrestrial habitats, but also impacted earth, its climate, and its environment?",birds,humans,chimpanzees,fish,B,Biology,Ecology,B,B,1,1
What are living things that obtain glucose by eating self feeders called?,producers,chimeras,viruses,heterotrophs,D,Biology,Ecology,D,D,1,1
What do ecosystems require constant inputs of?,fuel,Water,heating,energy,D,Biology,Ecology,B,D,0,1
"In grazing, a predator partially eats but does not kill what?",time,pack,prey,predators,C,Biology,Ecology,C,C,1,1
Both flukes and tapeworms are parasites with what kind of host?,vertebrate,insect,trees,cells,A,Biology,Ecology,A,A,1,1
Who controls prey population?,ecosystems,predators,bees,parasites,B,Biology,Ecology,B,B,1,1
A desert is a type of what community in an ecosystem?,culture,biome,population,colony,B,Biology,Ecology,B,B,1,1
Chemical elements and water are constantly recycled in the ecosystem through what?,greenhouse gases,biogeochemical cycles,geothermal cycles,inorganic cycles,B,Biology,Ecology,B,B,1,1
What do most organisms eat in the profundal zone of a lake?,dead organisms,fresh organisms,algae organism,fish waste,A,Biology,Ecology,C,A,0,1
Branching food chains and complex trophic interactions form what?,food webs,food maps,food fields,food trees,A,Biology,Ecology,A,A,1,1
A group of individuals that consists of genetically related individuals that can breed to produce fertile young is known as what?,community,colonies,population,species,D,Biology,Ecology,C,D,0,1
What does interspecific competition between species often lead to?,extinction,symbiosis,evolution,immigration,A,Biology,Ecology,A,C,1,0
What term is used to describe the organism that is invaded and often harmed by a pathogen?,host,initial,guardian,parent,A,Biology,Ecology,A,A,1,1
Which cycle tracks the flow of nitrogen through an ecosystem?,water cycle,nitrogen reaction,nitrogen cycle,life cycle,C,Biology,Ecology,C,C,1,1
The rate of the accumulation of neutral what serves as a type of population-based biological clock?,prokaryotic,enzymes,eukaryotes,polymorphisms,D,Biology,Ecology,D,D,1,1
"Without the dominant disturbance, the fire-adapted species are usually outcompeted and biodiversity is what?",unaffected,immaterial,reduced,increased,C,Biology,Ecology,C,C,1,1
"What radiation, generally produced by thermal motion and the vibration and rotation of atoms and molecules, literally means ""below red""?",infrared,ultraviolet,microscopic,gamma radiation,A,Physics,Electromagnetism,A,A,1,1
What is transmitted that makes up the electromagnetic spectrum?,light waves of different wavelengths,gamma rays,electromagnetic radiation in different wavelengths,sound waves of different frequencies,C,Physics,Electromagnetism,C,C,1,1
Transition metals are superior conductors of heat as well as what else?,light,radiation,electricity,cold,C,Physics,Electromagnetism,C,C,1,1
What do you call the force identified by a north and south pole?,gravity,magnetism,buoyancy,normal force,B,Physics,Electromagnetism,B,B,1,1
When you change a magnetic field through electromagnetic induction what do you create?,microwave current,electric current,cooling current,Light Current,B,Physics,Electromagnetism,B,B,1,1
Practical limits of van de graaff generators arise because the large electric fields polarize and eventually do what to surrounding materials?,displace,isolate,ionize,decompose,C,Physics,Electromagnetism,C,C,1,1
Alternative current is produced when a magnet or coil does what?,moves at faster velocities,moves in circles at faster rates,moves back and forth repeatedly,moves up and down repeatedly,C,Physics,Electromagnetism,C,C,1,1
The energy of a photon is directly proportional to the frequency of the electromagnetic what?,evaporation,convection,radiation,absorption,C,Physics,Electromagnetism,C,C,1,1
"What are used to lift large masses of magnetic materials such as scrap iron, rolls of steel, and auto parts?",Tape,electromagnets,Glue,screws,B,Physics,Electromagnetism,B,B,1,1
What term is used to describe the full range of electromagnetic waves?,electromagnetic series,electromagnetic scale,mechanical spectrum,electromagnetic spectrum,D,Physics,Electromagnetism,D,D,1,1
What is the property that determines the amount of current flow through a particular material?,resistance,pressure,surface tension,demand,A,Physics,Electromagnetism,A,A,1,1
What do we call the theory of electromagnetism on the particle scale?,light electrodynamics,quantum electrodynamics,iron electrodynamics,gravity electrodynamics,B,Physics,Electromagnetism,B,B,1,1
"Materials, such as iron, that exhibit strong magnetic effects are labeled what?",superconducting,paramagnetic,ultramagnetic,ferromagnetic,D,Physics,Electromagnetism,D,D,1,1
What do you call the two ends of a magnet where the magnetic effect is strongest?,magnetos,plates,opposites,poles,D,Physics,Electromagnetism,D,D,1,1
Electrical energy consumed can be expressed as the product of power multiplied by what else?,energy,time,work,speed,B,Physics,Electromagnetism,B,B,1,1
The electric and magnetic fields are closely related and propagate as what?,electromagnetic wave,mechanical wave,thermal energy,sound wave,A,Physics,Electromagnetism,A,A,1,1
The electromagnetic spectrum represents the full range of frequency of what type of wave?,electromagnetic,mechanical,transverse wave,seismic,A,Physics,Electromagnetism,A,A,1,1
What do you call the entire range of wavelengths of electromagnetic waves?,gaseous spectrum,electromagnetic spectrum,electric spectrum,molecular spectrum,B,Physics,Electromagnetism,B,B,1,1
"When alternating primary current passes through coil p, it does what to the iron core?",electrilizes it,creates it,heats it,magnetizes it,D,Physics,Electromagnetism,D,D,1,1
Magnetic resonance imaging devices use what to cool the superconducting magnets?,dry ice,antifreeze,fluorocarbons,liquid nitrogen,D,Physics,Electromagnetism,D,D,1,1
What do you call materials that have high resistance to electric current?,semiconductors,electric insulators,conductors,destructive insulators,B,Physics,Electromagnetism,B,B,1,1
Where does an object gain or lose it's energy to during travel through a potential difference?,electric field,particle field,magnetic field,wave field,A,Physics,Electromagnetism,A,A,1,1
The distance between the crests of electromagnetic waves is called what?,wavelength,trough,variation,crest,A,Physics,Electromagnetism,A,A,1,1
What is energy that travels in the form of an electromagnetic wave?,sound,microwave,gravity,light,D,Physics,Electromagnetism,D,D,1,1
Energy from the sun has a wide range of wavelengths.what is the total range of energy called?,electromagnetic spectrum,light spectrum,heat spectrum,thermal spectrum,A,Physics,Electromagnetism,A,A,1,1
"In a magnet, what are the regions called that are the strongest?",plates,poles,positives,negatives,B,Physics,Electromagnetism,B,B,1,1
"Electrical potential energy can be described by the equation pe = qv, where q is the electric charge and v is what?",wavelength density,amplitude,voltage,frequency,C,Physics,Electromagnetism,C,C,1,1
What type of waves carry energy through matter or space as vibrating electric and magnetic fields?,mechanical waves,electromagnetic waves,light waves,sound waves,B,Physics,Electromagnetism,B,B,1,1
Ultraviolet radiation has the highest energy; which has the lowest?,nuclear,kinetic,infrared,thermal,C,Physics,Electromagnetism,C,C,1,1
Which electromagnetic waves are the most energetic of all electromagnetic waves?,gamma rays,plasma rays,sunlight rays,ultraviolet rays,A,Physics,Electromagnetism,A,A,1,1
Power in electricity is the voltage multiplied by what?,wattage,the current,power,amperes,B,Physics,Electromagnetism,B,B,1,1
What form of energy is light?,electromagnetic,seismic,hydro,mechanical,A,Physics,Electromagnetism,A,A,1,1
Who first proposed that earth is a magnet?,Isaac Newton,Albert Einstein,william gilbert,Marconi,C,Physics,Electromagnetism,C,C,1,1
What kind of fibers are used to transport telephone and television signals?,touch fibers,process fibers,hair fibers,optical fibers,D,Physics,Electromagnetism,D,D,1,1
What is light with wavelengths shorter than visible light called?,ultraviolet light,weathering light,infrared light,radio waves,A,Physics,Electromagnetism,A,A,1,1
What force includes forces of attraction and repulsion?,centripetal force,gravitational force,magnetic force,molecular force,C,Physics,Electromagnetism,B,C,0,1
What are the two types of charges?,ions and neutrons,positive and negative,energy and mass,volume and acceleration,B,Physics,Electromagnetism,B,B,1,1
What type of electricity is formed when a negative charge builds up and are transferred?,alternating current,static electricity,neutron energy,direct current,B,Physics,Electromagnetism,B,B,1,1
Why is the drift velocity negligible?,shows free charges,less free charges,many free charges,need free charges,C,Physics,Electromagnetism,B,B,0,0
What do we call the force of attraction or repulsion between electrically charged particles?,chemical force,mechanical force,gravitational pull,electromagnetic force,D,Physics,Electromagnetism,D,D,1,1
What are electromagnetic waves with the longest wavelengths called?,radio waves,sound waves,channel waves,infrared waves,A,Physics,Electromagnetism,A,A,1,1
The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet what?,Very light,very reduced,very heavy,very strong,D,Physics,Electromagnetism,D,D,1,1
What do electromagnetic receptors detect?,background radiation,electromagnetic radiation,dangerous radiation,subtle radiation,B,Physics,Electromagnetism,B,B,1,1
What do you call the space around a charged particle where the particle exerts electric force on other charged particles?,powered field,electric field,melodic field,charged field,B,Physics,Electromagnetism,B,B,1,1
Electromagnetic radiation is a form of what?,wave,energy,fusion,fuel,B,Physics,Electromagnetism,A,B,0,1
What is the most important source of electromagnetic waves on earth?,wireless networks,the sun,cell phones,radios,B,Physics,Electromagnetism,B,B,1,1
What is the name of the region of a magnet that has the most pull?,center,pole,grid,tail,B,Physics,Electromagnetism,B,B,1,1
"A van de graff generator produces what type of charge on its dome, causing the tendency to give up electrons?",positive charge,negative charge,similar charge,no charge,B,Physics,Electromagnetism,A,A,0,0
What do you call an object that attracts certain materials such as iron?,neutron,antenna,electron,magnet,D,Physics,Electromagnetism,D,D,1,1
Electromagnetic waves transfer energy across space as well as through what?,filtering,matter,osmosis,plasma,B,Physics,Electromagnetism,B,B,1,1
What is the name of the mechanism in which sounds are encoded in microwaves by changing their frequency?,shape modulation,frequency modulation,molecular modulation,mechanical modulation,B,Physics,Electromagnetism,B,B,1,1
Electromagnetic waves are comprised of what two types of energy?,kinetic and electric,electric and magnetic,solar and kinetic,magnetic and gravitational,B,Physics,Electromagnetism,B,B,1,1
What type of light can you feel as heat but not see and has the longest wavelengths and lowest frequencies?,infrared light,solar light,ultraviolet light,thermal light,A,Physics,Electromagnetism,A,A,1,1
What are materials that have a low resistance to electrical current called?,electrons,resistors,electrical conductors,fast conductors,C,Physics,Electromagnetism,C,C,1,1
Positive charges move in the direction of the electric field and the same direction as what current?,direct current,conventional current,alternating current,relativity current,B,Physics,Electromagnetism,B,B,1,1
"Each type of electromagnetic radiation has a characteristic range of wavelengths. the longer the wavelength (or the more stretched out it appears), the less energy is carried. short, tight waves carry what?",most energy,heat,kinetic energy,sound,A,Physics,Electromagnetism,A,A,1,1
Particles with what type of electric charges attract each other?,opposite,similar,same,simple,A,Physics,Electromagnetism,A,A,1,1
Magnetic force is always perpendicular to what?,speed,velocity,sunlight,length,B,Physics,Electromagnetism,B,B,1,1
What waves are the broad range of electromagnetic waves with the longest wavelengths and lowest frequencies?,microwaves,sound,radio,light,C,Physics,Electromagnetism,C,C,1,1
"A transformer has two coils, electrically insulated from each other. one coil is called the primary coil and the other is called the what?",tertiary coil,secondary coil,young coil,quadratic coil,B,Physics,Electromagnetism,B,B,1,1
What happens between particles with opposite charges?,they oppose,they become static,they attract,they repel,C,Physics,Electromagnetism,C,C,1,1
The difference in electric potential energy which allows for an electric charge to move from one position to another is measured by what si unit?,volt,ohm,joule,meter,A,Physics,Electromagnetism,A,A,1,1
An electron is accelerated from rest through a potential difference of what?,volts,joules,watts,amperes,A,Physics,Electromagnetism,B,A,0,1
What is it called when currents keep reversing direction?,emitting current,alternating current,circle current,stream current,B,Physics,Electromagnetism,B,B,1,1
What current-carrying long coil of wire acts as a magnet?,converter,solenoid,antenna,igniter,B,Physics,Electromagnetism,B,B,1,1
What magnetism is produced by electricity?,excitation,electromagnetism,diffusion,Charges,B,Physics,Electromagnetism,B,B,1,1
The creation of a voltage across a current-carrying conductor by a magnetic field is known as what?,newton effect,hall effect,off effect,show effect,B,Physics,Electromagnetism,B,B,1,1
What does an electric field surround?,negative particle,a charged particle,neutral particles,charged ions,B,Physics,Electromagnetism,B,B,1,1
"Internal resistance, or (electrical) resistance in general, involves the resistance of the flow of what?",force,current,protons,water,B,Physics,Electromagnetism,B,B,1,1
In addition to a vibrating electric field what does an electromagnetic wave consist of?,radiation field,molecular field,gravitational field,magnetic field,D,Physics,Electromagnetism,A,D,0,1
Electric generators change kinetic energy to what type of energy?,light,thermal,electrical,intrinsic,C,Physics,Electromagnetism,C,C,1,1
Attraction of a material by a magnet is an example of what type of property?,physical,chemical,thermal,transitive,A,Physics,Electromagnetism,A,A,1,1
An electric stove changes electric current to what form of energy?,thermodynamic,kinetic,nuclear,thermal,D,Physics,Electromagnetism,D,D,1,1
Magnetism is due to the movement of what within atoms?,protons,electrons,neutrons,magnetrons,B,Physics,Electromagnetism,B,B,1,1
Opposite charges attract and like charges do what?,repulse,rebound,nothing,impede,A,Physics,Electromagnetism,A,A,1,1
Electromagnetic waves are generally caused by magnetic fields doing what (or moving in what way)?,vibrating,revolving,rippling,folding,A,Physics,Electromagnetism,A,A,1,1
"Unlike wood and glass, steel is an example of a material that responds to what force?",magnetic,electromagnetic,kinetic,thermal,A,Physics,Electromagnetism,A,A,1,1
What kind of energy comes from the position of a charged particle in an electric field?,solar energy,potential energy,mechanical energy,thermal energy,B,Physics,Electromagnetism,B,B,1,1
What property does coulomb electric force depend upon?,electric case,electric neutral,electric charge,electric half,C,Physics,Electromagnetism,C,C,1,1
"Potential differences from various voltage sources are necessary in order to create electrical fields, which result in what flow of charge?",voltage,output,wattage,current,D,Physics,Electromagnetism,D,D,1,1
Changing electric and mnagnetic fields radiate outward when?,particles multiply,charged particles accelerate,particles lose their charge,firing particles accelerate,B,Physics,Electromagnetism,B,B,1,1
"Three-prong plugs, circuit breakers, and gfci outlets are safety features that recognize the danger of what?",heat,magnetism,electricity,gravity,C,Physics,Electromagnetism,C,C,1,1
The force that a magnet exerts on certain materials is called what?,magnetic force,velocity force,stellar force,centripetal force,A,Physics,Electromagnetism,A,A,1,1
Light is energy that travels in the form of what type of wave?,molecular,seismic,particle,electromagnetic,D,Physics,Electromagnetism,D,D,1,1
What is the space around the magnet called?,resistance field,magnetic field,gravitational field,optical field,B,Physics,Electromagnetism,B,B,1,1
"If the electromagnetic repulsion between protons is greater than the strong nuclear force of attraction between them, what do they become?","unstable , or experimental","slow , or radioactive",destroyed,"unstable, or radioactive",D,Physics,Electromagnetism,D,D,1,1
The motor thus acts as a generator whenever its coil does what?,revolves,stops,oscillates,rotates,D,Physics,Electromagnetism,A,A,0,0
"When electric current flows through a wire, it creates what type of field that surrounds the wire in circles?",kinetic,magnetic,gravitational,thermal,B,Physics,Electromagnetism,B,B,1,1
Increasing voltage with a higher-volt battery does what to the current?,blocks it,stops it,decreases it,increases it,D,Physics,Electromagnetism,D,D,1,1
Motors are the most common application of magnetic force on current-carrying wires. motors have loops of wire in this?,capacitors,magnetic field,electrical circuit,spark plugs,B,Physics,Electromagnetism,B,B,1,1
What captures carbon dioxide as it is emitted by a power plant before it enters the atmosphere?,carbon sequestration,oxide sequestration,chemical sequestration,nitrogen sequestration,A,Environmental Science,Environmental Science,A,A,1,1
Cutting forests and clearing land has also increased the amount of what in the atmosphere?,carbon dioxide,oxygen,smog,pesticides,A,Environmental Science,Environmental Science,A,A,1,1
What is a renewable resource that can take thousand of years to form?,wind,sunlight,water,soil,D,Environmental Science,Environmental Science,D,D,1,1
What trend is occurring involving the extent of arctic sea ice in summer?,water decrease,slow decrease,rapid decrease,Ice growth,C,Environmental Science,Environmental Science,C,C,1,1
"What  are formed when primary pollutants interact with sunlight, air, or each other?",secondary pollutants,typical pollutants,cross pollutants,secondary contaminants,A,Environmental Science,Environmental Science,A,A,1,1
What do we call natural resources that are remade by natural processes as quickly as people use them?,nonrenewable,renewable,exotic,geothermal,B,Environmental Science,Environmental Science,B,B,1,1
In what form is most of the earth's freshwater?,liqued,gas,frozen,steam,C,Environmental Science,Environmental Science,C,C,1,1
What source of ocean pollution kills animals by coating them?,plants spill,grain spill,chemical spill,oil spill,D,Environmental Science,Environmental Science,D,D,1,1
What does the kyoto protocol focus on controlling?,carbonate gas emissions,Helium emissions,greenhouse gas emissions,Ozone emissions,C,Environmental Science,Environmental Science,C,C,1,1
Motor vehicles account for almost half of the consumption of what?,hydrocarbon,fossil fuel,greenhouse gases,electricity,B,Environmental Science,Environmental Science,B,B,1,1
Pollutants in surface water can filter into the ground and enter a what?,groundwater aquifer,turbine,hydro plant,combustion aquifer,A,Environmental Science,Environmental Science,A,A,1,1
Does deforestation increase or decrease carbon dioxide levels around the world?,accelerate,eliminate,increase,decrease,C,Environmental Science,Environmental Science,C,C,1,1
What term refers to any method of removing carbon dioxide from the atmosphere and storing it in another form?,carbon metamorphosis,carbon footprint,carbon transfer,carbon sequestration,D,Environmental Science,Environmental Science,D,D,1,1
What type of pollutants enter the air directly?,secondary,primary,liquid,carbon,B,Environmental Science,Environmental Science,B,B,1,1
