Question,A,B,C,D,Correct Option,Main Branch,Sub-Branch
What is a type of plant tissue consisting of undifferentiated cells that can continue to divide and differentiate?,cambium,epidermis,ganglion,meristem,D,Biology,Botany
What bonds form because they give atoms a more stable arrangement of electrons?,covalent,Ionic bond,Hydrogen bond,Polar bond,A,Chemistry,Inorganic Chemistry
What is the common abbreviation for noting the rhesus blood type?,rh,h2,AB,RNA,A,Biology,Anatomy/Physiology
Coral reefs are a type of what large community and have the highest biodiversity on earth?,biome,phylum,taxon,order,A,Biology,Marine Biology
"What large organelle comprised of cup-shaped discs is found close to the nucleus of the cell, where it modifies proteins that have been delivered in transport vesicles?",mitochondria,ribosome,golgi apparatus,chloroplast,C,Biology,Cell Biology
"The penis, testes and epididymes are structures in what male anatomical system?",endocrine,protective,reproductive,immune,C,Biology,Reproductive Biology
"When waves are reflected at the same angle, what is it called?",field of view,refraction,phenomenon of reflection,angle of reflection,D,Physics,Optics
What us state leads all states in producing geothermal energy?,Texas,nevada,california,virginia,C,Earth Sciences,Geology
Sexual signaling molecules released by fungi are known as what?,pheromones,sperm,hormones,vibrations,A,Biology,Microbiology
Which energy is momentarily stored in tendons after each leap provides a boost for the next leap?,kinetic,thermal,alternating,magnetic,A,Biology,Anatomy/Physiology
Each gamete will have one copy of each chromosome following which process involving cell division?,osmosis,genomes,meiosis,mutations,C,Biology,Genetics
Where do most skin structures originate in?,cuticle,epidermis,hypodermis,dermis,D,Biology,Anatomy/Physiology
What are the primary producers in the ocean?,fish,phytoplankton,zooplankton,algea,B,Biology,Ecology
Chemists use simple diagrams to show an atom’s valence electrons and how they do what?,bond,transfer,react,escape,B,Chemistry,Inorganic Chemistry
"Soil erosion is a natural process, but what can increase it unnaturally?",human preservation,human activities,animal activies,volcanic eruption,B,Earth Sciences,Geology
Which part of the reproductive process only contributes one set of chromosomes?,plasma,ovum,sperm,egg,C,Biology,Reproductive Biology
What do you call different organs working together?,cellular system,endocrine system,maturation systems,organ systems,D,Biology,Anatomy/Physiology
When electricity is passed through solid sodium it changes into what and gives off light?,gas,liquids,plasma,hydrocarbons,A,Physics,Atomic Physics
What type of plant makes up nearly all plant species?,angiosperms,microbes,gymnosperms,fungus,A,Biology,Botany
Prokaryotic cells have what structure outside their plasma membrane?,cell wall,plasma wall,cell membrane,sodium channel,A,Biology,Cell Biology
The hemolymph and body cells exchange chemicals within what body part?,the lungs,the sinuses,the heart,the gums,B,Biology,Anatomy/Physiology
Types of compounds include covalent and which other compounds?,ionic,soluble,reactant,solvent,A,Chemistry,Inorganic Chemistry
Animals can transport what waste material in the circulatory system and store it safely at high concentrations?,carbon,proteins,phosphorus,urea,D,Biology,Zoology
The high points of a transverse wave are called what?,valleys,crests,ridges,points,B,Physics,Acoustics
"Besides greenland, where are the earth's largest ice sheets found?",antarctica,North America,Europe,Asia,A,Earth Sciences,Geology
What kind of path does the energy of an electromagnetic wave take?,circuitous,elliptical,straight line,fluctuating,C,Physics,Electromagnetism
"The direct conversion of a solid to a gas, without an intervening liquid phase, is called what?",amplification,isolation,insertion,sublimation,D,Chemistry,Physical Chemistry
Amino acids are the building blocks of what macromolecules?,sugars,proteins,lipids,carbohydrates,B,Biology,Biochemistry
The pain of angina means the heart muscle fibers need more what?,water,carbon,nitrogen,oxygen,D,Biology,Anatomy/Physiology
Acids and bases are important in living things because what proteins typically can perform their job only at a certain level of acidity?,enzymes,hormones,vitamins,catalysts,A,Biology,Biochemistry
Cellular respiration that proceeds in the presence of oxygen is known as what?,digestive respiration,anaerobic respiration,aerobic respiration,kinetic respiration,C,Biology,Cell Biology
Electromagnetic radiation behaves like particles as well as what?,currents,waves,fluids,points,B,Physics,Electromagnetism
Lipids are also know by what name?,sugars,proteins,fats,acids,C,Biology,Biochemistry
"Roots, stems and leaves are organs commonly found in what?",animals,plants,algae,fungi,B,Biology,Botany
What type of cells in the body fluids and tissues of most animals specifically interact with and destroy pathogens?,Dendritic cells,Microglial cells,White blood cells,immune cells,D,Biology,Cell Biology
What makes breathing difficult due to respiratory system disease?,narrow air passages,weak lungs,slippery air passages,water in the lungs,A,Biology,Anatomy/Physiology
What type of cell layer do flatworms have?,epidermis,cuticle,mesoderm,endoderm,C,Biology,Cell Biology
What gland is located at the base of the brain and secretes the hormone melatonin?,pituitary,pineal,thymus,thyroid,B,Biology,Anatomy/Physiology
"What is the type of landscape that occurs at higher latitudes than deserts, has short grasses and low bushes, and are dry because they are in continental interiors?",steppe,tundra,plains,plateau,A,Earth Sciences,Geography
"The existence of (virtual) photons is possible only by virtue of the heisenberg uncertainty principle and can travel an unlimited distance, so the range ofthe electromagnetic for is what?",infinite,simple,finite,generated,A,Physics,Electromagnetism
What is energy that travels in the form of an electromagnetic wave?,sound,microwave,gravity,light,D,Physics,Electromagnetism
What changes water vapor to liquid water?,global warming,fermentation,combustion,condensation,D,Chemistry,Physical Chemistry
What element is released into the atmosphere by the burning of fossil fuels?,sulfur,carbon,helium,oxygen,A,Environmental Science,Environmental Science
What type of hydrocarbons contain at least one double or triple bond between carbon atoms?,ionic,catalytic,saturated,unsaturated,D,Chemistry,Organic Chemistry
What is the general name for a wave that travels along the surface of a medium?,speed wave,stack wave,surface wave,light wave,C,Physics,Acoustics
Carbohydrates are an important group of biological molecules that includes sugars and these?,fats,vitamins,starches,proteins,C,Chemistry,Organic Chemistry
Chemical reactions always involve what?,heating,energy,fuel,physical change,B,Chemistry,Inorganic Chemistry
An object undergoing circular motion experiences centripetal what?,velocity,vibration,acceleration,transmission,C,Physics,Mechanics
What rocks are formed by crystallization of chemical precipitates?,volcanic,carbon sedimentary,layered,chemical sedimentary,D,Earth Sciences,Geology
"In some plants, the sporophyte is diploid, while the gametophyte is what?",humanoid,gametes,haploid,meiosis,C,Biology,Botany
A lipid is one of a highly diverse group of compounds made up mostly of what?,nucleic acid,amines,proteins,hydrocarbons,D,Chemistry,Organic Chemistry
During mitosis what is replicated in the primary spermatocyte?,dna,oocyte,mitochondira,rna,A,Biology,Cell Biology
What can carry nerve impulses from tissues and organs to the spinal cord and brain?,sensory neurons,motor neurons,healthy neurons,respiratory neurons,A,Biology,Neuroscience
Chemical equations need to be balanced to satisfy the law of what?,conservation of matter,glow of matter,material of matter,speed of matter,A,Chemistry,Inorganic Chemistry
"Which species in class insecta has three body segments, six jointed legs, and multiple head appendages?",mollusc,sauropod,arachnid,arthropod,D,Biology,Zoology
"Whether it's puppies or people, offspring and parents usually share many of what?",clothes,insects,fruits,traits,D,Biology,Genetics
"Connected to agriculture, forestry, mining, and urbanization, what is the single biggest cause of extinction today?",freshwater loss,hunting,habitat loss,global warming,C,Environmental Science,Environmental Science
The hexapoda subphylum includes mainly what type of animal?,spiders,insects,mammals,birds,B,Biology,Zoology
What are living echinoderms divided into five of?,species,classifications,clades,sexes,C,Biology,Marine Biology
Gases on earth originated from comets and what events?,black holes,supernovas,volcanic eruptions,tides,C,Earth Sciences,Geology
What season is it in the southern hemisphere when it's winter in the northern?,Spring,summer,Winter,autumn,B,Earth Sciences,Geography
What is the name for areas where there is overlap between closely related species?,extinction zones,hybrid zones,mono zones,gap zones,B,Biology,Ecology
By what are skeletal muscles attached to bones?,ligaments,tendons,joints,veins,B,Biology,Anatomy/Physiology
What is the best-known geyser in the world that also faithfully erupts every 90 minutes?,angel falls,devil's tongue,old faithful,old guy,C,Earth Sciences,Geology
What kind of energy constitutes the total kinetic energy of all the atoms that make up an object?,phenomena energy,kinetic energy,thermal energy,atmospheric energy,C,Physics,Thermodynamics
What is the name for birds that live on water like ducks?,guineafowl,gamefowl,landfowl,waterfowl,D,Biology,Zoology
Spores are generally produced through what type of reproduction?,similar,asexual,hormone,sexual,D,Biology,Reproductive Biology
What do we call the diffusion of water across a membrane because of a difference in concentration?,cell transportation,osmosis,hemostasis,electrolysis,B,Biology,Cell Biology
How many valence electrons does a sodium atom have ?,three,one,six,two,B,Chemistry,Inorganic Chemistry
"Within an organism, the cells that give rise to the next generation are known as germ cells, while those that do not (that is, the cells that die when the organism dies) are known as what cells?",somatic,xylem,neural,cloning,A,Biology,Genetics
An external opening in the what of amphibians allows wastes and gametes to exit the body?,anus,oral cavity,cloaca,urethra,C,Biology,Zoology
What hormone affects developent and maturation in animals?,dopamine,thyroid,insulin,melatonin,B,Biology,Zoology
The three types of mammals are characterized by their method of what?,differentiation,reproduction,specializaiton,pattern,B,Biology,Zoology
What planet has the most volcanoes?,Mars,Earth,uranus,venus,D,Physics,Astronomy
Gene duplications that are able to persist over many generations without causing too much harm to an organism or species can lead to what?,parasites,mutations,characteristics,permutations,B,Biology,Genetics
What keeps earth in orbit around the sun?,motion,energy,gravity,momentum,C,Physics,Astronomy
The work-energy theorem states that the net work on a system equals the change in what type of energy?,kinetic energy,binary energy,new energy,residual energy,A,Physics,Mechanics
Living organisms release carbon dioxide into the atmosphere by what method?,cellular respiration,widespread respiration,genomic respiration,major respiration,A,Biology,Biochemistry
Excretory organs that conserve what essential substance help terrestrial animals to avoid desiccation?,air,water,metabolytes,food,B,Biology,Zoology
Venus rotates slowly in a direction opposite to the direction of what?,the Earth's orbit,the orbit of Mars,the sun,its orbit,D,Physics,Astronomy
What is the ph of pure water?,7,5,4,2,A,Chemistry,Inorganic Chemistry
The volume of a gas is comprised of about 10% matter. what is the rest?,instead space,open space,normal space,empty space,D,Physics,Thermodynamics
Heterotrophs is another name for what group?,autotrophs,consumers,omnivores,producers,B,Biology,Ecology
What is dna transcribed into after being replicated?,diploid chromosomes,protein,gene,rna,D,Biology,Genetics
What is name of the phenomenon where similar traits evolve independently in species that do not share a common ancestry?,convergent evolution,equation evolution,coalescence evolution,divergent evolution,A,Biology,Evolutionary Biology
"The flow of water through the sponge is unidirectional, driven by the beating of what?",antennae,cilia,fin,flagella,D,Biology,Marine Biology
"Arteries, veins, and capillaries are the three main types of what?",blood vessels,blood shapes,cell structures,blood pathways,A,Biology,Anatomy/Physiology
Amphibians may attract mates with what?,only scents,only calls,neither,calls or scents,D,Biology,Zoology
What type of bounded nucleus do protists have?,Endoplasmic reticulum,Mitochondrion,Ribosomes,membrane,D,Biology,Cell Biology
Which body part is unsuitable for animals living on land?,feet,lungs,gills,hands,C,Biology,Zoology
Which inducer turns on the expression of the lac genes?,xerophyte,glucose,galactose,allolactose,D,Biology,Genetics
What is the most common type of brain injury?,Anoxic Event,Diffuse Axonal,concussion,Contusion,C,Biology,Neuroscience
Changing the shape of an elastic material gives it what type of energy?,potential,practical,thermal,initial,A,Physics,Mechanics
What type of traits are features that are passed from one generation to the next called?,genetic traits,generational traits,inherited traits,familial traits,C,Biology,Genetics
What is your body made up of?,skin,millions of elements,trillions of cells,energy,C,Biology,Anatomy/Physiology
Hemoglobin is responsible for transporting what within our blood?,nitrogen,oxygen,water,dioxide,B,Biology,Anatomy/Physiology
How do bipedal creatures walk?,on twelve legs,on six legs,on four legs,on two legs,D,Biology,Zoology
Any sample of matter that has the same physical and chemical properties throughout the sample is called what?,molecule,substance,element,type,B,Chemistry,Physical Chemistry
What is a measure of both speed and direction of motion?,intensity,velocity,distance,acceleration,B,Physics,Mechanics
What do fish eggs hatch to form?,tadpoles,adolescent fish,fish eggs hatch to form larvae,unfertilized eggs,C,Biology,Marine Biology
"Commensalism, mutualism, and parasitism are known as what type of relationships?",simple,peculiar,various,symbiotic,D,Biology,Ecology
"The modern model of the atom, which scientists call the quantum mechanical model, is based on what scientist's work on orbitals?",schrödinger,Bohr,Sagan,Newton,A,Physics,Atomic Physics
What does the heat energy affect in the atmosphere?,gravity and precipitation,winds and weather,erosion and condensation,density and humidity,B,Earth Sciences,Atmospheric Science
What are the taste receptors found as tiny bumps on the tongue called?,fat buds,taste buds,ear buds,hard buds,B,Biology,Anatomy/Physiology
What is the chemical formula for a glucose molecule?,H2 C3 NA6,c6 h12 o6,a5 h12 o6,d5 h12 o6,B,Chemistry,Organic Chemistry
"In physics, the number of waves that pass a fixed point in a given amount time is referred to as what ?",combination frequency,wave count,creation frequency,wave frequency,D,Physics,Acoustics
The reactions between alkali metals and water are particularly vigorous and include the rapid production of large quantities of what gas?,hydrogen,oxygen,helium,carbon,A,Chemistry,Inorganic Chemistry
Batteries produce voltage through what type of reaction?,radiation,magnetic,chemical,thermal,C,Chemistry,Physical Chemistry
The speed of a particle in what state is directly proportional to the temperature of the system?,solid,gas,frozen,liquid,B,Physics,Thermodynamics
Anaerobic respiration takes place without what?,movement,nitrogen,oxygen,carbon,C,Biology,Cell Biology
Which other planet in the solar system is the easiest to observe from earth?,mars,Pluto,Mercury,Jupiter,A,Physics,Astronomy
What is in the inside of your mouth and nose instead of skin?,mucous membranes,gums,scales,cuticle layer,A,Biology,Anatomy/Physiology
"While matter is recycled, ecosystems need a constant input of what?",heating,food,light,energy,D,Biology,Ecology
What is term for the smallest particle of an element that still has the properties of said element?,nucleus,atom,proton,molecule,B,Physics,Atomic Physics
What is the protein that carries iron that binds with oxygen in red blood cells?,potassium,keratin,hemoglobin,insulin,C,Biology,Cell Biology
"What branch of science is based on the modern atomic theory, which states that all matter is composed of atoms?",psychology,physics,biology,chemistry,D,Chemistry,Inorganic Chemistry
Why do sharks sense low levels of electricity?,to sleep,to locate prey,to locate mates,to reproduce,B,Biology,Marine Biology
What membrane is populated by two types of photosystems that cooperate in the light reactions of photosynthesis?,chloroplasts,choroid,subcutaneous,thylakoid,D,Biology,Cell Biology
At what point can nutrients enter or exit an ecosystem?,Largest Population Point,any point,Longest Point,Hottest Point,B,Biology,Ecology
B cells and t cells are examples of what type of cells?,white blood cells,cancer cells,heart cells,skin cells,A,Biology,Cell Biology
There are three different types of rna. all three types are needed to make what?,lipids,acids,Blood,proteins,D,Biology,Cell Biology
Niche and habitat are concepts related to what broader term?,biome,population,community,ecosystem,D,Biology,Ecology
What do opposite charges do to one another?,attract,strengthen,weaken,repel,A,Physics,Electromagnetism
"What is the name for the sinking of the dense, salty seawater in cold climates?",jet stream,cyclones,tidal activity,downwelling,D,Earth Sciences,Oceanography
"When gas particles heat up and gain energy, what do they do?",stop,go up,move faster,move slower,C,Physics,Thermodynamics
"Ion pumps, the biological machines responsible for the selective transport of metal ions, are complex assemblies of what?",proteins,minerals,cells,acids,A,Biology,Biochemistry
Two water molecules contain 4 hydrogen atoms and how many oxygen atoms?,1,2,4,6,B,Chemistry,Inorganic Chemistry
The carrying angle is larger in females to accommodate their what?,broader shoulders,narrower pelvis,wider pelvis,cranium,C,Biology,Anatomy/Physiology
"Examples of organ systems in a human include the skeletal, nervous, and what?",affecting systems,nervous systems,immune systems,reproductive systems,D,Biology,Anatomy/Physiology
"Most hormones are controlled by what type of feedback, which causes the hormone to decrease its own production?",neutral,negative,positive,unusual,B,Biology,Anatomy/Physiology
What forms a barrier between the cytoplasm and the environment outside the cell?,cuticle,plasma membrane,epidermis,cell wall,B,Biology,Cell Biology
"Over time, what changes solid rock into pieces?",metamorphosis,creep,leaching,weathering,D,Earth Sciences,Geology
Eukaryotic cells undergo what kinds of divisions that more primitive cells do not?,meiosis,budding,mitosis,homologous,C,Biology,Cell Biology
"The orbicularis oris is a circular muscle that moves the lips, and the orbicularis oculi is a circular muscle that does what?",opens the eye,pressure the eye,moisturizes the eye,closes the eye,D,Biology,Anatomy/Physiology
What may have developed to help our ancestors distinguish between ripe and unripe fruits?,fine motor skills,acute hearing,night vision,color vision,D,Biology,Evolutionary Biology
Which stage is specialized for dispersal & reproduction?,adult stage,fetal stage,larval stage,cocoon stage,A,Biology,Reproductive Biology
What three parameters do seismographs measure?,"aging , length and distance","strength, length and distance","height, width and distance","trouble , length and distance",B,Earth Sciences,Geology
What topographic feature does a circle with inward hatches represent on a contour map?,a depression,a lake,vegetation,a mountain,A,Earth Sciences,Geography
Which temperatures cause particles of reactants to have more energy?,reducing,non-existant,higher,lower,C,Physics,Thermodynamics
"Not all cells of a leaf carry out photosynthesis. cells within the middle layer of a leaf have chloroplasts, which contain the photosynthetic what?",structure,apparatus,pipes,wires,B,Biology,Botany
What is the advantage of selecting for certain genetic traits for crops?,protection from pests,improves taste,promotes productivity,Faster growth,C,Biology,Genetics
What is given off from plants and taken in by animals?,oxygen,sulfur,methane,nitrogen,A,Biology,Ecology
What is the simplest unit that has the fundamental chemical properties of an element?,neutron,nucleus,atom,cell,C,Chemistry,Inorganic Chemistry
Bacteria are what kind of cell?,blood,protists,prokaryotes,eukaryotes,C,Biology,Microbiology
Who study volcanoes to be able to predict when a volcano will erupt?,vocologists,virologists,volcanologists,ornithologists,C,Earth Sciences,Geology
How many alleles comes from each parent?,one,none,two,three,A,Biology,Genetics
What pigment is required for photosynthesis to occur?,chroma,chlorophyll,carotene,xanthophyll,B,Biology,Biochemistry
"What do you call the energy that must be overcome in order for a chemical reaction to occur, or the minimum energy required to start a chemical reaction?",expression energy,activation energy,phase energy,kinetic energy,B,Chemistry,Inorganic Chemistry
"Frogs and toads, salamanders and newts, and caecilians are the three orders of what group of animals?",reptiles,amphibians,marsupials,mammals,B,Biology,Zoology
What are vesicles made of?,phospholipids,membranes,cells,filaments,A,Biology,Biochemistry
Deoxyribonucleic acid (dna) is nucleotide that stores what type of information?,genetic,mutation,mononucleus,variation,A,Biology,Genetics
What two basic types of feather does a bird have?,up and down,carrying and down,flight and down,flight and landing,C,Biology,Zoology
Which fuels provide most of the world’s energy?,pattern fuels,fossil fuels,coal fuels,artificial fuels,B,Environmental Science,Environmental Science
What part of the sweet potato store sugar from photosynthesis as starch?,plants,skin,roots,shrubs,C,Biology,Biochemistry
What is the ratio of charge on a capacitor to potential difference across it called?,velocity,electromagnetism,capacitance,resonance,C,Physics,Electromagnetism
What substances that primarily comprise plasma membranes form a bilayer?,amino acids,enzymes,phospholipids,steroids,C,Biology,Cell Biology
What type of friction is friction that acts on objects when they are sliding over a surface?,static friction,spreading friction,sliding friction,rolling friction,C,Physics,Mechanics
"Billions of what inside the human digestive tract help us digest food, make vitamins and play other important roles?",neurons,bacteria,viruses,red blood cells,B,Biology,Anatomy/Physiology
What is a group of similar ecosystems with the same general abiotic factors and primary producers called?,ecological environment,biome,ecoculture,population,B,Biology,Ecology
"Since 1900, four of the five earthquakes of the greatest magnitude occurred near what appropriately nicknamed pacific location?",shower of fire,quake epicenter,ring of fire,seismic zone,C,Earth Sciences,Geology
All chemical changes involve a transfer of what?,fuel,pressure,energy,oxygen,C,Chemistry,Inorganic Chemistry
What is the most common type of capillary?,large,continuous,channels,ending,B,Biology,Anatomy/Physiology
What is the bending of waves around a corner called?,reflection,propulsion,absorption,diffraction,D,Physics,Acoustics
In what kind of bond does one atom contribute both of the electrons in the shared pair?,a metallic bond,a valence bond,a covalent bond,an ionic bond,C,Chemistry,Inorganic Chemistry
Mirrors and lenses are used in optical instruments to reflect and refract what?,gravity,mass,electricity,light,D,Physics,Optics
The zygote undergoes many cell divisions before it implants in the lining of what?,ovaries,vagina,uterus,pelvis,C,Biology,Reproductive Biology
Which principle states that two species cannot occupy the same niche in a habitat?,complete exclusion,produce exclusion,competitive exclusion,tough exclusion,C,Biology,Ecology
What happens to the rate of chemical reactions in higher temperatures?,they stop,they increase,they become erratic,they decrease,B,Physics,Thermodynamics
"An alternative to inclusive fitness is group selection, a type of what scenario where small groups of organisms of the same species are effectively acting as single (perhaps colonial) organisms?",evolutionary,introductory,combination,molecular,A,Biology,Ecology
The complement system is a series of proteins constitutively found in the what?,nucleus,blood plasma,organs,platelets,B,Biology,Anatomy/Physiology
What are cations simply named after?,the scientist,the cell structure,the body part,the parent element,D,Chemistry,Inorganic Chemistry
Inorganic chemistry refers to the study of materials *not* containing which element?,carbon,hydrogen,helium,oxygen,A,Chemistry,Inorganic Chemistry
How many chambers does an amphibian heart have?,two,four,one,three,D,Biology,Zoology
"Electrons in the ""outer shell"" are also known as what kind of electrons?",charged,intermediate,static,valence,D,Chemistry,Inorganic Chemistry
Where in the periodic table of elements are the nonmetals located?,top left,bottom right,top right,bottom left,C,Chemistry,Inorganic Chemistry
"Where do most amphibians live, salt water or fresh water?",deserts,fresh water,aquariums,saltwater,B,Biology,Ecology
"Foliation, which forms layers in rocks during metamorphism, is caused by what?",power,Pulling,push,pressure,D,Earth Sciences,Geology
What type of compounds tend to have high melting points and boiling points?,ionic,liquid,particle,soluble,A,Chemistry,Inorganic Chemistry
What is the molten material deep within the earth?,crystals,volcanic mass,magma,lava,C,Earth Sciences,Geology
Objects in motion that return to the same position after a fixed period of time are said to be in what type of motion?,circular,harmonic,curving,dynamic,B,Physics,Mechanics
An atom that gains or loses electrons is called what?,ion,photon,quark,isotope,A,Chemistry,Inorganic Chemistry
The first law of thermodynamics deals with the total amount of energy in what?,springs,organism,galaxy,universe,D,Physics,Thermodynamics
What is the turning effectiveness of a force?,velocity,intake,torque,gravitational pull,C,Physics,Mechanics
What are the 3 orders of amphibians?,"bees, caddisflies, antilions","monotremata, artiodactyla, rodentia","frogs, salamanders, caecilians","hagfish, lampreys, acanthodii",C,Biology,Zoology
The sum of the pressures of the hydrogen and the water vapor is equal to what?,atmospheric pressure,moon pressure,adjacent pressure,precipitation pressure,A,Physics,Thermodynamics
What is cellular respiration that proceeds in the presence of oxygen known as?,digestive respiration,kinetic respiration,anaerobic respiration,aerobic respiration,D,Biology,Cell Biology
Blood enters the kidney through the which artery?,vas deferens,cardiac artery,renal artery,jugular,C,Biology,Anatomy/Physiology
"What kingdom in the domain eukarya that includes molds, mushrooms, and yeasts called?",bacteria,acids,fungi,proteins,C,Biology,Microbiology
"An excellent solvent that holds heat well and allows hydrogen bonds, what substance has many properties critical to life?",water,liquid,blood,plasma,A,Biology,Biochemistry
"Which part of the earth is made of the rigid, brittle, solid crust and uppermost mantle?",thermosphere,troposphere,lithosphere,atmosphere,C,Earth Sciences,Geology
What is liquid water falling from the sky called?,rain,snow,clouds,evaporation,A,Earth Sciences,Geography
The two general functions of roots in plants are to anchor and to do what else?,photosynthesis,generate,absorb,grow,C,Biology,Botany
What do covalent bonds give atoms a more stable arrangement of?,protons,electrons,neutrons,cell walls,B,Chemistry,Inorganic Chemistry
What is the most important process for the survival of a species?,reproduction,digestion,differentiation,metabolism,A,Biology,Ecology
Which common element is the most found in living organisms?,oxygen,carbon,hydrogen,monoxide,B,Biology,Biochemistry
What are the organelles on which proteins are made during protein synthesis called?,ribosomes,mitochondria,lysosomes,fibroblasts,A,Biology,Cell Biology
What is the term for the relationship in which one species benefits while the other species is harmed?,commensal relationship,combative relationship,parasitic relationship,symbiotic relationship,D,Biology,Ecology
Transport vesicles move what type of molecules from the rough endoplasmic reticulum to the golgi apparatus?,proteins,acids,lipids,hormones,A,Biology,Cell Biology
Fish use some of their fins to propel themselves through the water and others to do what?,breathe,steer,reproduce,rest,B,Biology,Marine Biology
What are small gnawing mammals such as rats and mice called?,miniatures,marsupials,furries,rodents,D,Biology,Zoology
Dutch scientist christiaan huygens' principle of what states that every point on a wavefront is a source of wavelets that spread out in the forward direction at the speed of the wave itself?,electromagnetic dynamics,wave propagation,energy propagation,wave dynamics,B,Physics,Acoustics
When plant type alternates from generation to generation what is this called?,turbidity of generation,alternation of generation,differentiation of generation,change in generation,B,Biology,Botany
Halides of the transition metals become more covalent with increasing oxidation state and are more prone to what?,comproportionation,cycloaddition,hydrolysis,decarbonylation,C,Chemistry,Inorganic Chemistry
"Dense connective tissue contains more collagen fibers than does loose connective tissue. as a consequence, it displays greater resistance to what?",stretching,contracting,freezing,stiffening,A,Biology,Anatomy/Physiology
What does pushing an object over the surface of a ramp cause?,Acceleration,vibration,friction,tension,C,Physics,Mechanics
"Parasitism, mutualism, and commensalism are all examples of what type of biological relationship?",reproduction,adaptation,evolution,symbiosis,D,Biology,Ecology
What  occurs when substances move from areas of lower to higher concentration or when very large molecules are transported?,active transport,migration,diffusion,passive transport,A,Biology,Cell Biology
What is the term for  how the air feels at its temperature and humidity,atmospheric humidity,climate sensory index,relative humidity,initial humidity,C,Earth Sciences,Atmospheric Science
What form does formaldehyde take at room temperature?,solid,liquids,gas,plasma,C,Chemistry,Physical Chemistry
Ions are formed when atoms gain or lose what?,mass,protons,electrons,neutrons,C,Chemistry,Inorganic Chemistry
What are the three ways to classify matter based on how light interacts with it?,"transitive, opaque, translucent","opaque, invisible, visible","transparent, opaque, translucent","extensive , opaque , translucent",C,Physics,Optics
In what area of the body are sutural bones found?,skull,legs,tooth,skin,A,Biology,Anatomy/Physiology
The ability of matter to combine chemically with other substances is known as?,reactivity,turbidity,solubility,permeability,A,Chemistry,Inorganic Chemistry
Which types of waves are used for cell phones and radar?,microwaves,light waves,thermal waves,sound waves,A,Physics,Electromagnetism
Methyl groups are found within what?,DNA molecules,rna acids,peptide chains,amino acids,D,Chemistry,Organic Chemistry
The primary lymphoid organs are the bone marrow and what else?,thyroid,thymus gland,pinneal gland,kidneys,B,Biology,Anatomy/Physiology
Surface tension and viscosity are generally associated with what form or state of matter?,gases,solids,electrons,liquids,D,Chemistry,Physical Chemistry
What catalyst substances may also allow reactions to occur by different pathways that have lower activation energy?,hormones,carbohydrates,calories,enzymes,D,Biology,Biochemistry
Gap genes are defined by the effect of what in that gene?,radiation,infection,modification,mutation,D,Biology,Genetics
The abnormal cells cannot carry oxygen properly and can get stuck where?,muscles,Viens,capillaries,Arteries,C,Biology,Cell Biology
All atoms of the same element share the same number of what type of particle?,quarks,neutrons,nucleus,protons,D,Physics,Nuclear and Particle Physics
How do oceans help control global warming?,reflecting light,absorbing carbon dioxide,releasing oxygen,Cooling air,B,Earth Sciences,Oceanography
What occurs between long warm climate periods?,hurricanes,mass extinction,drought,ice ages,D,Earth Sciences,Geology
Which state of matter is characterized by molecules with minimal movement and strong forces between them?,solid,liquid,plasma,gas,A,Physics,Thermodynamics
The plasma membrane pulls away from the cell wall as it shrivels. what is this process called?,plasmolysis,sporozoans,fluctuations,osmosis,A,Biology,Cell Biology
What collects fluid from a system of canals in the cytoplasm?,mitochondria,vacuole,placenta,chlorophyll,B,Biology,Cell Biology
How many valence electrons does nitrogen have?,10,4,3,5,D,Chemistry,Inorganic Chemistry
What is the term for a particle from outside the cell engulfing the cells membrane?,endocytosis,metastasis,endometriosis,mitosis,A,Biology,Cell Biology
The kidney glomerulus filters blood mainly based on particle size to produce a filtrate lacking cells or large what?,proteins,carbohydrates,lipids,steroids,A,Biology,Anatomy/Physiology
What is the general composition of the continental crust?,marble,limestone,sandstone,granite,D,Earth Sciences,Geology
What term refers to the conditions of the atmosphere from day to day?,climate,weather,temperture,humidity,B,Earth Sciences,Atmospheric Science
By how many weeks do all major organs start developing?,12,8,4,9,B,Biology,Anatomy/Physiology
A plant that forms special tissues for storing water in an arid climate is an example of the plant evolving what?,adaptations,consciousness,additions,divergence,A,Biology,Evolutionary Biology
What organ is made up of over one million nephrons that dot the renal cortex?,kidney,stomach,gall bladder,lungs,A,Biology,Anatomy/Physiology
"Human metabolism is the conversion of food into heat transfer, work, and this?",stored atp,stored fat,stored carbs,stored protein,B,Biology,Anatomy/Physiology
What organ do mammals have that is exceptionally large for their body size?,heart,brain,lungs,liver,B,Biology,Zoology
Mammals have four limbs and produce what kind of eggs?,umbilical,placental,amniotic,hard-shelled,C,Biology,Zoology
"Name the missing call of biochemical compound: carbohydrates, proteins, nucleic acids.",lipids,enzymes,microorganisms,tissues,A,Biology,Biochemistry
The ether functional group consists of an oxygen atom which forms single bonds with what other atoms?,hydrogen,acid,carbon,enzymes,C,Chemistry,Inorganic Chemistry
"In celsius, what is the boiling point of water?",two hundred twelve degrees,zero degrees,one hundred degrees,ninety eight degrees,C,Physics,Thermodynamics
What is the process where sperm from the pollen of one flower fertilizes the egg of another flower?,cross-pollination,static pollination,inter-pollination,mitosis,A,Biology,Botany
What is an organic compound made up of small molecules called amino acids called?,a carbohydrate,a fat,a protein,a compound,C,Biology,Biochemistry
