Question,A,B,C,D,E,Correct Option,Sub-Branch
what is the 8 th digit to the right of the decimal point in the decimal equivalent of 73 / 11 ?, 1 , 3 , 4 , 5 , 2,B,General
a batsman in his 11 th inning makes a score of 69 and their by increasing his average by 1 . what is his average after the 11 th inning ?, 58 , 59 , 68 , 69 , 78,B,General
"if 16 machine can finish a job in 45 days , then how many more machines would be needed to finish the job in one - third less time ?", a . 3 , b . 8 , c . 10 , d . 12 , e . 16,A,General
"anne and katherine are both saving money from their summer jobs to buy bicycles . if anne had $ 150 less , she would have exactly 1 / 3 as much as katherine . and if katherine had twice as much , she would have exactly 3 times as much as anne . how much money have they saved together ? (", $ 300 , $ 400 , $ 450 , $ 625 , $ 750,E,General
"in a division sum , the remainder is 6 and the divisor is 5 times the quotient and is obtained by adding 2 to the thrice of the remainder . the dividend is", 86 , 90 , 92 , 94 , 96,A,General
"a certain characteristic in a large population has a distribution that is symmetric about the mean m . if 68 % of the distribution lies one standard deviation s of the mean , what percent of the distribution is less than m + s ?", 16 % , 32 % , 48 % , 84 % , 92 %,D,General
"if two positive numbers are in the ratio 1 / 10 : 1 / 7 , then by what percent is the second number more than the first ?", 67 % . , 42.8 % . , 60 % . , 68 % . , 80 % .,B,General
a cricketer makes a score of 134 runs in the 22 nd inning and thus increases his average by 3.5 . find his average after 22 nd inning ., 40 , 60.5 , 52 , 55 , 36,B,General
"if the number 517 * 324 is completely divisible by 7 , then the smallest whole number in the place of * will be :", 3 , 1 , 2 , 4 , 6,E,General
"in a fuel station the service costs $ 1.15 per car , every liter of fuel costs 0.4 $ . assuming that you own 2 sports cars and 2 executive cars and all fuel tanks are empty . how much will it cost to fuel all cars together if a sports car tank is 32 liters and an executive car tank is 75 % bigger ?", 37.5 $ , 75 $ , 87.5 $ , 94.5 $ , 98.4 $,B,General
"vishal invested 10 % more than trishul . trishul invested 10 % less than raghu . if the total sum of their investments is rs . 6936 , how much amount did raghu invest ?", 1287 , 2887 , 2000 , 1129 , 2400,E,General
850 - ( 1500 ÷ ? ) × 8 / 15 = 770, a ) 31 , b ) 10 , c ) 15 , d ) 26 , e ) 17,B,General
the difference between the value of a number increased by 12.5 % and the value of the original number decreased by 25 % is 30 . what is the original number ?, 60 , 80 , 40 , 120 , 160,B,General
"there were 35 students in a hostel . due to the admission of 7 new students , ; he expenses of the mess were increased by rs . 42 per day while the average expenditure per head diminished by rs 1 . what was the original expenditure of the mess ?", 320 , 120 , 400 , 420 , 514,D,General
"in a class of students , 1 / 2 of the number of girls is equal to 1 / 6 of the total number of students . what is the ratio of boys to girls in the class ?", 1 / 2 , 2 / 3 , 2 / 1 , 3 / 2 , 4 / 3,C,General
"in the number 11,0 ab , a and b represent the tens and units digits , respectively . if 11,0 ab is divisible by 50 , what is the greatest possible value of b × a ?", 0 , 5 , 20 , 15 , 25,C,General
"for any positive integer n , the sum of the first n positive integers equals n ( n + 1 ) / 2 . what is the sum of all the even integers between 99 and 181 ?", 3820 , 5740 , 6580 , 7360 , 9200,B,General
"the population of a town increased from 1 , 62,500 to 2 , 62,500 in a decade . the average percent increase of population per year is :", 4.37 % , 5 % , 6.154 % , 8.75 % , none of these,C,General
"nails and screws are manufactured at a uniform weight per nail and a uniform weight per screw . if the total weight of one screw and one nail is half that of 6 screws and one nail , then the total weight of 3 screws , and 3 nails is how many times that of 5 screws and 1 nails ?", a . 4 , b . 5 / 2 , c . 2 , d . 3 / 2 , e . 5 / 4,D,General
"workers decided to raise rs . 3 lacs by equal contribution from each . had they contributed rs . 50 eachextra , the contribution would have been rs . 3.50 lacs . how many workers were they ?", 220 , 230 , 500 , 560 , 1000,E,General
simplify : ( 7 + 2 ) – ( 5 + 3 + 1 ) - 1 ., - 1 , – 2 , 1 , 2 , 0,C,General
a millionaire bought a job lot of hats 1 / 4 of which were brown . the millionaire sold 2 / 3 of the hats including 4 / 5 of the brown hats . what fraction of the unsold hats were brown ., 1 / 60 , 1 / 15 , 3 / 20 , 3 / 5 , 3 / 4,C,General
"ages of two persons differ by 22 years . if 6 year ago , the elder one be 3 times as old the younger one , find their present age"," 12,28 "," 14,30 "," 17,39 "," 18,34 "," 19,34",C,General
express the ratio 3 2 / 3 : 7 1 / 3 in its simplest form ., 1 : 21 , 1 : 1 , 2 : 1 , 1 : 2 , 2 : 11,D,General
"0 , 1 , 5 , 14 , 30 , ____", 25 , 35 , 45 , 65 , 55,E,General
find the area of a parallelogram with base 22 cm and height 21 cm ?, 462 cm 2 , 478 cm 2 , 490 cm 2 , 268 cm 2 , 668 cm 2,A,Geometry
"if the volume and surface area of a sphere are numerically the same , then its radius is : ?", 2', 4', 1', 5', 3'],E,Geometry
"a rectangular wall is covered entirely with two kinds of decorative tiles : regular and jumbo . 1 / 3 of the tiles are jumbo tiles , which have a length three times that of regular tiles and have the same ratio of length to width as the regular tiles . if regular tiles cover 60 square feet of the wall , and no tiles overlap , what is the area of the entire wall ?", 160', 240', 330', 440', 560'],C,Geometry
"how much space , in cubic units , is left vacant when maximum number of 4 x 4 x 4 cubes are fitted in a rectangular box measuring 10 x 12 x 16 ?", 0', 36', 180', 216', 384'],E,Geometry
the ratio of the volumes of two cubes is 729 : 1331 . what is the ratio of their total surface areas ?, 81 : 121 , 81 : 126 , 81 : 189 , 81 : 176 , 81 : 117,A,Geometry
a circular logo is enlarged to fit the lid of a jar . the new diameter is 50 per cent larger than the original . by what percentage has the area of the logo increased ?, 50 , 80 , 100 , 125 , 250,D,Geometry
"in a rectangular coordinate system , what is the area of a rectangle whose vertices have the coordinates ( - 8 , 1 ) , ( 1 , 1 ) , ( 1 , - 7 and ( - 8 , - 7 ) ?", 144 , 36 , 72 , 56 , 112,C,Geometry
the volumes of two cones are in the ratio 1 : 30 and the radii of the cones are in the ratio of 1 : 2 . what is the length of the wire ?, 6 : 5 , 6 : 9 , 6 : 2 , 2 : 2 , 2 : 8,A,Geometry
a semicircular cubicle has a radius of 14 . what is the approximate perimeter of the cubicle ?, 55', 86', 25', 72', 35'],D,Geometry
"the ratio of boys to girls in a class is 2 : 3 . the career preference of the students in the class are to be represented in a circle graph . if the area of the graph allocated to each career preference is to be proportional to the number of students who have that career preference , how many degrees of the circle should be used to represent a career that is preferred by one third of the boys and two - third of the girls in the class ?", a ) 160 degree', b ) 168 degree', c ) 191 degree', d ) 272 degree', e ) 192 degree'],E,Geometry
"the points a ( 0 , 0 ) , b ( 0 , 4 a - 5 ) and c ( 2 a + 3 , 2 a + 6 ) form a triangle . if angle abc = 90 , what is the area of triangle abc ?", 114 , 116 , 118 , 119 , 120,D,Geometry
if the sides of a cube are in the ratio 4 : 3 . what is the ratio of their diagonals ?, 4 : 3 , 4 : 8 , 4 : 1 , 4 : 2 , 4 : 7,A,Geometry
"if y is the smallest positive integer such that 3,675 multiplied by y is the square of an integer , then y must be", 2 , 5 , 6 , 7 , 12,E,Geometry
"carol and jordan draw rectangles of equal area . if carol ' s rectangle measures 12 inches by 15 inches and jordan ' s rectangle is 6 inches long , how wide is jordan ' s rectangle , in inches ?", 24', 26', 28', 30', 32'],D,Geometry
"the perimeter of a rectangle is equal to the perimeter of aright - angled triangle of height 12 cm . if the base of the triangle is equal to the breadth of the rectangle , what is the length of the rectangle ”", 18 cm', 24 cm', 22 cm', data inadequate', none of these'],D,Geometry
the perimeters of 2 squares are 40 cm and 32 cm . find the perimeter of a third square whose area is equal to the difference of the areas of the two squares ?, 20 cm , 24 cm , 32 cm , 28 cm , 30 cm,B,Geometry
carmen made a sculpture from small pieces of wood . the sculpture is 2 feet 10 inches tall . carmen places her sculpture on a base that is 2 inches tall . how tall are the sculpture andbase together ?, 3.1 feet , 3.2 feet , 3.3 feet , 3.0 feet , 3.5 feet,D,Geometry
how many odd numbers between 10 and 800 are the squares of integers ?, 12 , 13 , 14 , 15 , 16,A,Geometry
the side of a square is increased by 20 % then how much % does its area increases ?, 44.00 % , 45.25 % , 48.75 % , 50.00 % , 40.00 %,A,Geometry
"a lady builds 9 cm length , 12 cm width , and 3 cm height box using 3 cubic cm cubes . what is the minimum number of cubes required to build the box ?", 107 , 108 , 109 , 110 , 111,B,Geometry
"rectangular tile each of size 50 cm by 40 cm must be laid horizontally on a rectangular floor of size 120 cm by 150 cm , such that the tiles do not overlap and they are placed with edges jutting against each other on all edges . a tile can be placed in any orientation so long as its edges are parallel to the edges of floor . no tile should overshoot any edge of the floor . the maximum number of tiles that can be accommodated on the floor is :", 9 , 15 , 12 , 11 , 10,A,Geometry
"in a rectangular coordinate system , what is the area of a rhombus whose vertices have the coordinates ( 0 , 3.5 ) , ( 10 , 0 ) , ( 0 , - 3.5 ) , ( - 10 , 0 ) ?", 56 , 88 , 70 , 116 , 120,C,Geometry
"in the coordinate plane , a circle centered on point ( 3 , - 4 ) passes through point ( 1 , 1 ) . what is the area of the circle ?", 29 π , 18 π , 25 π , 37 π , 41 π,A,Geometry
a cylindrical cube of radius 12 cm contains water upto a depth of 20 cm . a spherical iron ball is dropped into the tub and thus the level of water is raised by 6.75 cm . the radius of the ball is :, 7 cm', 8.5 cm', 9 cm', 9.5 cm', none'],C,Geometry
the area of a rectangular field is equal to 800 square meters . its perimeter is equal to 120 meters . find the width of this rectangle ., 5 , 10 , 15 , 20 , 25,D,Geometry
"a circle graph shows how the budget of a certain company was spent : 60 percent for salaries , 9 percent for research and development , 5 percent for utilities , 4 percent for equipment , 2 percent for supplies , and the remainder for transportation . if the area of each sector of the graph is proportional to the percent of the budget it represents , how many degrees of the circle are used to represent transportation ?", 18 ° , 36 ° , 54 ° , 72 ° , 90 °,D,Geometry
"in may , the groundskeeper at spring lake golf club built a circular green with an area of 95 π square feet . in august , the groundskeeper doubled the distance from the center of the green to the edge of the green . what is the total area of the renovated green ?", 190 π', 210 π', 240 π', 320 π', 380 π'],E,Geometry
the surface of a cube is 24 sq cm . find its volume ?, 8 , 6 , 4 , 3 , 1,A,Geometry
we need to carve out 125 identical cubes from a cube . what is the minimum number of cuts needed ?, 8', 9', 10', 11', 12'],E,Geometry
"the volume of a sphere with radius r is ( 4 / 3 ) * pi * r ^ 3 and the surface area is 4 * pi * r ^ 3 . if a sperical balloon has a volume of 288 pi cubic centimeters , what is hte surface area of the balloon in square centimeters ?", a . 40 , b . 100 , c . 400 ," d . 1,000 "," e . 10,000",C,Geometry
what will be the percentage increase in the area of the cube ' s surface if each of the cube ' s edges grows by 50 % ?, 125 % , 150 % , 100 % , 90 % , 85 %,A,Geometry
"a polygon has 44 diagonals , then the number of its sides are", 11', 9', 7', 5', 3'],A,Geometry
"the roof of an apartment building is rectangular and its length is 3 times longer than its width . if the area of the roof is 675 feet squared , what is the difference between the length and the width of the roof ?", 38 . , 30 . , 42 . , 44 . , 46 .,B,Geometry
"what positive number , when squared , is equal to the cube of the positive square root of 12 ?", 64 , 32 , 8 , 4 , 2,D,Geometry
the diagonals of a rhombus are 22 cm and 30 cm . find its area ?, 358 , 329 , 350 , 330 , 317,D,Geometry
"in a rectangular axis system , what is the area of a parallelogram with the coordinates : ( 5,7 ) , ( 12,7 ) , ( 2,3 ) , ( 9,3 ) ?", 21 , 28 . , 35 . , 49 . , 52 .,A,Geometry
the area of a square is equal to three times the area of a rectangle of dimensions 25 cm * 27 cm . what is the perimeter of the square ?, 180 cm , 190 cm , 170 cm , 150 cm , 160 cm,A,Geometry
"a perfect square is defined as the square of an integer and a perfect cube is defined as the cube of an integer . how many positive integers n are there such that n is less than 50,000 and at the same time n is a perfect square and a perfect cube ?", 3', 4', 5', 6', 7'],D,Geometry
a horse is tethered to one corner of a rectangular grassy field 46 m by 20 m with a rope 17 m long . over how much area of the field can it graze ?, 154 cm 2 , 308 m 2 , 227 m 2 , 407 m 2 , none of these,C,Geometry
a rectangular swimming pool is 20 feet by 28 feet . a deck that has uniform width surrounds the pool . the total area of the pool and deck is 884 square feet . what is the width of the deck ?, 2 feet , 2.5 feet , 3 feet , 4 feet , 5 feet,C,Geometry
the diagonals of a rhombus are 14 cm and 20 cm . find its area ?, 176 , 190 , 140 , 278 , 292,C,Geometry
approximately how many cubic feet of water are needed to fill a circular swimming pool that is 100 feet across and 4 feet deep ?, 15000 , 30000 , 50000 , 70000 , 90000,B,Geometry
mr . loyd wants to fence his square shaped land of 150 sqft each side . if a pole is laid every 30 ft how many poles do he need ?, 20', 30', 40', 50', 60'],B,Geometry
cubes with each side one inch long are glued together to form a larger cube . the larger cube ' s face is painted with red color and the entire assembly is taken apart . 24 small cubes are found with no paints on them . how many of unit cubes have at least one face that is painted red ?, 64 , 72 , 86 , 98 , 101,E,Geometry
the side of a rhombus is 28 m and length of one of its diagonals is 12 m . the area of the rhombus is ?, 326.2 , 324.2 , 328.2 , 338.2 , 328.9,C,Geometry
"the length of a rectangular plot is thrice its breadth . if the area of the rectangular plot is 675 sq m , then what is the breadth of the rectangular plot ?", 16 , 17 , 18 , 15 , 14,D,Geometry
what is the area of a circle having the same perimeter as that of a square whose area is 121 ., 306', 307', 308', 309', 310'],C,Geometry
"a rectangular floor is covered by a rug except for a strip 2 meters wide along each of the four edge . if the floor is 10 meters by 8 meters , what is the area of the rug in square meters ?", 24 , 26 , 28 , 30 , 32,A,Geometry
"the length of a rectangle is halved , while its breadth is tripled . whatis the % change in area ?", 30 % , 40 % , 50 percent , 60 % , 70 %,C,Geometry
"carol and jordan draw rectangles of equal area . if carol ' s rectangle measures 5 inches by 24 inches and jordan ' s rectangle is 12 inches long , how wide is jordan ' s rectangle , in inches ?", 25 , 23 , 22 , 20 , 10,E,Geometry
"carol and jordan draw rectangles of equal area . if carol ' s rectangle measures 8 inches by 15 inches and jordan ' s rectangle is 4 inches long , how wide is jordan ' s rectangle , in inches ?", 24 , 26 , 28 , 30 , 32,D,Geometry
in a certain circle there are 10 points . what is the number of the triangles connecting 5 points of the 10 points ?, 80 , 96 , 108 , 120 , 252,E,Geometry
if the radius of a circle is increased by 30 % then the area is increased by :, 44 % , 69 % , 144 % , 40 % , none of the above,B,Geometry
find the perimeter and area of a square of side 9 cm ., 36 , 49 , 64 , 81 , 100,D,Geometry
"in a trapezium abcd , ab is parallel to dc , ab = 3 * dc , and the diagonals of the trapezium intersect at o . the ratio of the area of ∆ ocd to the area of ∆ oab is :", 1 : 9', 1 : 3', 3 : 1', 1 : 10', can not be determined'],A,Geometry
"the length of a rectangular garden is three times its width . if the area of the rectangular garden is 675 square meters , then what is the width of the rectangular garden ?", 14 , 15 , 16 , 17 , 18,B,Geometry
"a rectangular lawn of length 200 m by 120 m has two roads running along its center , one along the length and the other along the width . if the width of the roads is 5 m what is the area q covered by the two roads ?", 400 , 1550 , 1575 , 1600 , 1625,C,Geometry
"if the sides of a triangle are 26 cm , 24 cm and 20 cm , what is its area ?", 120 , 772 , 288 , 266 , 240,E,Geometry
"if the sides of a triangle are 26 cm , 25 cm and 10 cm , what is its area ?", 120 , 110 , 130 , 140 , 125,E,Geometry
find the area of a parallelogram with base 36 cm and height 24 cm ?, 760 , 284 , 288 , 864 , 820,D,Geometry
"the slant height of a cone is 12 cm and radius of the base is 4 cm , find the curved surface of the cone ?", 26 , 28 , 48 , 26 , 28,C,Geometry
"what is the area of a triangle with the following vertices l ( 2 , 3 ) , m ( 5 , 1 ) , and n ( 3 , 5 ) ?", 3', 4', 5', 6', 7'],B,Geometry
"on the xy - plane , each point on circle c has coordinates such that x 0 and y 0 . if the center of circle c is the point ( 3 ; 9 ) , what is the maximum possible area of c ?", 6 , 9 , 24 , 32 , 64,C,Geometry
"if k and w are the dimensions of a rectangle that has area 60 , and if k and w are integers such that k > w , what is the total number of possible values of k ?", two , three , four , five , six,E,Geometry
"what is the equation of a circle of radius 5 units centered at ( 3 , 2 ) ?", x ^ 2 + y ^ 2 + 6 x – 4 y = 23', x ^ 2 + y ^ 2 - 6 x + 4 y = 23', x ^ 2 + y ^ 2 + 6 x + 4 y = 23', x ^ 2 + y ^ 2 - 6 x – 4 y = - 12', x ^ 2 + y ^ 2 - 6 x – 4 y = 12'],E,Geometry
"if the area of a circle decreases by 42 % , then the radius of a circle decreases by", 20 % , 18 % , 24 % , 64 % , none of these,C,Geometry
how many 3 x 3 x 3 cubes could fit in a 10 x 24 x 16 box ?, 150 , 145 , 138 , 142 , 175,D,Geometry
"a circular rim a having a diameter of 45 inches is rotating at the rate of x inches / min . another circular rim b with a diameter of 30 inches is rotating at the rate of y inches / min . what is the value of y in terms of x , if both the rims reach their starting positions at the same time after every rotation .", 3 x / 2', 4 x / 5', 7 x / 5', 5 x / 7', 3 x / 4'],A,Geometry
a trainer is standing in one corner of a square ground of side 25 m . his voice can be heard upto 140 m . find the area of the ground in which his voice can be heard ?, 12300', 14500', 15400', 16700', 18200'],C,Geometry
four horses are tethered at 4 corners of a square field of side 70 metres so that they just can not reach one another . the area left ungrazed by the horses is :, 1050 sq . m', 3850 sq . m', 950 sq . m', 1075 sq . m', 1065 sq . m'],A,Geometry
v is the volume of a cylinder ; the radius r is 3.4 . the height is 350 % more than the radius . which of the following is true ?, 100 < v < 300', 300 < v < 500', 500 < v < 700', 700 < v < 900', 900 < v < 1100'],C,Geometry
"a rectangular grass field is 75 m * 55 m , it has a path of 2.5 m wide all round it on the outside . find the area of the path and the cost of constructing it at rs . 5 per sq m ?", 675 ,rs . 3375 , 575 ,rs . 1350 , 1350 ,A,Geometry
pr is tangent to a circle at point p . q is another point on circle such that pq is diameter of circle and rq cuts circle at m . if radius of circle is 4 units and pr = 6 units . find ratio of triangle pmr to pqr ., 11 / 20', 3 / 5', 13 / 20', 18 / 25', 18 / 26'],C,Geometry
"if a rectangular room measures 8 meters by 5 meters by 4 meters , what is the volume of the room in cubic centimeters ? ( 1 meter = 100 centimeters )"," 24,000'", 16 ,"000,000'", 2 ,"400,000'",B,Geometry
"34 . the side surface of a cylinder is rolled with a rectangular plate . if the height of a cylinder tank is 10 feet and the perimeter of the circular base is 4 feet , what is the area of the rectangular plate ?", 24 , 34 , 28 , 40 , 14,D,Geometry
"the width of a rectangle is 10 mtr and its area is 150 square meter . if length of the rectangle is increased , then its new area is 1 ( 1 / 3 ) times of the original area . what is the new perimeter of the rectangle ?", 45', 54', 67', 60', 69'],D,Geometry
"a rectangular field is to be fenced on three sides leaving a side of 8 feet uncovered . if the area of the field is 680 sq . ft , how many feet of fencing will be required ?", 244 ft , 88 ft , 122 ft , 178 ft , 66 ft,D,Geometry
"frank the fencemaker needs to fence in a rectangular yard . he fences in the entire yard , except for one full side of the yard , which equals 40 feet . the yard has an area of 200 square feet . how many feet offence does frank use ?", 14 , 47 , 50 , 180 , 240,C,Geometry
"you buy a piece of land with an area of â ˆ š 400 , how long is one side of the land plot ?", 28 , 29 , 30 , 20 , 32,D,Geometry
"a rectangular grass field is 75 m * 55 m , it has a path of 3.5 m wide all round it on the outside . find the area of the path and the cost of constructing it at rs . 2 per sq m ?", s . 1350 , s . 1327 , s . 1328 , s . 1397 , s . 1918,E,Geometry
the sides of a rectangle are in the ratio 4 : 3 and its area is 972 sq . m find the perimeter of rectangle, 120 m', 122 m', 124 m', 126 m', 128 m'],D,Geometry
"you buy a piece of land with an area of â ˆ š 625 , how long is one side of the land plot ?", 28 , 29 , 30 , 31 , 25,E,Geometry
what is the area of an equilateral triangle whose one side length is 40 ?, 100 √ 3 , 200 √ 3 , 300 √ 3 , 350 √ 3 , 400 √ 3,E,Geometry
two tracks are parallel . the first track has 6 checkpoints and the second one has 10 checkpoints . in how many ways can the 6 checkpoints of first track be joined with the 10 checkpoints of the second to form a triangle ?, 120', 150', 200', 270', 420'],E,Geometry
a cube is painted red on all faces . it is then cut into 27 equal smaller cubes . how many j cubes are painted on only 2 faces ?, 12 , 8 , 6 , 10 , 16,A,Geometry
"the area of a triangle will be when a = 2 m , b = 5 m , c = 7 m , a , b , c being lengths of respective sides ?", 2 , 7 , 5 , 3 , 4,B,Geometry
"the ratio of males to females in a class is 2 : 3 . the career preferences of the students in the class are represented in a circle graph . if the area of the graph allocated to each career preference is proportional to the number of students who have that career preference , how many degrees of the circle should be used to represent a career that is preferred by two - thirds of the males and one - third of the females in the class ?", 160 , 168 , 191 , 192 , 204,B,Geometry
find the circumference and area of radius 11 cm ., 124 cm ² , 144 cm ² , 380 cm ² , 284 cm ² , 394 cm ²,C,Geometry
"in may , the groundskeeper at spring lake golf club built a circular green with an area of 70 π square feet . in august , the groundskeeper doubled the distance from the center of the green to the edge of the green . what is the total area of the renovated green ?", 1000 π , 400 π , 280 π , 200 π , 20 π,C,Geometry
"the length of a rectangle is twice its breadth . if its length is decreased by 5 cm and breadth is increased by 4 cm , the area of the rectangle is increased by 75 sq . cm . find the length of the rectangle .", 20 cm , 25 cm , 26 cm , 100 / 3 cm , 23 cm,D,Geometry
"the ratio of incomes of two person p 1 and p 2 is 5 : 4 and the ratio of their expenditures is 3 : 2 . if at the end of the year , each saves rs . 2200 , then what is the income of p 1 ?", s . 800 , s . 2400 , s . 4000 , s . 5500 , s . 4200,D,Other
"if log 10 2 = 0.30103 , find the value of log 10 50", 1.69897 , 2.69897 , 1.99897 , 0.69897 , 5.69897,A,Other
"a polling company found that , of 300 households surveyed , 120 spent at least $ 100 per month on both gasoline and electricity , 60 spent at least $ 100 per month on gasoline but not on electricity , and for every household that did not spend at least $ 100 per month on gasoline or electricity , 4 spent at least $ 100 per month on electricity but not on gasoline . how many of the 300 households did not spend at least $ 100 per month on either gasoline or electricity ?", 24 , 30 , 36 , 90 , 96,A,Other
"a certain fruit stand sold apples for $ 0.70 each and bananas for $ 0.60 each . if a customer purchased both apples and bananas from the stand for a total of $ 6.30 , what total number of apples and bananas did the customer purchase ?", 8 , 9 , 10 , 11 , 12,C,Other
what is the value of ( log 2 3 ) ( log 3 4 ) ( log 4 5 ) . . . ( log 63 64 ) ?, 1 / 6 , 2 , 5 / 2 , 6 , 32,D,Other
"the ratio of football players , baseball players , soccer players , and basketball players in a school is 10 : 7 : 5 : 4 . how many athletes are in the school if 16 players are on the basketball team ?", 40 , 92 , 104 , 208 , 80,C,Other
what is the units digit of 28 ! + 50 ! + 3 ! + 4 ! ?, 0 , 2 , 4 , 6 , 8,A,Other
"there are two positive numbers in the ratio 5 : 8 . if the larger number exceeds the smaller by 36 , then find the smaller number ?", 25 , 66 , 77 , 60 , 44,D,Other
"a bag contains 7 green balls and 7 white balls . if two balls are drawn simultaneously , what is the probability that both balls are the same colour ?", 4 / 13 , 6 / 13 , 8 / 21 , 11 / 21 , 17 / 42,B,Other
"there are 12 slate rocks , 17 pumice rocks , and 8 granite rocks randomly distributed in a certain field . if 2 rocks are chosen at random and without replacement , what is the probability that both rocks will be slate rocks ?", 5 / 36 , 7 / 64 , 9 / 83 , 11 / 111 , 13 / 135,D,Other
"the number of people who purchased book a is twice the number of people who purchased book b . the number of people who purchased both books a and b is 500 , which is twice the number of people who purchased only book b . what is the number of people z who purchased only book a ?", 250 , 500 , 750 , 1000 , 1500,D,Other
"two alloys a and b are composed of two basic elements . the ratios of the compositions of the two basic elements in the two alloys are 7 : 5 and 1 : 2 , respectively . a new alloy x is formed by mixing the two alloys a and b in the ratio 4 : 3 . what is the ratio of the composition of the two basic elements in alloy x ?", 1 : 1 , 2 : 3 , 5 : 2 , 10 : 11 , 7 : 9,D,Other
"140 college students were asked in a survey if they preferred windows or mac brand computers . 80 students claimed that they preferred mac to windows brand computers . one third as many of the students who preferred mac to windows , equally preferred both brands . 50 of the students had no preference . how many of the students in the survey preferred windows to mac brand computers ?", 25 , 10 , 50 , 60 , 75,B,Other
"there are 456 doctors and nurses in a hospital . if the ratio of the doctors to the nurses is 8 : 11 , then how many nurses are there in the hospital ?", 264 , 209 , 57 , 171 , 181,A,Other
there are 600 students in a school . the ratio of boys and girls in this school is 3 : 5 . find the total of girls & boys are there in this school ?, 243 , 265 , 375 , 390 , 400,C,Other
x starts a business with rs . 56000 . y joins in the business after 4 months with rs . 44000 . what will be the ratio in which they should share the profit at the end of the year ?, 21 : 11 , 11 : 21 , 22 : 23 , 25 : 23 , none of these,A,Other
"divide $ 900 among a , b in the ratio 1 : 2 . how many $ that a get ?", $ 50 , $ 300 , $ 150 , $ 250 , $ 600,B,Other
"if the ratio of apples to bananas is 5 to 2 and the ratio of bananas to cucumbers is 1 to 4 , what is the ratio of apples to cucumbers ?", 1 : 3 , 2 : 5 , 3 : 5 , 5 : 8 , 4 : 7,D,Other
"income and expenditure of a person are in the ratio 9 : 8 . if the income of the person is rs . 18000 , then find his savings ?", rs . 3600 , rs . 3603 , rs . 2000 , rs . 3632 , rs . 3602,C,Other
"in a certain pet shop , the ratio of dogs to cats to bunnies in stock is 7 : 7 : 8 . if the shop carries 330 dogs and bunnies total in stock , how many dogs are there ?", 42 , 66 , 98 , 112 , 154,E,Other
"find the compound ratio of ( 3 : 4 ) , ( 4 : 5 ) and ( 1 : 2 ) is", 1 : 2 , 2 : 3 , 3 : 10 , 4 : 10 , 3 : 2,C,Other
"at present , the ratio between the ages of shekhar and shobha is 4 : 3 . after 6 years , shekhar ' s age will be 26 years . find out the age of shobha at present ?", 10 , 12 , 14 , 15 , 20,D,Other
"each factor of 210 is inscribed on its own plastic ball , and all of the balls are placed in a jar . if a ball is randomly selected from the jar , what is the probability that the ball is inscribed with a multiple of 40 ?", 1 / 16 , 5 / 42 , 1 / 8 , 3 / 16 , 1 / 4,A,Other
"in a class of 60 students 41 are taking french , 22 are taking german . of the students taking french or german , 9 are taking both courses . how many students are not enrolled in either course ?", 6 , 15 , 24 , 33 , 54,A,Other
"in a circuit board factory , all circuit boards that pass a verification process are certified . every board that fails the verification process is indeed faulty , but 1 / 8 of those that pass are also faulty . approximately how many faulty circuit boards exist in a group of 3200 circuit boards where 64 fail inspection ?", 72 , 192 , 456 , 256 , 264,C,Other
"if 47.5 % of the 880 students at a certain college are enrolled in biology classes , how many students at the college are not enrolled in a biology class ?", 110 , 330 , 550 , 462 , 880,D,Other
in a class of 150 students 55 speak english ; 85 speak telugu and 30 speak neither english nor telugu how many speak both english and telugu ?, 10 , 20 , 30 , 40 , 50,B,Other
"in a class , 7 students like to play basketball and 5 like to play cricket . 3 students like to play on both basketball and cricket . how many students like to play basketball or cricket or both ?", 12 , 15 , 16 , 9 , 22,D,Other
"a marketing survey of anytown found that the ratio of trucks to sedans to motorcycles was 3 : 7 : 2 , respectively . given that there are 9,100 sedans in anytown , how many motorcycles are there ?", 1260 , 2600 , 3600 , 4200 , 5200,B,Other
"the ratio of incomes of two person p 1 and p 2 is 5 : 4 and the ratio of their expenditures is 3 : 2 . if at the end of the year , each saves rs . 1800 , then what is the income of p 1 ?", s . 800 , s . 2400 , s . 4000 , s . 3200 , s . 4500,E,Other
hree number are in the ratio of 3 : 4 : 5 and their l . c . m . is 2400 . their h . c . f . is :, 40 , 50 , 60 , 70 , 80,A,Other
"sachin is younger than rahul by 7 years . if their ages are in the respective ratio of 7 : 9 , how old is sachin ?", 22.5 years , 24.5 years , 12.5 years , 28.5 years , 29.5 years,B,Other
"a bottle contains a certain solution . in the bottled solution , the ratio of water to soap is 3 : 4 , and the ratio of soap to salt is four times this ratio . the solution is poured into an open container , and after some time , the ratio of water to soap in the open container is halved by water evaporation . at that time , what is the ratio of water to salt in the solution ?", 3 : 8 , 3 : 9 , 3 : 4 , 3 : 12 , 4 : 12,D,Other
"the dimensions of a field are 20 m by 5 m . a pit 10 m long , 4 m wide and 3 m deep is dug in one corner of the field and the earth removed has been evenly spread over the remaining area of the field . what will be the rise in the height of field as a result of this operation ?", 1 m , 5 m , 4 m , 2 m , 3 m,D,Other
"find the two digit number , such that the ratio is 7 / 4 of original number to the number formed by reversing the digits .", 20 , 21 , 22 , 23 , 24,B,Other
"in a group of 100 people , 60 like volleyball , 50 like hockey . how many like both volleyball and hockey ?", 20 , 15 , 10 , 5 , 25,C,Other
