Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4,Eval GPT-3.5,Eval GPT-4
Most common malignancy seen in AIDS patients is:,Non-Hodgkin's lymphoma,Kaposi's sarcoma,Cancer nasopharynx,Hairy leukoplakia,B,ENT,A,B,0,1
Which of the following laser is most commonly used in laryngeal surgery,CO2 Laser,Nd YAG laser,Argon Laser,KTP Laser,A,ENT,A,A,1,1
Epleys maneuvear -,Positional vertigo,Otosclerosis,ASOM,CSOM,A,ENT,A,A,1,1
Treatment of carcinoma larynx in stage T1 N0 M0 is:,Radiotherapy,Surgery-total laryngectomy,Partial laryngectomy,Chemotherapy,A,ENT,B,A,0,1
"In a child with hyperophied adenoids, the voice abnormality that is seen is",Hot potato voice,Staccato voice,Rhinolalia apea,Rhinolalia clausa,D,ENT,C,D,0,1
The most common site of the leak in CSF rhinorrhea is,Sphenoid sinus,Frontal sinus,Cribriform plate,Tegmen tympani,C,ENT,C,C,1,1
Picket-fence graph of temperature is seen in:,Otitic hydrocephalous,Lateral sinus thrombosis,Extradural abscess,Meningitis,B,ENT,B,D,1,0
Which of the following nerve is damaged in Frey's syndrome,Facial nerve,Mandibular nerve,Auriculotemporal nerve,Trigeminal nerve,C,ENT,A,A,0,0
Most common cause of acute epiglottitis is,Hemophilus influenza type B,Pneumococcus,Streptococcus,Staphylococcus,A,ENT,A,A,1,1
Most common presentation of nasopharyngeal carcinoma -,Neck node,Epistaxis,Hoarseness,Obstruction,A,ENT,A,A,1,1
Most common cranial nerve involved in CSOM is -,V,VII,IX,XI,B,ENT,B,B,1,1
Tumour in cheek with 3 cm size with contralateral mobile lymph nodes comes under:,T3N2M0,T2N2M0,T4N2M0,T3N3M0,B,ENT,A,B,0,1
Weber ferguson approach is used for?,Mastoidectomy,Maxillectomy,Myringoplasty,Mandibulectomy,B,ENT,A,B,0,1
"Palpatory thud, an audible snap is seen in",Tracheal foreign body,Bronchial foreign body,Laryngeal foreign body,Foreign body in ear,A,ENT,B,A,0,1
A child came to the opd with fever and dysphagia On examination the following was visualised what is your most probable diagnosis ?,peritonsillar abscess,Parapharyngeal abscess,Retropharyngeal abscess,Follicular Tonsillitis,A,ENT,C,,0,0
In otosclerosis Carhart's notch dips at:,1000 Hz in AC,1000 Hz in BC,2000 Hz in AC,2000 Hz in BC,D,ENT,B,B,0,0
"In which TNM staging of glottis carcinoma, cancer limited to larynx w ith vocal cord fixation? (D. REPEAT 2012)",T1,T2,T3,T4,C,ENT,C,C,1,1
Most common cause of intermittent stridor in a 10 days old child is:,Laryngomalacia,Foreign body,Vocal nodule,Hypertrophy of turbinate,A,ENT,A,A,1,1
At which location along the basilar membrane are the highest-frequency sounds detected?,Nearest the oval window,"Fahest from the oval window, near the helicotrema",Uniformly along the basilar membrane,At the midpoint of the membrane,A,ENT,B,A,0,1
Maxillary sinus incision is known as?,Lynch Howrath incision,Weber Ferguson incision,Crile's Y incision,Schobinger's incision,B,ENT,A,A,0,0
"A 6 year old child presented with history of recurrent upper respiratory tract infections, mouth breathing, nasal obstruction hearing impairment, with high arched palate. The management will be:",Tonsillectomy,Adenoidectomy with grommet insertion,Myringotomy with grommet insertion,Myringotomy,B,ENT,A,A,0,0
Shortest length of middle ear:,2 mm,4 mm,6 mm,1 cm,A,ENT,A,B,1,0
Commonest extracranial complication of CSOM,Petrositis,Labyrinthitis,Subperiosteal abscess,Facial nerve paralysis,C,ENT,C,B,1,0
Which of the following best differentiates antrochoanal polyp from ethmoidal polyp?,They are multiple,Best seen on posterior rhinoscopy,Recurrence on polypectomy,They are bilateral,B,ENT,B,B,1,1
"A 30year old woman with family history of hearing loss from her mother's side developed hearing loss which is bilateral, slowly progressive, pure tone audiometry shows the bone conducting hearing loss with an apparent bone conduction hearing loss at 2000Hz. What is the most likely diagnosis",Otosclerosis,Acoustic neuroma,Otitis media with effusion,Sigmoid sinus thrombosis,A,ENT,A,A,1,1
What is the type of joint between the ossicles of ear?,Fibrous joint,Primary cartilaginous,Secondary cartilaginous,Synovial joint,D,ENT,A,D,0,1
Treatment of choice for CSOM with vertigo and facial nerve palsy is:,Antibiotics and labyrinthine sedatives,Myringoplasty,Immediate mastoid exploration,Labyrinthectomy,C,ENT,A,C,0,1
Most Common site of perilymph fistula is,Round window,Oval window,Otic capsule,Attic,B,ENT,A,B,0,1
A 10-year-old boy developed hoarseness of voice following an attack of diphtheria. On examination his right vocal was paralysed. The treatment of choice for paralysed vocal cord will be:,Gel foam injection of right vocal cord,Fat injection of right vocal cord,Thyroplasty type-I,Wait for spontaneous recovery of vocal cord,D,ENT,C,D,0,1
Main treatment of congenital laryngeal stridor is:,Tracheostomy,Steroid therapy,Reassurance to the child's parents,Amputating epiglottis,C,ENT,B,C,0,1
Most common type of oesophageal cancer is:,Squamous cell carcinoma,Adenocarcinoma,Adenoid cystic carcinoma,Mucoepidermoid carcinoma,A,ENT,A,A,1,1
The mastoid infection which erodes through the outer coex of bone result in?,Subperiosteal abscess,Epidural abscess,Perichondritis,Lateral sinus thrombosis,A,ENT,A,A,1,1
Unsafe eardrum perforation is,Central,Marginal,Paracentral,Multiple central,B,ENT,B,B,1,1
"A 14 years patient with swelling of cheek, mild proptosis is seen in -",Nasopharyngeal angiofibroma,Carcinoma,Nasal Polyp,Foreign body,A,ENT,A,A,1,1
Abductor of vocal cord is?,Posterior cricoarytenoid,Cricothyroid,Interarytenoid,Lateral cricoaretynoid,A,ENT,A,A,1,1
Most common part of larynx involved in TB -,Anterior,Posterior,Middle,Anywhere,B,ENT,B,B,1,1
Fluctuating recurring variable sensorineural deafness is seen in:,Serous otitis media,Hemotympanum,Perilymphatic fistula,Cholesteatoma,C,ENT,C,C,1,1
Eustachian tube opens due to contraction of which of the following muscles,Buccinator,Levator palati,Stylohyoid,Stylopharyngeus,B,ENT,B,B,1,1
Commonest cause of acute Otitis media in children is:,H. influenzae,Streptococcus pneumoniae,Staph. aureus,Pseudomonas,B,ENT,B,B,1,1
CSF rhinorrhoea is diagnosed by:,b2 macroglobulin,b2 transferrin,Thyroglobulin,Transthyretin,B,ENT,B,B,1,1
"In acoustic neuroma, cranial nerve to be involved earliest is",5,7,9,10,A,ENT,B,B,0,0
Which structure prevents spread of infection form middle ear to the brain?,Tegmen tympani,Cribriform plate,Fundus tympani,Petrous apex,A,ENT,A,A,1,1
"Patient presents with mouth breathing, recurrent serous otitis media and adenoid facies. What is the best line of management ?",Adenoidectomy,Tonsillectomy,Antibiotics,Supportive therapy,A,ENT,A,A,1,1
Type of speech seen in nasopharyngeal carcinoma is,Rhinolalia clausa,Rhinolalia apea,Hot potato voice,Hoarse voice,A,ENT,A,A,1,1
A young boy of 18 years gets recurrent busts of otitis externa after swimming. Which of the following methods should be recommended?,Not to swim,Use 2% acetic acid after swimming,Use ear drops containing an antibiotic and steroid,Use an antifungal ear drops after swimming,B,ENT,B,B,1,1
"Juvenile angiofibroma confined to nasal cavity, preferred approach for surgery -",Transnasal endoscopic,Transpalatal,Lateral rhinotomy,Transmaxillary,A,ENT,A,A,1,1
Irvin Moore sign is positive in,Adenoid hyperophy,Acute tonsillitis,Chronic tonsillitis,Epiglottitis,C,ENT,A,A,0,0
"A steel worker presented with noise induced hearing loss, which pa of inner ear is most likely affected?",Inner hair cell,Outer hair cell,Macula,Cupula,B,ENT,A,B,0,1
Ground glass appearance of maxillary sinus is seen in?,Maxillary Sinusitis,Maxillary Carcinoma,Maxillary polyp,Maxillary fibrous dysplasia,D,ENT,A,D,0,1
An electrode of a cochlear implant is placed in,Horizontal semicircular canal,Scala media,Scala tympani,Scala vestibule,C,ENT,C,C,1,1
"A child presenting with recurrent respiratory tract infections, mouth breathing and decreased hearing. Treatment of choice is",Tonsillectomy,Adenoidectomy,Gromet insertion,Myringotomy,B,ENT,A,A,0,0
Last taste sensation discovered is,Umami,Sweetness,Bitter,Sour,A,ENT,A,A,1,1
Recent studies suggest causative organism of Bells palsy is,Herpes virus,HIV virus,Papilloma virus,Rota virus,A,ENT,A,A,1,1
Stapedius muscle is supplied by:,5th nerve,6th nerve,7th nerve,8th nerve,C,ENT,C,C,1,1
"""Rising sun"" appearance is seen in",ASOM,CSOM,Glomus tumor,Acoustic neuroma,C,ENT,C,B,1,0
Inspiratory stridor is due to lesions of:,Supraglottis,Subglottis,Trachea,Bronchi,A,ENT,B,B,0,0
"In acute sinusitis,the sinus more involved in children is:",maxillary,Sphenoid,Ethmoid,Frontal,C,ENT,A,C,0,1
Sense of gravity is detected by,Horizontal semicircular canal,Lateral semicircular canal,Superior semicircular canal,Utricle and saccule,D,ENT,D,D,1,1
Which of the following organisms is known to cause Atrophic Rhinitis,Klebsiella pneumonia,Klebsiella Ozaena,Streptococcus pneumonia,Streptococcus foetidis,A,ENT,B,B,0,0
Scientist who worked on conduction in inner ear?,Young,Helmoltz,Bekesey,Malcom ritter,C,ENT,B,B,0,0
Which Intervention is best in patient operated for bilateral acoustic neuroma for hearing rehabiliation:,Brainstem hearing implant,Bilateral cochlear implant,Unilateral cochlear implant,High power hearing aid,A,ENT,B,A,0,1
Orbital cellulitis most commonly occurs after which sinus infection?,Maxillary,Frontal,Ethmoidal,Sphenoidal,C,ENT,A,C,0,1
Maxillary sinus achieves maximum size at,bih,Primary dentition,At secondary dentition,At pubey,C,ENT,A,A,0,0
Disclosure of name of rape victim punishable under,Sec. 304-A IPC,Sec. 354 IPC,Sec. 376 IPC,Sec. 228-A IPC,D,Forensic Medicine,A,A,0,0
'Brush burn' is,An abrasion,Electric bum,Chemical bum,Contusion,A,Forensic Medicine,A,A,1,1
Tattoo is not visible on autopsy. But the presence of tattoo was informed by relative. What is the next site to check?,Regional lymph node,Liver,Skin,Vessel,A,Forensic Medicine,A,A,1,1
&;BEATING HEA DONOR&; refers to,Molecular death,Vegetative state,Cerebral death,Brain stem death,D,Forensic Medicine,B,B,0,0
Type of skull fracture in which pattern often resembles the type of weapon used:-,Fissured fracture,Gutter fracture,Pond fracture,Depressed fracture,D,Forensic Medicine,B,D,0,1
'Stomach bowel test' is also known as,Hydrostatic test,Breslau's first life test,Breslau's second lfe test,Raygat's test,C,Forensic Medicine,A,,0,0
Nysten's rule is for the order of,Rigor mois,Post Moem staining,Algor Mois,Cadaveric spasm,A,Forensic Medicine,A,A,1,1
Novus actus interveniens is related to?,Facts speaking for itself,Breaking of chain,Contributory negligence,Therapeutic misadventure,B,Forensic Medicine,B,B,1,1
Cephalic index 75-80 is seen in:-,Mongols,Aryans,Negros,Chinese,D,Forensic Medicine,C,A,0,0
Private Doctor refusing to treating a case of sexual offence and referring to govt hospital is,Not an offence,Punishable under 166 B IPC,Punishable under 357 (c) Cr P C,Punishable under 327 (c) Cr P C,B,Forensic Medicine,B,B,1,1
In run-over accidents the following type of laceration is commonly seen:,Split,Cut,Avulsion,Stretch,C,Forensic Medicine,A,A,0,0
The bore of a gun can be examined by:-,Broach cutter,Helixometer,Comparison microscope,Simple microscope,B,Forensic Medicine,C,B,0,1
Rigor mois stas from -,Eyelid muscles and lower jaw,Upper extremity and upper eyelid,"Trunk muscle, lower extremity",Lower extremity and face,A,Forensic Medicine,C,A,0,1
"In an entry wound produced by rifled gun, the antemoem phenomenon is:-",Blackening,Charring,Tattooing,Di collar,C,Forensic Medicine,C,D,1,0
Professional death in medical profession is -,Death of doctor,Death sentence ordered by judge,Death during police firing,Removal of name of doctor from panel of RMP,D,Forensic Medicine,D,D,1,1
Chalky white deposits in teeth are seen with which acid?,Carbolic acid,Oxalic acid,Nitric acid,Sulphuric acid,D,Forensic Medicine,B,B,0,0
Brown colour of contusion is due to:,Biliverdin,Reduced hemoglobin,Haemosiderin,Bilirubin,C,Forensic Medicine,B,C,0,1
Husband had intercourse with wife during separation without consent. Section which deals with it:,376-A IPC,376-B IPC,376-C IPC,376-D IPC,B,Forensic Medicine,A,B,0,1
First offence of stalking is,Cognizable & bailable,Non- Cognizable & non- bailable,Non-Cognizable & bailable,Cognizable & non- bailable,A,Forensic Medicine,C,A,0,1
"In civil negligence, onus of proof lies on -",Judicial first degree magistrate,Police not below the level of sub inspector,Doctor,Patients,D,Forensic Medicine,D,D,1,1
Ossification centre Calcaneum appears in,3rd month,5th month,7th month,9th month,B,Forensic Medicine,A,B,0,1
Dowry death is defined under section,304A IPC,304B,174Cr. P. C,176Cr. P. C,B,Forensic Medicine,B,B,1,1
Hemodialysis is absolutely indicated in -,Methanol,Benzodiazepine,Organophosphorus,Amphetamine,A,Forensic Medicine,A,A,1,1
Foamy liver is found in,Drowning,Putrefaction,Adipocere,Abortion,B,Forensic Medicine,B,A,1,0
Opium is derived from -,Leaf,Root,Poppy seed,Unripe capsule,D,Forensic Medicine,C,D,0,1
Virchow method of autopsy includes:-,Organs are removed En masse,Organs are removed En block,Organs are removed one by one,In situ dissection combined with en bloc removal,C,Forensic Medicine,D,C,0,1
A young female presented with consumption of some substance in the emergency department. Greenish blue froth was seen coming out of her nostrils and oral cavity. The poisoning is most likely due to which of the following?,Arsenic poisoning,Copper poisoning,Mercury poisoning,Lead poisoning,B,Forensic Medicine,B,B,1,1
Gettler's test is done in,Traumatic asphyxia,Strangulation,Drowning,Sexual asphyxia,C,Forensic Medicine,B,C,0,1
"A 40 YR OLD MAN , WORKING IN FARM PRESENTED WITH HEADACHE MALASIE SENSE OF TIGHTNESS DIMNESS OF VISION . ON EXAMINATION PUPILS WERE SHOWN AS BELOW ? WHAT IS TH EDIAGNOSIS ?",LEAD POISONING,ORGANO PHOSPHOROUS,NICKLE POISONING,COCIANE,B,Forensic Medicine,A,A,0,0
"Pupils alternatively contract and dilate known as hippus sign, is seen in",Arsenic poisoning,Aconite poisoning,Atropine poisoning,Albinoria,B,Forensic Medicine,A,A,0,0
Rigor mortis start in:,Heart,Brain,Right iliac fossa,Left iliac fossa,A,Forensic Medicine,B,A,0,1
Maximum punishment that can be awarded by second class judicial magistrate cou,"7 year imprisonment, any amount fine","3 yr imprisonment, ,Rs 10,000/ fine","1 yr imprisonment,Rs. 5000/ fine",Death sentence,C,Forensic Medicine,A,B,0,0
Di collar or grease collar is seen in -,Punctured wound by sharp weapon,Lacerated wound,Firearm entry wound,Stab wound,C,Forensic Medicine,D,C,0,1
Increased sexual desire in males is known as -,Nymphomania,Satyriasis,Frigidity,Fetishism,B,Forensic Medicine,B,B,1,1
To find out whether the stain is human or not the following test is done,Florence test,Takayamma test,Precipitant test,Barberios test,C,Forensic Medicine,C,C,1,1
Carphologia is seen in:,Datura poisoning,Digitalis poisoning,LSD overdose,Alcohol withdrawal,A,Forensic Medicine,A,A,1,1
Feature of Post mortem clots are,Can be washed away,Laminated,Rubbery,Variegated,A,Forensic Medicine,B,A,0,1
Period of mixed dentition is,3-5 years,6-11 years,12-15 years,15-18 years,B,Forensic Medicine,B,B,1,1
Maximum number of times a woman can become pregnant for surrogacy is:,1,2,3,4,C,Forensic Medicine,A,,0,0
The maximum age of this person is:-,Less than 12 years,5 years,6 years,18 years,A,Forensic Medicine,D,D,0,0
Drug used in acute iron poisoning is:,BAL,Desferrioxamine-B,Methylene blue,EDTA,B,Forensic Medicine,B,B,1,1
Species identification is done by -,Neutron activation analysis (N.A.A.),Precipitin test,Benzidine test,Spectroscopy,B,Forensic Medicine,B,B,1,1
The toxic substance responsible for floppy baby syndrome is,Lithium,Cadmium,Antimony,Barium,A,Forensic Medicine,B,B,0,0
Not a pa of firearm:,Bolt,Piston,Extractor,Muzzle,B,Forensic Medicine,B,B,1,1
"The ""knot"" in judicial hanging is placed at",The back of the neck,The side of the neck,Below the chin,Choice of hangman,B,Forensic Medicine,A,B,0,1
"In rape cases, in camera trial is conducted under:-",Sec . 164 (A) cr P C,327 crPC,Sec 357 (C) Cr PC,54 (A) CrPC,B,Forensic Medicine,A,B,0,1
Virchows method of organ removal is,Organs removed en masse,Organs removed one by one,In situ removal,Minimal invasive autopsy,B,Forensic Medicine,C,B,0,1
Dilated pupil with coma is seen in w hich poisoning -,Opium,Datura,Mushroom,Pilocarpus,B,Forensic Medicine,C,B,0,1
Death from Hydrocution results due to the contact of skin with:-,Water that is at least 5degC lower than body temperature,Water that is at least 5degC higher than body temperatur,Water that is at least 15degC lower than body temperature,Water that is at least 15degC higher than body temperature,A,Forensic Medicine,A,A,1,1
Blue color of the bruise is due to -,Hemosiderin,Deoxyhemoglobin,Bilirubin,Hematoidin,D,Forensic Medicine,A,B,0,0
Sexual gratification with inanimate object of opposite sex -,Fetishism,Masturbation,Exhibitionism,Frotteurism,A,Forensic Medicine,B,A,0,1
Exhumation can be ordered by,Doctor,Civil surgeon,District magistrate,Police commissioner,C,Forensic Medicine,C,C,1,1
Contre coup injury is seen in,Brain,Spleen,Heart,Limb,A,Forensic Medicine,A,A,1,1
Corpoporphyrin in urine is seen in which of the poisoning?,Copper,Lead,Arsenic,Mercury,B,Forensic Medicine,A,B,0,1
In Hydrocution death occurs by,Vagal inhibition,Laryngospasm,Encephalopathy,Loss of consciousness,A,Forensic Medicine,B,A,0,1
The active principle of abrus precatorius is:,Abrin and abrine,Calotoxin and Calotropin,Ricin and Ricinoleic acid,Semicarpol and Bhilawanol,A,Forensic Medicine,A,A,1,1
"In a female,basi-occiput fuses with basi-sphenoid at the age of",20 years,23 years,27 years,17 years,A,Forensic Medicine,C,B,0,0
The best specimen used for toxicological analysis in embalmed body is,Bile,Vitreous,Spinal cord,Skeletal muscle,D,Forensic Medicine,B,D,0,1
Ideal temperature to preserve the body for a post moem is,0 degrees,4 degrees,10 degrees,- 4 degrees,B,Forensic Medicine,B,B,1,1
Verdigris is,Copper sulphate,Copper arsenite,Copper acetoarsenite,Copper subacetate,D,Forensic Medicine,C,C,0,0
Ophitoxemia means,Oxalicacid poisoning,Poisoning by corrosive materials,Venomous snake bite,Viual poisoning,C,Forensic Medicine,C,C,1,1
In Superfecundation:,Two ova in same menstrual cycle,Two ova in different menstrual cycle,Single ova in same menstrual cycle,Single ova in different menstrual cycle,A,Forensic Medicine,A,A,1,1
According to the 2013 amendment the age for sexual consent is:,15 years,16 years,18 years,20 years,C,Forensic Medicine,B,B,0,0
Subpoena is a:,Legal document,Medicolegal document,Medical document,First information repo (FIR),A,Forensic Medicine,A,A,1,1
The stomach wash for phenol poisoning is done with?,10% glycerin,KMnO4,Alkaline water solution,Saline water,A,Forensic Medicine,A,B,1,0
Wrong about dhatura seeds is?,Kidney shaped,Odourless,Yellow brown,Convex smooth surface,D,Forensic Medicine,C,C,0,0
Smack is,LSD,Cocaine,Cannabis,Heroin,D,Forensic Medicine,B,D,0,1
Holograph will is:,Doctor dictates and written by relatives,Testator writes in his own handwriting,Testator dictates and written by relatives,Testator is dictated and written by doctor,B,Forensic Medicine,B,B,1,1
Synonymous of pugilistic attitude is -,Defence attitude,Assault attitude,Bow string attitude,Bayonet attitude,A,Forensic Medicine,A,A,1,1
Sample of spinal cord preseved in: (Repeat),Strychnine poisoning,Arsenic poisoning,Yellow Oleander poisoning,Nerve gas poisoning,A,Forensic Medicine,C,A,0,1
Which of the following is not a potential source of DNA for forensic analysis:,Hair roots Hair shaft,Red blood cells,WBC,Muscle tissue,B,Forensic Medicine,A,B,0,1
Marbling refers to,Pale look of the body,Vessels appearing as prominent lines,Greenish discoloration of the body,Degloving,B,Forensic Medicine,B,C,1,0
Peeping tom is punishable under:,Section 290 IPC,Section 294 IPC,Section 354 C IPC,Section 354 D IPC,C,Forensic Medicine,C,C,1,1
"A person was brought by police from the railway platform. He is talking irrelevant. He is having dry mouth with hot skin, dilated pupils, staggering gait and slurred speech. The most probable diagnosis is:",Alcohol intoxication,Carbamates poisoning,Organophosphorous poisoning,Dhatura poisoning,D,Forensic Medicine,A,D,0,1
Voyeurism is?,Sexual gratification by watching the act of sexual intercourse,Use of such objects for sexual gratification,Sexual gratification is by self pain,Sexual gratification by rubbing private part,A,Forensic Medicine,A,A,1,1
Antemoem bruise is differentiated from postmoem bruise by:,Well-defined margin,Capillary rupture with extravasation of blood,Yellow color,Gaping,B,Forensic Medicine,A,A,0,0
Marbling of tissue is noticed by,18 hours,24 hours,36 hours,48 hours,C,Forensic Medicine,C,B,1,0
Discoloration after death is first seen in?,Dependent parts,Scalp,Face,Arms,A,Forensic Medicine,A,A,1,1
Trousseau sign is positive in which poisoning -,Oxalic acid,Carbolic acid,Sulfuric acid,Nitric acid,A,Forensic Medicine,A,,1,0
Vasculotoxic is -,Sea snake,Viper,Krait,Cobra,B,Forensic Medicine,B,,1,0
"a married women died in unnatural conditions within 5yrs of marriage,her parents complained of frequent demand of dowry .her autopsy will be conducted under ?",174 crpc,176 crpc,302 ipc,304B ipc,B,Forensic Medicine,B,B,1,1
Onus of proof in civil negligence case lies against doctor lies on,Doctor,Magistrate,Police,Patient,D,Forensic Medicine,A,D,0,1
Vitriolage can be done by which of the plant:,Croton tigilum,Arbus precagtorius,Bhilawanol,Calotropes,C,Forensic Medicine,B,A,0,0
A person was found dead with bluish green frothy discharge at the angle of mouth and nostrils. What is the diagnosis?,Arsenic poisoning,Copper poisoning,Mercury poisoning,Lead poisoning,B,Forensic Medicine,B,B,1,1
Hemoperfusion with charcoal is useful in poisoning with -,Barbiturate poisoning,Methyl alcohol,Lithium,Ethylene glycol,A,Forensic Medicine,C,A,0,1
Rigor mortis first seen in:,Eyelids,Heart,Limbs,Neck,B,Forensic Medicine,C,A,0,0
Sample of spinal cord is preserved in suspected poisoning with,Arsenic,Strychnine,Alcohol,Oleander,B,Forensic Medicine,A,B,0,1
Black foot disease is caused by -,Arsenic,Cadmium,Lead,Mercury,A,Forensic Medicine,A,A,1,1
Increasing Doses Of Alcohol Depresses Brain In The Following Order.,"Cerebellum, Frontal lobe, occipital lobe","Frontal lobe, Cerebellum, Occipital lobe","Frontal lobe, occipital lobe, cerebellum","Cerebellum, Occipital lobe, Frontal lobe",C,Forensic Medicine,C,B,1,0
"A person incapacitated by drug, disease, alcohol, etc lie with the upper poion of body lower than rest of the body causes",Traumatic asphyxia,Postural asphyxia,Sexual asphyxia,Burking,B,Forensic Medicine,B,B,1,1
Polyhydramnios not seen in -,Anencephalv,Renal agenesis,Hydropsfetalis,Chorioangioma of placenta,B,Gynaecology & Obstetrics,A,B,0,1
Hcg can be estimated earliest by :,Radioimmunoassay,ELISA.,Radioreceptor assay,Bloassay,A,Gynaecology & Obstetrics,A,A,1,1
"A 50-year-old woman who was obese and hypertensive, came with complaints of bleeding and abdomen pain, diagnosed to be endometrial cancer. Which of the following gene is mutated?",P53,PTEN,Beta catenin,CHD4,B,Gynaecology & Obstetrics,A,B,0,1
Vaginal bih after caesarean section (VBAC) is contraindicated in:,Previous classical section,Suspected CPD,NO vaginal bih previously,Previous uterine rupture,A,Gynaecology & Obstetrics,A,D,1,0
"A 60 yr old woman came to OPD with distended abdomen and postmenopausal bleeding. Imaging suggests bilateral ovarian complex masses with a CA 125 value of 1500. A comprehensive surgical staging is planned. Per operatively, bilateral ovarian masses are seen with surface involvement and ascites. There is no pelvic or extrapelvic extension of tumor or lymph node involvement. What is the appropriate treatment?",Maximal cytoreduction surgery,Hysterectomy + Bilateral salpingo-oophorectomy,Proceed with surgical staging with hysterectomy + Bilateral salpingo-oophorectomy followed by adjuvant chemotherapy,Bilateral salpingo-oophorectomy followed by adjuvant chemoradiation,C,Gynaecology & Obstetrics,A,C,0,1
An elderly multiparous woman with intrauterine foetal death was admitted with strong labour pains The patient suddenly goes in shock with cyanosis respiratory disturbances and pulmonary oedema The most likely clinical diagnosis is;,Rupture of uterus,Congestive hea failure,Amniotic fluid embolism,Concealed accidental hemorrhage,C,Gynaecology & Obstetrics,A,A,0,0
Endosalpingitis is best diagnosed by,laparoscopy,X-Ray abdomen,Hysterosalpingography,Hystero-laparoscopy,A,Gynaecology & Obstetrics,D,A,0,1
Which of the following is NOT a sonographic finding of fetal syphilis?,Hepatomegaly,Lymphadenopathy,Placentomegaly,Ascites/hydrops,B,Gynaecology & Obstetrics,C,B,0,1
A mother brings her 16 yr old daughter to gynaec OPD with complaints of not attaining menarche She gives his cyclical abdominal pain On faher examination midline abdominal swelling seen per rectal examination reveals bulging mass in vagina which of the following do you suspect,Imperforate hymen,transverse vaginal septum,MRKH,vaginal agenesis,A,Gynaecology & Obstetrics,A,A,1,1
First line therapy in women with Adenomyosis who wants to preserve feility is,Combined OC pills,Levonorgestrel containing IUCD,Ulipristal acetate,Hysterectomy,B,Gynaecology & Obstetrics,B,B,1,1
Pus discharge (crviitis/urethritis) in a female caused by,Papilloma,Chlamydia,Candida,Bacterial Vaginosis,B,Gynaecology & Obstetrics,B,B,1,1
"In modern day obstetrics, most common cause of rupture uterus is -",Prolonged labour,Previous LSCS scar rupture,Forceps delivery,Internal podalic version,B,Gynaecology & Obstetrics,B,B,1,1
Air embolism occurs in which method of abortion?,Spontaneous abortion,Medical Termination of pregnancy,Criminal abortion,Antiphospholipid antibody syndrome,C,Gynaecology & Obstetrics,B,C,0,1
Which of the following drugs not used in endometriosis?,Danazol,Progestin,GnRH agaonist,Misoprost,D,Gynaecology & Obstetrics,B,D,0,1
35 yr old primigravida conceived after IVF cycle attends obstetrics clinic with 38 weeks gestation. Her obstetrics details reveals DiCho-DiAmn twins with 1st twin as breech. Her BP was 140/90 mmHg on 2 occasions with proteinuria +1. How will you manage this case?,Induction of labour,Plan a cesarean for termination,Watch for BP and induce of normal delivery on Expected Date of delivery,Watch for BP and terminate (vaginal/ Casarean) only when BP is normal.,B,Gynaecology & Obstetrics,B,B,1,1
Pseudomyxoma peritonei may occur as a consequence of which of these ovarian tumors?,Dermoid,Dysgerminoma,Serous cystadenocarcinoma,Mucinous cystadenocarcinoma,D,Gynaecology & Obstetrics,D,D,1,1
Which of the following methods of treating eclampsia has the LEAST effect on neonates,Lytic cocktail regime,MgSO4 regime,Diazepam therapy,Phenobarbitone therapy,B,Gynaecology & Obstetrics,B,B,1,1
Which type of pelvis is favorable for Face to pubis delivery?,Gynecoid,Android,Anthropoid,Platypelloid,C,Gynaecology & Obstetrics,A,A,0,0
POPs carry a risk of:,Hypertension,Embolism,Irregular bleeding,Ectopic pregnancy,D,Gynaecology & Obstetrics,A,D,0,1
Which of the following is a category X drug:,Itraconazole,Isotretinoin,Nitrofurantoin,Acyclovir,B,Gynaecology & Obstetrics,B,B,1,1
"In semen banks, semen is preserved at low temperature using which cryo protectant:-",Dry ice,Glycerol,Liquid nitrogen,Liquid oxygen,B,Gynaecology & Obstetrics,B,B,1,1
Specific treatment of severe pre eclampsia is?,Magnesium sulfate,Termination of pregnancy,Anti convulsants,Anti hypertensives,B,Gynaecology & Obstetrics,B,A,1,0
Itching during cholestasis of pregnancy is due retained :,Bilirubin,Bile acids,Alkaline phosphatase,Bile salts,D,Gynaecology & Obstetrics,B,B,0,0
Highest failure rate is seen in:,OCP,Condom,Cu-T,Depot injection,B,Gynaecology & Obstetrics,C,B,0,1
Most common genital prolapse is:,Cystocoele,Procidentia,Rectocoele,Enterocoele,A,Gynaecology & Obstetrics,B,A,0,1
"A 27-year old primigravida presented to the OPD with pregnancy induced hypeension at 32 weeks of gestation. She had no other complications. On examination she had a blood pressure of 150/100 mm of Hg. Her blood pressure was later controlled with treatment. lf there are no complications, the pregnancy should be terminated at?",40 completed weeks,37 completed weeks,36 completed weeks,34 completed weeks,B,Gynaecology & Obstetrics,B,B,1,1
"In extra amniotic 2nd trimester medicolegal termination of pregnancy, which of the following is used?",Ethacrydine lactate,Prostaglandin,Hypertonic saline,Glucose,A,Gynaecology & Obstetrics,B,A,0,1
"A young woman who has suffered recurrent aboions, presents with thrombosis of leg veins. The most likely diagnosis is",Chromosomal abnormality,Factor VIII deficiency,Antiphospholipid antibody syndrome,Increased antithrombin III levels,C,Gynaecology & Obstetrics,A,A,0,0
