Question,A,B,C,D,Correct Option,Subject,GPT-3.5,GPT-4
Vaginal bih after caesarean section (VBAC) is contraindicated in:,Previous classical section,Suspected CPD,NO vaginal bih previously,Previous uterine rupture,A,Gynaecology & Obstetrics,A,D
"A 60 yr old woman came to OPD with distended abdomen and postmenopausal bleeding. Imaging suggests bilateral ovarian complex masses with a CA 125 value of 1500. A comprehensive surgical staging is planned. Per operatively, bilateral ovarian masses are seen with surface involvement and ascites. There is no pelvic or extrapelvic extension of tumor or lymph node involvement. What is the appropriate treatment?",Maximal cytoreduction surgery,Hysterectomy + Bilateral salpingo-oophorectomy,Proceed with surgical staging with hysterectomy + Bilateral salpingo-oophorectomy followed by adjuvant chemotherapy,Bilateral salpingo-oophorectomy followed by adjuvant chemoradiation,C,Gynaecology & Obstetrics,A,C
An elderly multiparous woman with intrauterine foetal death was admitted with strong labour pains The patient suddenly goes in shock with cyanosis respiratory disturbances and pulmonary oedema The most likely clinical diagnosis is;,Rupture of uterus,Congestive hea failure,Amniotic fluid embolism,Concealed accidental hemorrhage,C,Gynaecology & Obstetrics,A,A
Endosalpingitis is best diagnosed by,laparoscopy,X-Ray abdomen,Hysterosalpingography,Hystero-laparoscopy,A,Gynaecology & Obstetrics,D,A
Which of the following is NOT a sonographic finding of fetal syphilis?,Hepatomegaly,Lymphadenopathy,Placentomegaly,Ascites/hydrops,B,Gynaecology & Obstetrics,C,B
A mother brings her 16 yr old daughter to gynaec OPD with complaints of not attaining menarche She gives his cyclical abdominal pain On faher examination midline abdominal swelling seen per rectal examination reveals bulging mass in vagina which of the following do you suspect,Imperforate hymen,transverse vaginal septum,MRKH,vaginal agenesis,A,Gynaecology & Obstetrics,A,A
First line therapy in women with Adenomyosis who wants to preserve feility is,Combined OC pills,Levonorgestrel containing IUCD,Ulipristal acetate,Hysterectomy,B,Gynaecology & Obstetrics,B,B
Pus discharge (crviitis/urethritis) in a female caused by,Papilloma,Chlamydia,Candida,Bacterial Vaginosis,B,Gynaecology & Obstetrics,B,B
"In modern day obstetrics, most common cause of rupture uterus is -",Prolonged labour,Previous LSCS scar rupture,Forceps delivery,Internal podalic version,B,Gynaecology & Obstetrics,B,B
Air embolism occurs in which method of abortion?,Spontaneous abortion,Medical Termination of pregnancy,Criminal abortion,Antiphospholipid antibody syndrome,C,Gynaecology & Obstetrics,B,C
Which of the following drugs not used in endometriosis?,Danazol,Progestin,GnRH agaonist,Misoprost,D,Gynaecology & Obstetrics,B,D
35 yr old primigravida conceived after IVF cycle attends obstetrics clinic with 38 weeks gestation. Her obstetrics details reveals DiCho-DiAmn twins with 1st twin as breech. Her BP was 140/90 mmHg on 2 occasions with proteinuria +1. How will you manage this case?,Induction of labour,Plan a cesarean for termination,Watch for BP and induce of normal delivery on Expected Date of delivery,Watch for BP and terminate (vaginal/ Casarean) only when BP is normal.,B,Gynaecology & Obstetrics,B,B
Pseudomyxoma peritonei may occur as a consequence of which of these ovarian tumors?,Dermoid,Dysgerminoma,Serous cystadenocarcinoma,Mucinous cystadenocarcinoma,D,Gynaecology & Obstetrics,D,D
Which of the following methods of treating eclampsia has the LEAST effect on neonates,Lytic cocktail regime,MgSO4 regime,Diazepam therapy,Phenobarbitone therapy,B,Gynaecology & Obstetrics,B,B
Which type of pelvis is favorable for Face to pubis delivery?,Gynecoid,Android,Anthropoid,Platypelloid,C,Gynaecology & Obstetrics,A,A
POPs carry a risk of:,Hypertension,Embolism,Irregular bleeding,Ectopic pregnancy,D,Gynaecology & Obstetrics,A,D
Which of the following is a category X drug:,Itraconazole,Isotretinoin,Nitrofurantoin,Acyclovir,B,Gynaecology & Obstetrics,B,B
"In semen banks, semen is preserved at low temperature using which cryo protectant:-",Dry ice,Glycerol,Liquid nitrogen,Liquid oxygen,B,Gynaecology & Obstetrics,B,B
Specific treatment of severe pre eclampsia is?,Magnesium sulfate,Termination of pregnancy,Anti convulsants,Anti hypertensives,B,Gynaecology & Obstetrics,B,A
Itching during cholestasis of pregnancy is due retained :,Bilirubin,Bile acids,Alkaline phosphatase,Bile salts,D,Gynaecology & Obstetrics,B,B
Highest failure rate is seen in:,OCP,Condom,Cu-T,Depot injection,B,Gynaecology & Obstetrics,C,B
Most common genital prolapse is:,Cystocoele,Procidentia,Rectocoele,Enterocoele,A,Gynaecology & Obstetrics,B,A
"A 27-year old primigravida presented to the OPD with pregnancy induced hypeension at 32 weeks of gestation. She had no other complications. On examination she had a blood pressure of 150/100 mm of Hg. Her blood pressure was later controlled with treatment. lf there are no complications, the pregnancy should be terminated at?",40 completed weeks,37 completed weeks,36 completed weeks,34 completed weeks,B,Gynaecology & Obstetrics,B,B
"In extra amniotic 2nd trimester medicolegal termination of pregnancy, which of the following is used?",Ethacrydine lactate,Prostaglandin,Hypertonic saline,Glucose,A,Gynaecology & Obstetrics,B,A
"A young woman who has suffered recurrent aboions, presents with thrombosis of leg veins. The most likely diagnosis is",Chromosomal abnormality,Factor VIII deficiency,Antiphospholipid antibody syndrome,Increased antithrombin III levels,C,Gynaecology & Obstetrics,A,A
Progesterone release rate in Progestasert is:,25 mg/day,40 mg/day,65 mg/day,80 mg/day,C,Gynaecology & Obstetrics,B,A
Procedure to be performed in the case of arrest of after-coming head due to contracted pelvis in breech:,Craniotomy,Decapitation,Zavanelli maneuver,Cleidotomy,C,Gynaecology & Obstetrics,C,C
Which one of the following is a hereditary disease that may be associated with infeility?,Polycystic ovaries,Bullous pemphigoid,Uterine fibroid,Immotile cilia syndrome,D,Gynaecology & Obstetrics,A,D
"32 years old lady with twin dichorionic diamniotic pregnancy, first baby breech presentation and second baby cephalic presentation. What is the management?",C - Section,Assisted breech,Instrumental delivery,Normal vaginal delivery,A,Gynaecology & Obstetrics,A,A
Glands of littre are homologous to,Baholin gland,Cowper's gland,Skene glands,Glands on labia,C,Gynaecology & Obstetrics,B,B
Karyotype of partial mole is:,46 XY,69 XXY,45 XO,46 XXY,B,Gynaecology & Obstetrics,C,B
"A 13-year-old young girl presents in the casualty with actue pain in the lower abdomen. She has history of cyclical pain for last 6 months and she has not attained her menarche yet. On local genital examination, a tense bulge in the region of hymen was seen. The most probable diagnosis is:",Rockytansky Kuster Hauser syndrome,Testicular feminization syndrome,Imperforate hymen,Asherman's sydrome,C,Gynaecology & Obstetrics,C,C
"In Brow presentation, head of the fetus:",Complete hyperextension,Partial extension,Complete flexion,Partial flexion,B,Gynaecology & Obstetrics,C,A
Total number of Primordial follicles present at bih:,2000-4000,"20,000-40000",1-2 lakhs,1-2 Million,D,Gynaecology & Obstetrics,D,D
Zavanelli's manoeuvre done in:,Shoulder dystocia,DTA,Retained placenta,Face presentation,A,Gynaecology & Obstetrics,A,A
Indications of medical management In ectopic,Presence of fetal hea activity,Size <4 cm,Gestation <6 weeks,a-hCG>1500,B,Gynaecology & Obstetrics,C,B
Treatment of Ca cervix stage IB includes :,Surgery,Chemotherapy,Radiotherapy,Cryotherapy,A,Gynaecology & Obstetrics,A,A
"A low risk primigravida underwent vaginal delivery with episiotomy. 2 hours after delivery patient appears pale, PR 110/min BP is 90/60 but there is no apparent PPH. PV examination shows a bulge over episiotomy stitch line. Hb shows a drop in Hb from 9 gm% to 7 gm%. Management is?",Blood and fluid transfusion with IV antibiotics,Blood transfusion and cold compression of episiotomy,Immediate exploration of episiotomy and blood transfusion,Cervical exploration with uterotonics with blood transfusion,C,Gynaecology & Obstetrics,C,C
Genes MOST closely associated with familial cases of ovarian cancer are:,BRCA1,WT1,NF2,VHL,A,Gynaecology & Obstetrics,A,A
"In transverse lie, the presentation is:",Veex,Breech,Brow,Shoulder,D,Gynaecology & Obstetrics,B,D
Most common type of pelvis in women is,Gynecoid,Anthrapoid,Android,Platypelloid,A,Gynaecology & Obstetrics,A,A
Maximum dose of radiation exposure during pregnancy is,0.5 rad,1 rad,1.5 rad,5 rad,D,Gynaecology & Obstetrics,A,D
The condition listed below that would most likely pursue a benign course is,Vaginal adenosis,Adenomyosis,Extramammary Paget's disease,Endometrial hyperplasia,B,Gynaecology & Obstetrics,A,A
"Mrs. X, 25years old with a history of 2 previous pregnancies, and now 28weeks of gestation her gravidity is",Nulligravida,G1,G2,G3,D,Gynaecology & Obstetrics,C,D
"A girl at 16 years of age, presents with primary amenorrhea. On examination, breast development is normal, axillary and pubic hair are sparse, vagina is normal. USG revealed absent uterus and solid nodular structures in B/L inguinal regions. Diagnosis is?",Androgen insensitivity syndrome,MRKH,Turners syndrome,Pure gonadal dysgenesis,A,Gynaecology & Obstetrics,C,A
Which one of the following foetal functions is the last to be affected,Tone,Movement,Heart rate reactivity,Breathing movements,A,Gynaecology & Obstetrics,C,C
Treatment of red degeneration of fibroid during pregnancy:,Analgesics,Laparotomy,Termination of pregnancy,Removal at cesarean section,A,Gynaecology & Obstetrics,D,A
A 35-year-old female patient Radha having children aged 5 and 6 years has history of amenorrhea and galactorrhea. Blood examination reveals increased prolactin. CT of head is likely to reveal:,Pituitary adenoma,Craniopharyngioma,Sheehan's syndrome,Pinealoma,A,Gynaecology & Obstetrics,A,A
"A newly married couple, the woman is having irregular menstruation. What is the contraceptive of choice?",Barrier method,OCP,Calendar method,Progesterone only pills,B,Gynaecology & Obstetrics,B,D
The nerve root blocked in pudendal block is,"L 1,2,3","L 2,3","S 2,3,4",S 4,C,Gynaecology & Obstetrics,C,C
Partial mole is -,46XY,46XX,69XXY,23X,C,Gynaecology & Obstetrics,B,C
"In cases of recurrent abortions, most common uterine malformation seen is?",Mullerian fusion defects,Uterine syncytium,Unicornuate uterus,Uterine agenesis,A,Gynaecology & Obstetrics,A,A
A lady presented to your with a history of recurrent early pregnancy loss. What are the investigations to be ordered:,VDRL,Toxoplasma serology,Hemogram\/blood grouping,Rubella screening,C,Gynaecology & Obstetrics,B,A
Funneling in cervicogram is seen in -,In labour,Cervical incompetence,Cervical ectopic,During TVS,B,Gynaecology & Obstetrics,B,B
The risk of endometrial carcinoma is the highest with the following histological pattern of endometrial hyperplasia:,Simple hyperplasia without atypia,Simple hyperplasia with atypia,Complex hyperplasia without atypia,Complex hyperplasia with atypia,D,Gynaecology & Obstetrics,B,C
Puerperal sepsis is last for,2 weeks,4 weeks,6 weeks,8 weeks,A,Gynaecology & Obstetrics,C,
MC type of ca vulva is:,Squamous cell carcinoma,Melanoma,Adenocarcinoma,Adenosquamous carcinoma,A,Gynaecology & Obstetrics,A,A
Most specific marker for neural tube defects is,Alpha-fetoprotein,Unconjugated estriol,Acetylcholinesterase,Pseudocholinesterase,C,Gynaecology & Obstetrics,A,A
Uterus is receptive for implantation for how many days after feilization -,6 days,12 days,6 weeks,12 weeks,D,Gynaecology & Obstetrics,A,A
Phase 3 of paurition is :,Preparation For Labour,Process Of Labour,Involution,Uterine quiscence,B,Gynaecology & Obstetrics,B,C
Angular pregnancy refers to:,Ectopic pregnancy of Interstitial pa of FT,Intrauterine pregnancy,Heterotopic pregnancy,Ectopic pregnancy of broad ligament,B,Gynaecology & Obstetrics,A,A
Normal Menstrual cycle shows,Progesterone levels are highest during the secretory phase,LH levels are lowest in the mid cycle,FSH levels are highest during the luteal phase,Estradiol levels are highest during the midcycle,A,Gynaecology & Obstetrics,D,A
Priscilla White classification is used in :--,Gestational hypertension,Cardiac disorders in pregnancy,Gestational diabetes mellitus,Thyroid disorders of pregnancy,C,Gynaecology & Obstetrics,C,C
Oligohydramnios is associated with :,Neural tube defects,Renal agenesis,Postmature bih,Premature bih,B,Gynaecology & Obstetrics,B,B
Cystitis is most commonly caused by,E. coli,Pseudomonas,Proteus mirabilis,Neisseria gonorrhea,A,Gynaecology & Obstetrics,A,A
M/C uterine malformation associated with infeility,Bicornuate,Unicornuate,Septate,Didelphys,C,Gynaecology & Obstetrics,B,C
A 18yr old girl comes to gynaec OPD presenting with 6months A amenorrhea with his low grade fever weight loss pain abdomen generalised weakness On clinical examination pelvic mass felt on left side with features of ascites Diagnosis,TB pelvic with tuboovasion mass,ectopic pregnancy,Granulosa cell tumour,Fibroid with degeneration,A,Gynaecology & Obstetrics,D,A
Peripartum cardiomyopathy occurs at,Within 7 days,Within 6 weeks,Within 24 months,Within 5 months,D,Gynaecology & Obstetrics,B,B
The best way of diagnosing Trisomy-21 during second trimester of pregnancy is:,Triple marker estimation,Nuchal skin fold thickness measurement,Chorionic villus sampling,Amniocentesis,D,Gynaecology & Obstetrics,A,A
Specific treatment of severe pre-eclampsia is:,Magnesium sulphate,Termination of pregnancy,Clonidine,Hydralazine,B,Gynaecology & Obstetrics,A,A
A woman should take continuously how many days of hormonal OC pills to prevent ovulation?,3 days,5 days,7 days,9 days,C,Gynaecology & Obstetrics,C,C
Hysteroscopic resection can be done in submucosal myomas of size,Any size can be done,< 4 cm,4-8 cm,< 10 cm,B,Gynaecology & Obstetrics,B,B
Best prognosis in infertile women is seen in/most reversible form of infertility is:,Tubal block,Anovulation,Oligospermia,Endometritis,B,Gynaecology & Obstetrics,A,A
Antihormone used in Infeility is:,Mifepristone,Clomifene,Danazol,Finasteride,B,Gynaecology & Obstetrics,B,B
Which will not come between cytotrophoblast and maternal blood?,Decidua parietalis,Syncytiotrophoblast,Inter villous space,Basement membrane,A,Gynaecology & Obstetrics,B,A
Contraceptive effect of CuT-380A lasts for how many years?,5,10,15,20,B,Gynaecology & Obstetrics,B,B
Which of the following method is the best predictor for ovulation in a female infeility patient during a menstual cycle?,Basal body temperature,Fern Test,Endometrial biopsy,Hormonal Study,D,Gynaecology & Obstetrics,A,D
Sterilisation procedure with maximum chances of a successful reversal surgery is:,Pomeroy's tubal ligation,Irwing's technique,Laparoscopic tubal ligation with silastic bands,Laparoscopic tubal ligation with clips,D,Gynaecology & Obstetrics,C,D
"Outlet forceps, means:","Head at station ""0""",Full cervical dilatation,Rupture of membrane,Rotation > 45,B,Gynaecology & Obstetrics,D,A
"A 19-year-old primigravida, presents with 8 weeks amenorrhea, light bleeding and pain. O/E Uterine size corresponds to POG and Os is closed. USG reveals intra uterine pregnancy. What is preferred management in this case?",Estrogen plus Progesterone therapy,Dilatation and Curettage,Bed rest and Progesterone,Beta hCG,C,Gynaecology & Obstetrics,B,B
DOC for candidiasis in pregnancy,Metronidazole 500mg,Tinidazole 500mg,Fluconazole,Metronidazole 1 gm,C,Gynaecology & Obstetrics,C,C
CPD is best assessed by :,CT scan,Ultrasound,Radio pelvimetry,Pelvic assessment,D,Gynaecology & Obstetrics,D,D
Which of the following is the most common malignant ovarian tumor?,Serous cysadenocarcinoma,Mucinous tumor,Endometrioid tumor,Mesonephroid tumor,A,Gynaecology & Obstetrics,A,A
Maximum cardiac output is seen in which week of pregnancy?,24 weeks,20 weeks,28 weeks,22 weeks,C,Gynaecology & Obstetrics,C,A
"In the perspective of the busy life schedule in the modem society, the accepted minimum period of sexual cohabitation resulting in no offspring for a couple to be declared infertile is:",One year,One and a half-year,Two years,Three year,A,Gynaecology & Obstetrics,A,A
What is the dose of mifepristone in emergency contraception?,100 mg,200 mg,25 mg,200 mcg,C,Gynaecology & Obstetrics,A,B
Which of these vaccines is not contraindicated in pregnancy?,Measles,Hepatitis B,Varicella,BCG,B,Gynaecology & Obstetrics,B,B
Occupational Lung Disease commonly seen in Textile industry Workers is -,Byssinosis,Bagassosis,Farmes's Lung,Asbestosis,A,Medicine,A,A
A 40 year old man comes with complaints of vomiting for last 3 days. ABG repo shows a pH = 7.22. pCO2 = 21 mm Hg and HCO3= 9 meq/dl. Diagnosis is?,Mixed metabolic acidosis and respiratory alkalosis,Metabolic acidosis,Respiratory alkalosis,Mixed respiratory acidosis and metabolic alkalosis,B,Medicine,B,A
Somatostatin is produced by,Alpha cells,Beta cells,Delta cells,PP cells,C,Medicine,C,C
"50 yr old smoker, obese , hypeension patient is having loud snoring . He has > 5 episodes of apnea per hour of sleep. What is the next best management for improvement of his symptom ?",Uvulopalatoplasty,C.P.A.P,Weight reduction and diet control,Mandibular reposition surgery,B,Medicine,A,A
Massive bleeding per rectum in a 70years patient is seen most commonly in,Carcinoma,Colitis,Diveiculosis,Polyps,C,Medicine,A,C
Which of the following is not a clinical manifestation of parvovirus infection?,Erythema infectiosum,Polyahropathy,Pure red cell aplasia,Tropical sprue,D,Medicine,B,D
Treatment for genotype 1a of hepatitis C,Ledipsavir and Sofosbuvir,Sofosbuvir and velpatasvir,Pegylated interferon and lamivudine,Pegylated interferon and Ribavarin,A,Medicine,A,B
Which of the foliowingmay present with isolated prolongation of prothrombin time (PI>,Factor VIiI deficiency,FActor VII deficiency,Factor XII deficiency,Factor IX deficiency,B,Medicine,B,B
"Patient's case histories are Orofacial oedema, facial palsy, and fissured tongue. What will be your diagnosis?",Melkersson-rosenthal syndrome,Ramsay hunt syndrome,Guillain-barre syndrome,Lyme disease,A,Medicine,A,A
The occurrence of hypehyroidism following administration of supplemental iodine to subjects in endemic area of iodine deficiency is due to?,Wolf-Chaikoff effect,Jod-Basedow effect,Pembeon effect,Graves' effect,B,Medicine,B,B
Coomb&;s positive hemolytic anemia associated with -,TTP,PAN,SLE,HUS,C,Medicine,C,C
Which of the following tests is most sensitive for detecting early diabetic nephropathy?,Serum Creatinine,Creatinine clearance,Microalbuminuria,Ultra sonography,C,Medicine,C,C
Pulsus paradoxus is a characteristic feature of -,Constrictive pericarditis,Cardiac Tamponade,Hyperophic obstructive cardiomyopathy,Restrictive cardiomyopathy,B,Medicine,B,B
What will be the effect on spirometry in case of lobectomy done for bronchogenic carcinoma?,Increased residual volume,Increased vital capacity,Increased dead space ventilation,Increased closing volume,C,Medicine,B,A
How much Potassium is present in the Ringer Lactate solution -,1 mEq/L,4 mEq/L,2 mEq/L,6 mEq/L,B,Medicine,B,B
Cholesterol level for prevention of coronary aery disease-,< 250 mg\/dl,< 220 mg\/dl,< 300 mg\/dl,< 200 mg\/dl,D,Medicine,D,D
Most common abnormality associated with ARDS,Hypoxemia,Hypercapnea,Diffuse alveolar damage,Bilateral alveolar infiltrates,A,Medicine,C,A
32Y/F presents to medicine opd with stridor and dry cough from last few weeks. she complains of difficulty in breathing on exeion and in resting condition as well . O/E she had Erythema Nodosum on lower limbs along with painful ahritis.B/L hilar lymphadenopathy Lab investigations had shown raised levels of Angiotensin conveing enzymes (ACE). Her chest radiograph is shown below.The probable diagnosis in this case is?,Pneumonia,Sarcoidosis,Tuberculosis,Histoplasmosis,B,Medicine,B,B
High calcium uptake leads to-,Milk alkali syndrome,Osteopoijosjs,Osteopetrosis,Cardiomyopathy,A,Medicine,C,A
Wemicke-Korsakoff syndrome is due:,Riboflavin deficiency,Thiamine deficiency,Pyridoxin deficiency,Niacine deficiency,B,Medicine,B,B
Rapid infusion of insulin causes-,Hyperkalemia,Hypokalemia,Hypernatremia,Hyponatremia,B,Medicine,B,B
Organism that causes emphysematous cholecystitis is:,Salmonella typhi,Cytomegalovirus,Clostridium perfringens,Bacteroides,C,Medicine,C,C
Prolonged QT interval is not seen in?,Hypokalemia,Hypocalcemia,Hypomagnesemia,Hypercalcemia,D,Medicine,D,D
Tolvaptan is used in?,Hyponatremia,Hypernatremia,Nephrogenic diabetes insipidus,Decreased water clearance,A,Medicine,A,A
Which of the following leads to hyponatremia and low osmolality:,Hyperlipidemia,Hyperproteinemia,IVIG therapy,CHF,D,Medicine,B,C
"ECG with ST elevation , low BP. Best line of management is-",IABP,Vasopressors,Reperfusion,Thrombolytics,C,Medicine,C,C
Desynchronised defibrillation is used to -,Atrial fibrillation,Atrial flutter,SVT,Ventricular fibrillation,D,Medicine,D,D
"Chloride responsive alkalosis, causes are-",Severe vomiting,Bater's syndrome,Milk alkali syndrome,Frusemide therapy,A,Medicine,A,A
Which of the following drug is not used for management of acute pulmonary edema?,Norepinephrine,Dopamine,Dobutamine,Phenylephrine,D,Medicine,D,D
What is the most likely infecting organism in this patient with prostatitis?,Blastomyces dermatitidis,Escherichia coli,Histoplasma capsulatum,Pseudomonas aeruginosa,A,Medicine,B,B
Most common cause of death in primary amyloidosis is,Respiratory failure,Renal failure,Cardiac failure,Septicemia,C,Medicine,C,C
Lovibond angle is:,Angle between the iris and cornea,Angle between the long axis of the forearm and the long axis of upper arm,Angle between nail bed and proximal nail fold,Angle between manubrium sternum and body of sternum,C,Medicine,A,A
Which of the following is given to prevent methotrexate toxicity?,MESNA,Flumazenil,Fomipezole,Calcium leucovorin,D,Medicine,A,C
ABG of a patient shows following findings Ph 7.0 Pco2 -80 HCO3- 24. What is your inference,Metabolic acidosis,Metabolic alkalosis,Respiratory acidosis,Respiratory alkalosis,C,Medicine,A,C
Contractile dysfunction seen in which type of cardiomyopathy?,Dilated,Restricted,Hypertrophic,Infiltrative,A,Medicine,A,A
The triad of 'saturnine gout' + hypeension + renal failure is seen in?,Diabetic nephropathy with hyporeninemic hypoaldosteronism,Lead nephropathy,Sickle cell nephropathy,Aristolochic acid nephropathy,B,Medicine,B,B
Which test is performed to detect stunned (reversible) myocardial ischemia?,Coronary angiography.,PET scan,ECG,Resting echocardiography,B,Medicine,B,B
Cause for renal vein thrombosis could be -,Membranous nephropathy,Luous nephritis,Membranoproliferative glomerulonephritis,Post streptococcal glomerulonephritis,A,Medicine,A,A
BCL-2 inhibitor used in CLL is?,Fludarabine,Cladiribine,Pentostatin,Venetoclax,D,Medicine,D,D
"The difference between sodium and chloride is low , the metabolic disorder in the patient would be?",Metabolic acidosis,Metabolic alkalosis,Respiratory acidosis,Respiratory alkalosis,A,Medicine,A,A
Most specific symptom of temporal aeritis?,Visual loss,Jaw claudication,Temporal headache,Polymyalgia rheumatica,B,Medicine,B,B
Ankylosing spondylitis,HLA-B27,HLA-DR-4,HLA-B-8,HLA-DR-3,A,Medicine,A,A
Peripheral pulmonic stenosis is associated with -,Subaoic stenosis,Takayasu's aeritis,William syndrome,Coarctation of syndrome,C,Medicine,C,C
The following is used for testing absorption in intestine -,Xylose,Sucrose,Fructose,Maltose,A,Medicine,A,A
Thyroid carcinoma associated with hypocalcaemia is-,Follicular carcinoma,Medullary carcinoma,Anaplastic carcinoma,Papillary carcinoma,B,Medicine,B,B
Pronator drip is a sign of,UMN lesion of upper limb,LMN lesion,Dorsal syringomyelia,Carpel tunnel syndrome,A,Medicine,B,A
"A head injured patient, who opens eyes to painful stimulus, is confused and localizes to pain. What is his Glassgow coma Score -",7,9,11,13,C,Medicine,B,C
Commonest type of bronchogenic carcinoma is -,Adenocarcinoma,Oat cell carcinoma,Squamous cell carcinoma,Large cell carcinoma,A,Medicine,A,A
Which of the following prevents GERD: (PGI June 2008),LES tone,Gastric mucosa,Oesophageal mucosa,Acidic content of stomach,A,Medicine,A,A
The most common electrolyte abnormality found in patients with normal anion gap metabolic acidosis is,Hyperchloremia.,Hypochloremia.,Hyperkalemia.,Hypokalemia.,A,Medicine,A,A
Secretory diarrhea is not seen in-,Magnesium injection,Celiac disease,Cholera,Ulcerative colitis,B,Medicine,C,B
What is the diagnostic of fresh myocardial infraction in ECG,QT interval prolongation,P mitrale,ST segment elevation,ST segment depression,C,Medicine,C,C
Bilateral facial palsy is not seen in,Sarcoidosis,Ramsay Hunt syndrome,Gullian Barre syndrome,Melkersen Rosenthal syndrome,B,Medicine,A,B
ACNA is sensitive and specific for :,Post streptococcal glomerulonephritis,Idiopathic cresentic glomerulonephritis.,Diffuse glomerulosclerosis,Henoch's schonlein purpura,B,Medicine,A,B
Gegenhalten (paratonia) indicates lesion in,Parietal lobe (dominant),Temporal lobe (dominant),Frontal lobe (dominant),Parietal lobe (non-dominant),C,Medicine,C,C
What is the diagnosis for this patient with end-stage renal disease who developed skin changes after an imaging procedure?,Actinic elastosis,Calciphylaxis,Nephrogenic systemic fibrosis,Porphyria cutanea tarda,C,Medicine,C,C
This lesion are most commonly seen in which disease?,RA,Ankylosing spondylitis,Psoriatic Arthritis,Gout,C,Medicine,A,D
Renal Calculi associated with Proteus infection is,Uric Acid,Triple Phosphate,Calcium oxalate,Xanthine,B,Medicine,B,B
Which of the following genes is not related to pheochromocytoma associated syndromes?,NF-1 gene,RET proto oncogene,VHL gene,AIRE gene,D,Medicine,A,A
"Multiple cavitatory lesion in lungs, hematuria and renal insufficiency are features in a patient with",Polyaeritis nodosa,Churg Strauss syndrome,Wegener's granulomatosis,Temporal aeritis,C,Medicine,C,C
Hand foot mouth disease is characterized by -,Cause miniepidemic in school,J.P.-3-10 days,Transmitted by virus,CIF similar to teSt seen in cows,A,Medicine,B,C
Which is the most common variant of congenital adrenal hyperplasia?,11b hydroxylase deficiency,17a hydroxylase deficiency,3b hydroxyl-steroid dehydrogenase,21 hydroxylase deficiency,D,Medicine,D,D
Kerley B lines are due to-,Carcinoma bronchus,Pulmonary edema,Lung abscess,Pulmonary embolism,B,Medicine,B,B
Prinzmetal angina is -,Angina after extreme exeion,Caused due to atherosclerotic blockade,Caused due to spasm of aery,Calcium channel blockers not effective,C,Medicine,C,C
A 60-year-old diabetic woman develops angina and will need a coronary angiogram for evaluation of coronary artery disease. She has a creatinine of 2.2. Which of the following is the most effective in reducing the risk of contrast-induced nephropathy?,Administer mannitol immediately after the contrast is given.,Perform prophylactic hemodialysis after the procedure.,Give IV hydration with normal saline or sodium bicarbonate prior to and following the procedure.,Indomethacin 25 mg the morning of the procedure.,C,Medicine,C,C
Soap bubble appearance is seen in which meningo encephalitis,Cryptococcus,Mucormycosis,Tubercular,HSV,A,Medicine,A,A
What is the most likely precursor to bronchiectasis?,Tuberculosis,Carcinoma,Bronchial adenoma,Necrotising pneumonia,D,Medicine,A,A
A girl presented with severe hyperkalemia and peaked T waves on ECG. Fastest way of shifting potassium intracellularly is-,Calcium gluconate IV,Oral resins,Insulin + glucose,Sodium bicarbonate,C,Medicine,C,C
Pick's body in Pick's disease is -,Tau protein,Alpha synuclein,Beta synuclein,A (3 amyloid,A,Medicine,A,A
Which of the following is not seen in bronchiectasis,Tree in bud sign,Crazy pavement sign,Signet ring appearance,Traction bronchiectasis with lung fibrosis,B,Medicine,C,B
Most common cause of death in Menke disease,Cardiac rupture,Diaphragmatic paralysis,Laryngeal spasm,Cyano-methemoglobinemia,B,Medicine,B,A
Milan criteria is used for -,Liver transplntation,GERD staging,Cirrhosis staging,Hepatic eccephalopathy staging,A,Medicine,A,A
Nephrocalcinosis is seen -,Medullary sponge disease,Acute pyelonephritis,Acute glomerulonephritis,Chronic pyelonephritis,A,Medicine,A,A
Thymoma is associated with-,Myasthenia gravis,Polycythemia,Ectopic ACTH,Polyarteritis nodosa,A,Medicine,A,A
"A patient in ICU has normal pulmonary A pressure; low systemic peripheral resistance; low cardiac index; aerial PO,- 93; diagnostic possibilities are",Cardiogenic shock,Septic shock,Hypovolemic shock,Cardiac tamponade,D,Medicine,B,B
Hypokalemia is seen with -,Frusemide,Coisol,Metabolic acidosis,Amiloride,A,Medicine,A,A
Which of the following is the next most common cause of blood transfusion-related hepatitis after hepatitis B?,hepatitis A,Epstein-Barr hepatitis,hepatitis C,hepatitis D,C,Medicine,C,C
Which of the following is an absolute contraindication to liver transplantation?,Age >70,Poal vein thrombosis,Severe obesity,AIDS,D,Medicine,B,A
Duchenne muscular dystrophy is inheritance of:,Autosomal dominant,Autosomal recessive,X-linked recessive,X-linked dominant,C,Medicine,C,C
Not a cause of community acquired pneumonia -,Acinetobacter baumanii,Hemophilus influenza,Streptococcus penumoniae,Mycoplasma pneumoniae,A,Medicine,A,A
Most common complication of blood transfusion leading to death?,Hyperkalemia,Citrate toxicity,T.R.A.L.I,Hypothermia,C,Medicine,A,A
"Flowcytometry of an AML patient showed CD41 and CD61 positivity, it belongs to which FAB classification?",M0,M3,M5,M7,D,Medicine,C,D
The pulmonary function test done on this patient of asthma would be,Non-infarmative,Obstructive pattern,Restrictive pattern,Destructive pattern,B,Medicine,B,B
